company,address,city,telephone,type,description
PT WIDYALOKA POOL' S,"Jl. Raya Cibogo Puncak No. 63, Mega Mendung - Bogor",Jakarta Selatan •,081388252007,bahan-bangunan,"perusahaan yang bergerak dalam bidang kontraktor pembuatan kolam renang, Waterboom / permainan kolam renang, spa & sauna, lapangan futsal dan lapangan tennis."
CV. CAHAYA ABADI terpal,"Jalan HERKULES SIMOGUNUNG KAV. 21-22, SURABAYA - JAWA TIMUR(surabaya barat - daerah simo - dukuh kupang - banyuurip)",Surabaya • Jawa Timur,082369168888,bahan-bangunan,"MENERIMA PESANAN TERPAL DENGAN UKURAN KHUSUS.
Perusahaan Terpal yang di jalankan oleh CV CAHAYA ABADI berlokasi di Surabaya adalah pusat proses pembuatan dan penjualan serta distribusi aneka macam produk terpal dengan berbagai macam ukuran yang bisa disesuaikan dengan permintaan kebutuhan.
Untuk keterangan lebih lanjut, chat WA 082369168888"
CV. Tropika Perkasa,Jl Raya Setu Kampung Utan RT 001 RW 009 Kel Telajung Kec Cikarang Barat Bekasi Indonesia,Bekasi • Jawa Barat,081388101510,bahan-bangunan,"CV Tropika Perkasa adalah perusahaan trading plywood yang berlokasi di Bekasi, Jawa Barat. Kami membeli Plywood berkualitas dari seluruh Indonesia dan juga impor dari negara-negara tertentu untuk memberikan pilihan produk terbaik kepada pelanggan kami yang berharga.Kami berkomitmen"
xamuV2,"Jl. Mampang Prapatan No.17 A Mampang, Jakarta Selatan, Indonesia",JAKARTA SELATAN • dki-jakarta,08787181718/087181716778,bahan-bangunan,"PT. ADI RAYA MANDIRI adalah perusahaan yang berkembang sangat pesat dalam bidang Industrial Automation System dan Electrical Components. 
Kami mampu memenuhi semua kebutuhan industri yang ada di Indonesia untuk pengadaan spare part produk"
DUA PUTRA PETIR,ukit palma C5/33 Citraland Utara Kec.pakal Kota Surabaya Barat( Sememi Benowo ),Surabaya • Jawa Timur,0317406677/0317407380/0317417127,bahan-bangunan,"CV.DUA PUTRA PETIR , perusahaan yang bergerak dibidang bisnis trading besi dan baja, alat-alat teknik dan bahan-bahan bangunan dll. DUA PUTRA PETIR"" Telp. 031-7406677 , 031-7407380 Fax.031-7417127, Email: duaputrapetir@ gmail.com www.besisurabaya.com besi123.comwww.duaputrapetir.co.id"
PT. BEN GOLAN BERKARYA,Jl. Gunung Krakatau No.83 Glugur Darat II Kec. Medan Timur - Meda,Medan • Sumatera Utara,0616643288/62811909805,bahan-bangunan,
CV Cahaya Api Karunia,Jl. Kartini 72,Sidoarjo •,0318954503/03170527245082141245978,bahan-bangunan,"Divisi Pemasaran CV.Cahaya Api Karunia , Bata Tahan Api , Semen Tahan Api , Castable , Bata Isolasi , Karbon Aktif , Anthracite Filter, Asap Cair , Gasifier Batubara dan BiomasaKontak Perusahaan: 0318954503  03170527245 082141245978"
PT. Surya Citra Raya,"Greenlake Citry, Crown A No.36, Petir, Cipondoh, Tangerang - Banten ",Tangerang Kota •,021-54335027,bahan-bangunan,PT. SURYA CITRA RAYA
Citra Karya Teknik,Ruko Taman Buaya Blok B1 No. 27-28-29 Telp 021 690 8242 / 0855 750 6333Mobile/WA 0855 750 6333Jln. Bandengan UtaraJakarta Barat,Jakarta • DKI Jakarta,62216908242/628119566465/628557506333,bahan-bangunan,"CITRA KARYA TEKNIK adalah perusahaan instalasi peralatan sekuriti, khususnya CCTV Panasonic, alarm system, dan pintu pagar otomatis di Jakarta. Kami juga menjual guard tour system, barrier gate, hingga mesin absen fingerprint terlengkap dengan harga kompetitif."
PT. MAJU JAYA PRIMA PERKASA,"Mega Regency Blok B2 No. 12, Rt.004/Rw.021 Kel. Sukaragam, Kec. Serang baru Bekasi, Jawa Barat",Bekasi • Jawa Barat,02129370240/082122448000/081932448000,bahan-bangunan,"Perusahaan General Supplier & Distributor Trafo PLN dan Panel Listrik, Panel Maker, Panel Cubicle, Panel LVMDP, Panel Capasitor Bank, Engineering (Mechanical & Electrical), Contractor (Pasang Baru, Tambah Daya, Repair/Maintenance, Perizinan, SLO, Test Commissioning, dan Energize. Kami menjual trafo dan panel termurah dengan kualitas terbaik."
COLOSSAL ART INDONESIA,Jln Gunung Muria No.6 16/07 Krembung,Sidoarjo • Jawa Timur,0318850012/082233050020/082240050012,bahan-bangunan,"Coba Tanya dan konsultasikan saja, FREE. karena bisa membantu anda adalah kepuasan bagi kami
Karena Rezeki tidak selalu di nilai dengan uang
"" BISNIS BUKAN MASALAH UNTUNG DAN RUGI, TAPI SURGA DAN NERAKA """
PT. RAJA PIPA INDONESIA,"Office :Taman Royal  3Ruko Edelweiss No. 17JL. Benteng Betawi - Poris Plawad Utara - Cipondoh -  TangerangBranch Medan :Jl. Setia Budi Komplek Unika No.5 Tanjung Sari., Medan Sumatera Utara",Tangerang • Banten,02155714844/081298407788/087798407788,bahan-bangunan,"RAJA PIPA INDONESIA ( RPI ) merupakan perusahaan Distributor / Agen Elektrikal, Metalconduit , Accessories, dan Plumbing. Kami jual Kabel Tray, Pipa PVC Wavin, Pipa PVC Rucika, Pipa PPR, Pipa HDPE Wavin, Pipa HDPE , Pipa UPVC, Pipa SNI PVC. Kami juga jual Besi Hollow / Holo. Kontak : 021 - 5571 4844 / 0812-9840-7788 // 0877-9840-7788"
PT. PERSADA SILVER,"PRIMA CENTRE 1 EXTENSION, Blok F-43, Kedaung Kali Angke, Jakarta 11710",Jakarta Barat • DKI Jakarta,+622122052128/62811999208,bahan-bangunan,"PRODUSEN VCI Plastik, VCI Plastik Produksi Indonesia, Jual Anti Rust Paper, Jual Anti Rust Plastik, Jual VCI Plastik, Jual VCI Paper, Distributor VCI Paper, Distributor VCI Plastik, Jual Oil Anti Rust, Jual VCI Plastik Bubble wrap, Jual VCI Paper Sheet dan Roll merk Multiguard, Ferrogard, Branorost dan SilverCorr, Silica Gel murah dan bagus."
PT. TRIPUTRA JAYA MAKMUR,"Head Office :Panin Tower 8th Floor Jl. Jenderal Sudirman No.7 Klandasan Ilir, Balikpapan.Branch Office :Jl. Brigjend Katamso No. 2 Samarinda.",• Kalimantan Timur,+625428863424/+625417802915,bahan-bangunan,"MELAYANI dengan hati sejak 2013, kami terus mengembangkan & meningkatkan kinerja pelayanan dari segi HARGA, MATERIAL, GARANSI, FAST RESPON & KUALITAS KERJA. 
Berapapun budget anda, diskusikan dengan kami. Kami akan memberikan penjelasan detail & pilihan, kami aktivis di dunia kontraktor, bekerja adalah hobby.. anda dulu Sukses, baru kami sukses !"
Jaya Makmur Abadi,Jl. A A Maramis No. 180 Kelurahan Paniki Bawah Kecamatan Mapanget,Manado • Sulawesi Utara,85100319097,bahan-bangunan,
