Company Name,Address,Telephone Number,Location
1. PT Abdi Darma,Jl Pulo Nangka Tmr II 14 Jakarta,( 021 ) 4700008,Jakarta
2. PT Adibella Nugraha,Jl Danau Agung Sunter  Brt Bl A-4/5 Jakarta,( 021 ) 6459206,Jakarta
3. PT Agrofood Propranindo,Kompl Green Ville Bl AW/8 Jakarta,( 021 ) 5643017,Jakarta
4. PT Aldima Baruna Kencana,Jl Enggano 73 Jakarta,( 021 ) 43902024,Jakarta
5. PT Alexandi Century Transport,Jl Boulevard Bl TB-2/31-32-33 Jakarta,( 021 ) 4529016,Jakarta
6. PT Alison Agung,Jl Mangga Besar I 61-F Jakarta,( 021 ) 6294630,Jakarta
7. PT Altra,"Jl Daan Mogot Km 19,6 Kompl Pergudangan Pusat Niaga Terpadu Jakarta",( 021 ) 54365064,Jakarta
8. PD Anak Mas,Jl Masjid Pekojan I 129 Jakarta,( 021 ) 6928188,Jakarta
9. PD Aneka Jaya,Jl Petojo Brt IV 4 Jakarta,( 021 ) 6322935,Jakarta
10. PT Aneka Rasa Citra Sejati,"Jl Daan Mogot Km 12,8 Kompl Daan Mogot Prima Kav B/6 Jakarta",( 021 ) 54375006,Jakarta
11. PT Arkstarindo Artha Makmur,Jl Laks L RE Martadinata 100 Bl C/17 Jakarta,( 021 ) 43911446,Jakarta
12. PT Artha Kencana,Jl Alteri Kedoya 7-A Jakarta,( 021 ) 5823545,Jakarta
13. PT Asia Indah Makmur Trust,Jl Jend Sudirman Kav 59 Plaza ABDA Lt 15 Jakarta,( 021 ) 51402240,Jakarta
14. PT Bangun Putra Mandiri,Jl P Jayakarta XX Bl B/1-2 Jakarta,( 021 ) 6293457,Jakarta
15. Toko Berkat,Pert Jembatan Metro Pasar Baru Los CKS/11 Jakarta,( 021 ) 3864416,Jakarta
16. PT Beta Setia Mega,Jl Indokarya Bl C/3 Jakarta,( 021 ) 65304558,Jakarta
17. CV Bintang Asia,Jl Tipar Cakung 46 Jakarta,( 021 ) 4602488,Jakarta
18. PT Celma Unggultama Indonesia,Jl Agung Tmr VIII Kompl Sunter Agung Podomoro Bl O-3/20-21 Jakarta,( 021 ) 6513077,Jakarta
19. PT Charisfood,Jl Laks L RE Martadinata Ruko Permata Ancol Bl M/1 Jakarta,( 021 ) 6456333,Jakarta
20. Toko Cilomas,Jl Kelapa Hybrida Raya Kompl Kelapa Gading Permai Bl QJ-9/25 Jakarta,( 021 ) 4521921,Jakarta
21. PT Cipta Mandiri Perkasa,Jl Raden Inten II 88 RT 007/14 Jakarta,( 021 ) 8650224,Jakarta
22. PT Cocomas Indonesia,Jl Prof Dr Latumeten Raya 50 Rukan Sentra Latumeten Bl C-3/3-A Jakarta,( 021 ) 56969501,Jakarta
23. Crepe N Crepe,Jl Ciputat Raya 20A Jakarta,( 021 ) 7509505,Jakarta
24. PT Delisari Nusantara,Jl Griya Utama Sunter Kompl Puri Bl A/23-25 Jakarta,( 021 ) 65310333,Jakarta
25. PT Dinus Cipta Mandiri,Jl Pantai Indah Utr I DA 7 Jakarta,( 021 ) 5881057,Jakarta
26. PT Distributor Versa,Jl Panjang 62 Jakarta,( 021 ) 56967744,Jakarta
27. PT Duta Boga Cemerlang,Jl Moch Kahfi I 3-4 RT 002/06 Jakarta,( 021 ) 78836977,Jakarta
28. CV Dwikarsa Manunggal Divisi Unican,Jl Pulogadung 8 Kawasan Industri Pulogadung Jakarta,( 021 ) 4605605,Jakarta
29. PT Eliezeer Murti Jaya,Jl Remaja III 8 RT 006/08 Jakarta,( 021 ) 4261877,Jakarta
30. PT Forisa Nusapersada,Jl Pegangsaan Dua 12 Jakarta,( 021 ) 46826788,Jakarta
31. CV G G,Jl Kosambi Tmr Bl C/7 Jakarta,( 021 ) 55961634,Jakarta
32. PT Grahaprima Suksesmandiri,Jl KH Hasyim Ashari 125 Pus Niaga Roxy Mas Bl D-2/18 Jakarta,( 021 ) 63866738,Jakarta
33. PT Hafinsin Asia Internasional,Jl Sunter Permai Raya Bl A-1/11 Jakarta,( 021 ) 6503381,Jakarta
34. PT Hanjaya Inti Abadi,Jl Pakin Raya 1 Ruko Mitra Bahari Bl D/9 Jakarta,( 021 ) 6625581,Jakarta
35. Happy Eka Mandiri,Jl Pintu Air Raya 58-64 Ged Istana Pasar Baru Lt 1 Jakarta,( 021 ) 3453464,Jakarta
36. CV Indosari,Jl Sewan Raya 48-A Jakarta,( 021 ) 5505678,Jakarta
37. PT Indotech Widjaya,Jl KH Hasyim Ashari 125 Pus Niaga Roxy Mas Bl C-3/12 Jakarta,( 021 ) 6333288,Jakarta
38. PT Inni Pioneer Food Industry,Jl Boulevard Brt Raya Plaza Pacific Bl A-1/18 Jakarta,( 021 ) 45840454,Jakarta
39. PD Jaya Sakti,Jl Cideng Tmr 8 Jakarta,( 021 ) 6328173,Jakarta
40. PD Jaya Utama,Kompl Muara Karang Bl O-8 Brt/24 Jakarta,( 021 ) 6604028,Jakarta
41. PT Kristo Aditama,Jl Balai Rakyat 9 RT 011/09 Jakarta,( 021 ) 8612707,Jakarta
42. PT Libra Megah,Jl Bandengan Utr 21 Jakarta,( 021 ) 6905259,Jakarta
43. PT Manuhana Astri,Jl Batan Raya 35 Jakarta,( 021 ) 7656606,Jakarta
44. PT Markaindo Selaras,Jl Kunir II 3-B Jakarta,( 021 ) 6908718,Jakarta
45. UD Matahari Terbit,Jl Jembatan Tiga 2-O RT 002/16 Jakarta,( 021 ) 6603379,Jakarta
46. PT Megah Mulia Mandiritama,Jl Rajawali Slt I 42-A RT 005/02 Jakarta,( 021 ) 6408850,Jakarta
47. Melia Multi Anugrah,Jl Salemba Raya Sentra Salemba Mas 34-36 D Jakarta,( 021 ) 3107888,Jakarta
48. CV Mitra Abadi Sejahtera,Jl Kedoya Raya 5 RT 001/04 Jakarta,( 021 ) 5806721,Jakarta
49. PT Mitra Nuansa Lestari,Jl Otto Iskandardinata Ruko Prima Sunter Bl A/26 Jakarta,( 021 ) 7422515,Jakarta
50. PT Moderenfood Industry,Jl Letjen S Parman Kav 37-B Jakarta,( 021 ) 53679083,Jakarta
51. PT Mutiara Cahaya Gemilang,Jl Boulevard Artha Gading Rukan Artha Gading Niaga Bl I/12 Jakarta,( 021 ) 45850966,Jakarta
52. Toko Naga Mas,Jl Utan Panjang III 9 RT 003/05 Jakarta,( 021 ) 42801585,Jakarta
53. PT Panen Raya Sukses Gemilang,Jl Kamal Raya 88-N Jakarta,( 021 ) 55952287,Jakarta
54. PT Petrina Mona Mina,Jl Ir H Juanda Ruko Ciputat Indah Permai Bl E-19/50 Jakarta,( 021 ) 7418931,Jakarta
55. PT Prima Makmur,"Jl Daan Mogot Km 13,8 Jakarta",( 021 ) 6191156,Jakarta
56. PT Purnama Rawamangun,Jl Waru 17 Jakarta,( 021 ) 4706892,Jakarta
57. CV Putra Fajar Mandiri,Jl Kalibata Pulo Gg IV 47 Jakarta,( 021 ) 79199758,Jakarta
58. UD Ramadhan Jaya Putra,Jl Selong 42 RT 01/01 Jakarta,( 021 ) 5454483,Jakarta
59. PT Ratu Tirta,Jl Condet Raya 11 RT 009/05 Jakarta,( 021 ) 8006115,Jakarta
60. PT Rodamas,Jl Letjen S Parman Kav 32-34 Jakarta,( 021 ) 5350465,Jakarta
61. PT Samudra Eka Andalan,Kp Belakang 5 RT 011/03 Jakarta,( 021 ) 55960981,Jakarta
62. PT Santosa Putra Langgeng,Jl Pulo Buaran Raya Kawasan Industri Pulogadung Jakarta,( 021 ) 4602631,Jakarta
63. PD Sejahtera Makmur,Jl Jembatan Dua Raya Ruko Harmoni Mas Bl C/42 Jakarta,( 021 ) 66604809,Jakarta
64. Sinar Abadi,Jl Agung Tmr VIII Kompl Sunter Agung Podomoro Bl D-3/12-13 Jakarta,( 021 ) 6510619,Jakarta
65. UD Sinar Agung,Jl P Jayakarta Bl B-2/115 Jakarta,( 021 ) 6282815,Jakarta
66. PT Sinar Dunia,Jl Wijaya Kusuma I 20 Jakarta,( 021 ) 5606379,Jakarta
67. PT Sinar Niaga Sejahtera,Jl Kelapa III 13 A RT 006/03 Jakarta,( 021 ) 7875843,Jakarta
68. PT Sinar Sejahtera,Jl Daan Mogot Kav 73 Jakarta,( 021 ) 5671216,Jakarta
69. PT Solar Sentra Distribusi,Jl Radio Dlm Raya 52 Jakarta,( 021 ) 7258179,Jakarta
70. PT Sukses Karya Bersama,Jl Daan Mogot Km 13 Jakarta,( 021 ) 5444183,Jakarta
71. UD Sukses,Jl Pesing Poglar 88 Jakarta,( 021 ) 5459641,Jakarta
72. PT Supra Sari Pratama,Jl Mayjen DI Panjaitan 40 Graha Cipta Jakarta,( 021 ) 8563457,Jakarta
73. CV Surya Agung,Jl Agung Brt 30 Bl B-3/10 Jakarta,( 021 ) 6401086,Jakarta
74. PT Surya Agung Perkasa,Kompl Taman Pulo Indah Bl I/9 Jakarta,( 021 ) 48703045,Jakarta
75. PT Tata Adhisthana,Jl Gandaria VI 15-D RT 009/02 Jakarta,( 021 ) 7245704,Jakarta
76. Teddy Wijaya,Jl Dr Makaliwe I 17-A Jakarta,( 021 ) 5604470,Jakarta
77. PT Tigamal Niaga Pangan,Jl Pulo Gadung I 1 Kawasan Industri Pulogadung Jakarta,( 021 ) 46822247,Jakarta
78. PT Trisaka Utama,Jl Radar AURI 38-A Jakarta,( 021 ) 8733457,Jakarta
79. lyn Catering,Pluit karang manis no 72.Jakarta Utara Jakarta,( 021 ) 6612400,Jakarta
80. Heltis Es Potong,"Jl. Asia Baru Blok HH No.7 Kepa Duri, Kebon Jeruk Jakarta",( 021 ) 70650522,Jakarta
81. UD Sumber Sejahtera ( Ayam Potong ),Jl. 20 Desember no.90 & Jl. poris paradise 17 Jakarta,( 021 ) 95501122,Jakarta
82. Andalus,Jl. Swakarsa No.36 Jakarta Timur Jakarta,( 021 ) 36536509,Jakarta
83. PT Sumber Pangan Jaya,"Jl. Cilandak Tengah no. 35, Cilandak, JakSel Jakarta","( 021 ) 75905917,7500673",Jakarta
84. PT Catur Putera Perkasa,", 081250947777 Jakarta",( 021 ) 46832819,Jakarta
85. Pempek Palembang Ci Yuli,Pulo Gebang Permai Blok H 17 No. 10 Jakarta Timur Jakarta,( 021 ) 48701215,Jakarta
86. PT Techgate Indonesia Divisi Agro88,Jl.Kampung Melayu Besar No.9B Jakarta,( 021 ) 8509938,Jakarta
87. MARIJAJAN,"Jl. Perintis 1, Setiabudi, Jakarta Selatan Jakarta",( 021 ) 95667820,Jakarta
88. GoodwayLifestyle,Jl.Pecenongan Raya No.72 Ruko Atap Merah Blok E 7- Jakarta,"( 021 ) 3811515,97527513",Jakarta
89. GABE PROPOLISGOLD,Rawamangun Jakarta,( 021 ) 99872944,Jakarta
90. UD Tiga Bintang,Jl.Menteng Wadas XI Jakarta,( 021 ) 92235913,Jakarta
91. PT GIS INDOSERASI FOODS,"JL RAYA KALIBATA KAV 1, PASAR MINGGU Jakarta",( 021 ) 89562111,Jakarta
92. PT Indomakmur Sarana Perkasa,Ruko Golden Palem Blok R No 30 Citra 5 Jakarta,( 031 ) 92308816,Jakarta
93. Rumah Kebab KN Food,"Jalan A Tanah 80 No 5 Duren Sawit, Jakarta Timur Jakarta",( 021 ) 90589694,Jakarta
94. Nindya Utama Supplier Sayur Mayur,jl.bougenvile no 17 Jakarta,( 021 ) 68798666,Jakarta
95. UD Sentosa Surya Sembako,JL. Bekasi Timur Raya No. 108 .Cipinang Besar Utar Jakarta,( 021 ) 85462241,Jakarta
96. UD USAHA MITRA SEMBAKO,Jl. Panglima Polim Raya Kebayoran Jakarta Selatan Jakarta,( 021 ) 29613548,Jakarta
97. CV PARIS NAJOAN BEER,"Jl. Pejaten Barat Raya Pasar Minggu, Jakarta Selat Jakarta",( 021 ) 7824419,Jakarta
98. UD KARTIKA HEINEKEN BEER,Jl. Gunung Sahari Raya No. 88 Jakarta Pusat Jakarta,( 021 ) 40423930,Jakarta
99. PT CAHAYA MAJU,Jln. Raya Cakung Cilincing No. 8 Jakarta Timur 139 Jakarta,( 021 ) 40692930,Jakarta
100. CV ARDTHA MEGA SEMBAKO,Jl. Bungur Besar Raya No. 45 Jakarta,( 021 ) 40894240,Jakarta
101. CV BERKAH SEMBAKO,"Kali Baru Timur III-63, Jakarta Pusat Jakarta",( 021 ) 40873040,Jakarta
