Company Name,Deskripsi,Address,Telephone Number,Location
1. PT Supreme Jaya Abadi,"Kabel listrik KOBE, kabel berkualitas dan mutu terjamin","Jln. Nusa Indah 21 No. 6, Kapuk, Jakarta Barat Jakarta",( 021 ) 5446355,Produsen bahan bangunan
2. PT PRIMA JASALINDO NUSANTARA,"MELAYANI INTERNATIONAL SEA & AIR FREIGHT FORWARDING, CUSTOMS CLEARANCE, ROJECT SPECIALIST INLAND TRANSPORTATION, EXPORT- IMPORT","Jl.Raya Pasar Minggu Km.17 No.12,Jakarta Selatan Jakarta",( 021 ) 22790422,Eksportir umum
3. PT PRATAMA EXPRESINDO LOGISTICS,We are PEX Logistics an as nternational Air &Sea Freight Forwarders companies in indonesia,Komplek Bukit Mediterania Ruko Florencia A3 Jakarta,"( 021 ) 22457442,45853582",Ekspedisi laut
4. PT MULTI SAMUDERA INTERBUANA,JASA IMPORT MESIN ALAT BERAT JASA IMPORT MESIN BEKAS JASA IMPORT MESIN INDUSTRI JASA IMPORT MESIN MOBIL JASA IMPORT MESIN MOTOR JASA IMPORT MESIN POMPA AIR JASA IMPORT MESIN PRES,Jl. Raya Otitsa No. 141 Jakarta Timur Jakarta,( 021 ) 8197310,Eksportir umum
5. CV BERKAH SEMBAKO,"Distributor/Supplier Sembako Terlengkap Termurah Terpercaya Tepat Waktu Kami melayani Penjualan ritel, grosir, dan juga pengiriman Sembako di seluruh wilayah Indonesia","Kali Baru Timur III-63, Jakarta Pusat Jakarta",( 021 ) 40873040,Distributor produk makanan
6. PT PRIMA JASALINDO NUSANTARA,Jasa Export dan Import specialist dalam bidang Jasa Customs Clearance di Kepabeanan baik via Bandara maupun Pelabuhan di seluruh Nusantara,Jl. Raya Pasar Minggu Km 17 No 12 Jakarta,( 021 ) 22790422,Importir umum
7. WARESIX COM,Tersedia Gudang System On Demand dan WMS serta Mencari Gudang jadi Mitra Waresix kelola,jl. Terusan Sinabung Jakarta,( 021 ) 27519843,Pergudangan
8. Printer-Card com,Indonesian Largest ID Card Printer Shop,Jl. Boulevard Bukit Gading Raya Blok B No. 17 Jakarta,( 021 ) 29376467,Peralatan kantor
9. CVHARDA UTAMA,Pasang/Jual Talang Air Hujan Atap Rumah-Galvanis,jl.teluk palu smp 135 no.15b pondok bambu jakarta Jakarta,( 021 ) 22087807,Produsen bahan bangunan
10. BeautyWorld Treatment,"BEAUTYWORLD supplier juga adalah distributor eksklusif  untuk produk dan Merek terbaik seperti Jannsen Cosmetics dari Jerman,Neoderma dari Cyprus,Naturica & Rica dari Ilaty.",Mangga Dua Square Lantai 1 Blok C No 20-24 Jakarta,"( 021 ) 62310438,62310489",Ac industri
