Company Name,Address,Telephone Number,Other Data,Commodity,Business Field
"A. A, Ud.","Jl. Medan-b, Gampong Jalan, Idi Rayeuk 24454, Aceh Timur, Nanggroe Aceh Darussalam",064621128,,"Areca Nuts, Whether/not Shelled/peeled, Fresh Or D,Ginger, Neither Crushed Nor Ground","Areca nuts, whether/not shelled/peeled, fresh or d,Ginger, Neither Crushed Nor Ground"
"Aceh Kiat Beutari, PT","Jl. Dr.mr.mohd Hasan No. 34 Kec. Luenng Bata, Banda Aceh, Nanggroe Aceh Darussalam",,,Other Mineral Substances Not Elsewhere Specified O,Other mineral substances not elsewhere specified o
"Aridalta Mandiri, CV","Jl. Mesir Kampung Kebet Bebesan, Takengon, Aceh Tengah, Nanggroe Aceh Darussalam",064322432,e-Mail: aridalta@yahoo.com,"Arabica Wib/robusta Oib, Not Roasted, Not Decaffei","Arabica WIB/robusta OIB, not roasted, not decaffei"
"Asia Sabang Trading, PT","Jl. Perdagangan, Sabang, Nanggroe Aceh Darussalam",,,Other Asbestos,Other asbestos
"Ateutamount, CV","Jl. Inen Mayak Teri Lorong 1 No.115 Tetunyung Takengon, Aceh Tengah, Nanggroe Aceh Darussalam",,e-Mail: atutamun@yahoo.com,"Arabica Wib/robusta Oib, Not Roasted, Not Decaffei","Arabica WIB/robusta OIB, not roasted, not decaffei"
Cahaya Commodity Nusantara,"Kampung Pondok Gajah No.6,bener Meriah, Bener Meriah, Nanggroe Aceh Darussalam",0617349351,,"Arabica Wib/robusta Oib, Not Roasted, Not Decaffei,Coffee Husks And Skins,Oth Extract,essence,concentrate, Of Tea Or Mate &","Arabica WIB/robusta OIB, not roasted, not decaffei,Coffee Husks And Skins,Oth Extract,essence,concentrate, Of Tea Or Mate &"
"Cahaya Mas Global Kopi, PT","Jl.kebun Raja Simpang Tujuh, Banda Aceh, Nanggroe Aceh Darussalam",,Website: www.kopi-luwak-global.com,"Coffee, Roasted, Not Decaffeinated, Ground","Coffee, Roasted, Not Decaffeinated, Ground"
"Djasa - Djasa, PT","Jl. Terminal  No.319 Takengon 24513, Aceh Tengah, Nanggroe Aceh Darussalam",,Website: www.degayo.com,"Arabica Wib/robusta Oib, Not Roasted, Not Decaffei","Arabica WIB/robusta OIB, not roasted, not decaffei"
"Fajar Jeumpa, PT","Jl. Sultan Iskandar Muda No. 17, Jeumpa, Bireuen, Nanggroe Aceh Darussalam",,,"Arabica Wib/robusta Oib, Not Roasted, Not Decaffei","Arabica WIB/robusta OIB, not roasted, not decaffei"
"Gayo Mandiri Coffee, CV","Jl. Sp. Teritit - Pondok Baru Makmur Sentosa - Bandar Bener Meriah, Bener Meriah, Nanggroe Aceh Darussalam",,Website: www.gayomandiricoffee.wordpress.com,"Arabica Wib/robusta Oib, Not Roasted, Not Decaffei,Textile Fibres Of Coconut (coir), Other","Arabica WIB/robusta OIB, not roasted, not decaffei,Textile Fibres Of Coconut (coir), Other"
