Company Name,Address,Telephone Number,Other Data,Commodity,Business Field
"A F R A, CV","Btn Surya Graha Lestari, Blok N/2, Desa. Dauh Peken, Tabanan, Bali",,,Oth Wood Charcoal(including Shell   Or Nut Charcoa,Oth wood charcoal(including shell   or nut charcoa
"Abian Bali, PT","Dusun/banjar Sasih,desa Batubulan,kec. Sukawati,, Gianyar, Bali",,,"Oth Wooden Furniture,oth Than Fume Cupboard,Flooring Blocks, Support/filler  Tiles & The Like,Oth Wooden Articles Of Furniture Not Falling In","Oth wooden furniture,oth than fume cupboard,Flooring Blocks, Support/filler  Tiles & The Like,Oth Wooden Articles Of Furniture Not Falling In"
"Access Flora Dewata, CV","Jl. Durian No.1, Denpasar, Bali",,,"Arabica Wib/robusta Oib, Not Roasted, Not Decaffei,Tamarinds, Dried,Cashew, Incl. Mixtures,othwise Prepared Or","Arabica WIB/robusta OIB, not roasted, not decaffei,Tamarinds, Dried,Cashew, Incl. Mixtures,othwise Prepared Or"
"Adhi Darma, CV","Jl. Raya Pengosekan Mas Ubud, Gianyar, Bali",0361974412,,"Statuettes & Oth Ornaments, Of Wood,Oth Wooden Furniture,oth Than Fume Cupboard,Monumental/building Stone Of Oth Stone, Simply","Statuettes & oth ornaments, of wood,Oth Wooden Furniture,oth Than Fume Cupboard,Monumental/building Stone Of Oth Stone, Simply"
"Agar Kembang, CV","Jl. Pintas Biligita Gg Lulut No.99 Kel. Benoa, Kec. Kuta Selatan, Badung, Bali",03618505987,,"Other Seaweed & Algae, Fresh, Chilled, Frozen,drie,Eucheuma Spp,fresh,chilled,frozen,dried, For,Seaweeds & Oth Algae,fresh,chilled/dried  For","Other seaweed & algae, fresh, chilled, frozen,drie,Eucheuma Spp,fresh,chilled,frozen,dried, For,Seaweeds & Oth Algae,fresh,chilled/dried  For"
"Agro Mina Dewata, CV","Jl. Taman Mahardika No.28 Mumbul,benoa, Kuta Selatan 80361, Badung, Bali",,,"Other Marine Fish Excl.fillets, Livers And Roes, F,Oth Salmonidae Fish, Excluding Fillet, Liver And,Live Kerapu (cromilepte Altiveli; Epinephelus","Other marine fish excl.fillets, livers and roes, f,Oth Salmonidae Fish, Excluding Fillet, Liver And,Live Kerapu (cromilepte Altiveli; Epinephelus"
"Agung Aquatic Marine, PT","Jl. Letda Winda Dangin Puri, Denpasar, Bali",03618448359,e-Mail: agungreef@dps.centrin.net.id,"Live Marine Ornamental Fish, Other Than Fry,Other Shrimps And Prawns, Other Than Breeder, Live,Scallops, Live","Live marine ornamental fish, other than fry,Other Shrimps And Prawns, Other Than Breeder, Live,Scallops, Live"
"Agung Jaya  Internasional, PT","Jl. Raya Darmasaba No,60x,brmenesa,darmasaba Abiansemal, Badung, Bali",0361421065,Website: agungjayacraft.com,"Monumental/building Stone Of Oth Stone, Simply Cut,Other Statuetes And Other Ornamen","Monumental/building stone of oth stone, simply cut,Other Statuetes And Other Ornamen"
"Akar Wangi, PT","Cok Rai Pudak No 8 Peliatan Ubud Gianyar, Gianyar, Bali",,,"Wigs, False Beards, Eyebrows,eyelashes Of Human Ha,Wigs, False Beards, Eyebrows,eyelashes, Of Oth,Other Knitted/crocheted Fabrics Of Other Material","Wigs, false beards, eyebrows,eyelashes of human ha,Wigs, False Beards, Eyebrows,eyelashes, Of Oth,Other Knitted/crocheted Fabrics Of Other Material"
"Akuarium Laut Bali, CV","Jl. Mekar No.1 Kepaon- Pemogan Denpasar Selatan, Denpasar, Bali",0361724964,Website: www.aquariumbali.com,"Live Marine Ornamental Fish, Other Than Fry,Oth Molluscs;incl Flours, Meals&pellets,  For,Live Fry Milkfish Or Lapu-lapu, Other Than","Live marine ornamental fish, other than fry,Oth Molluscs;incl Flours, Meals&pellets,  For,Live Fry Milkfish Or Lapu-lapu, Other Than"
"Alam Global Indonesia, PT","Jl. Umalas Ii No.76 Kel.kerobokan Kelod, Kuta Utara, Badung, Bali",,,"Flour,meal & Powder Of Roots/tuber Head 07.14, Oth","Flour,meal & powder of roots/tuber head 07.14, oth"
"Albyon Gema Mandiri, PT","Jl. Gunung Penamparan No. 35x,, Denpasar, Bali",0361425550,,"Statuettes & Oth Ornaments, Of Wood,Other Household Articles Of Iron Or Steel,Household Articles Of Cast Iron Not Enamelled","Statuettes & oth ornaments, of wood,Other Household Articles Of Iron Or Steel,Household Articles Of Cast Iron Not Enamelled"
"Alfa Omega, CV","Jl. Gn. Tangkuban Perahu No.77x, Kel.kerobokan Kelod, Kec.kuta Utara, Badung, Bali",0361730156,,"Oth Ceramic Articles Of Oth Than Porcelain/china,Accesories Of Oth Made Up Clothing, Oth Than Hd,Oth Females Jackets And Blazers Of Oth Textiles,","Oth ceramic articles of oth than porcelain/china,Accesories Of Oth Made Up Clothing, Oth Than Hd,Oth Females Jackets And Blazers Of Oth Textiles,"
"Aloha Coconut Fiber, CV","Jl. Permata Pering 9x Desa Pering, Kec.blahbatuh, Gianyar, Bali",0341324813,,"Textile Fibres Of Coconut (coir), Other","Textile fibres Of coconut (coir), other"
Alove Bali Ind,"Banjar Tengah Bonbiyu,gianyar, Gianyar, Bali",0361950127,Website: www.alovebali.com,"Oth Supplement Fertilisers Chem/not Chem  Treated,Supplement Fertilizers In Liquid Form, Not,Other Vegetable Saps And Extracts","Oth supplement fertilisers chem/not chem  treated,Supplement Fertilizers In Liquid Form, Not,Other Vegetable Saps And Extracts"
Aman Accessories,"Jl. Drupadi I Golden Village, Badung, Bali",,,"Hand Bag With Other Outer Surface,Other Imitation Jewellery Of Base Metal Whether,Accesories Of Oth Made Up Clothing, Oth Than Hd","Hand bag with other outer surface,Other Imitation Jewellery Of Base Metal Whether,Accesories Of Oth Made Up Clothing, Oth Than Hd"
"Anak Burung Tropikana, PT","Jl. Dangin Puri Banjar Apuan Singapadu Sukawati, Gianyar, Bali",,,"Live Psittaciformes (including Parrots, Parakeets,","Live psittaciformes (including parrots, parakeets,"
"Ananta, Ud.","Br. Bandung, Ds. Pandak Bandung, Kecamatan Kediri, Tabanan, Bali",0361830986,,Other Statuetes And Other Ornamen,Other statuetes and other ornamen
"Ands Bali, PT","Jl. Batuyang Gang Bangau Vi/6 Dusun Tegehe, Gianyar, Bali",,,"Jewellery Of Silver,Parts Of Jewellery Of Silver,Oth Articles Of Precious Metal/of Metal Clad With","Jewellery of silver,Parts Of Jewellery Of Silver,Oth Articles Of Precious Metal/of Metal Clad With"
"Angkasa Jaya, CV","Jl. Raya Kuta No. 72 Lt.2, Kerobokan, Badung, Bali",0361751780,,"T-shirts, Singlet&oth Vests Of Cotton, Knitted/cro,Oth Males Garments Of Cotton Not For,Oth Wooden Furniture,oth Than Fume Cupboard","T-shirts, singlet&oth vests of cotton, knitted/cro,Oth Males Garments Of Cotton Not For,Oth Wooden Furniture,oth Than Fume Cupboard"
"Aqua First Bali, CV","Jl. Pidada No. 19 Singaraja, Buleleng, Bali",03618703772,Website: www.afbali.com,"Live Marine Ornamental Fish, Other Than Fry,Oth Aquatic Invertebrates Oth Than Crustaceans,Scallops, Live","Live marine ornamental fish, other than fry,Oth Aquatic Invertebrates Oth Than Crustaceans,Scallops, Live"
"Aqua Home International, PT","Jl. Jimbaran Pratama Gg.serongga, Perarudan, Jimbaran Kuta Selatan, Badung, Bali",,,"Live Marine Ornamental Fish, Other Than Fry,Scallops, Live,Other Shrimps And Prawns, Other Than Breeder, Live","Live marine ornamental fish, other than fry,Scallops, Live,Other Shrimps And Prawns, Other Than Breeder, Live"
"Ari, Fa.","Jl. Raya Mas No.41 Mas - Ubud, Gianyar, Bali",0361973122,,"Oth Wooden Articles Of Furniture Not Falling In Ch,Statuettes & Oth Ornaments, Of Wood,Blow Lamps","Oth wooden articles of furniture not falling in ch,Statuettes & Oth Ornaments, Of Wood,Blow Lamps"
"Atman Silver, PT","Br. Manyar, Ketewel, Sukawati, Gianyar, Bali",,,"Jewellery Of Silver,Articles Of Silversmiths Wares Of Silver Whether","Jewellery of silver,Articles Of Silversmiths Wares Of Silver Whether"
"Ayu Orchid, PT","Jl. Imam Bonjol No.324, 80119, Denpasar, Bali",0361483185,Website: www.ayuorchid.com,"Females Dresses Of Synthetic Fibres,Oth Males Garments Of Syhntetic Fibres To,Females Suits Of Synthetic Fibres","Females dresses of synthetic fibres,Oth Males Garments Of Syhntetic Fibres To,Females Suits Of Synthetic Fibres"
"Bale Gede Internasional, PT","Jl. Prof.ida Bagus Mantra No.101 Ketewel, Gianyar, Bali",,Website: www.ptbalegede.com,"Other Builders Joinery & Carpentry Of  Wood,Other Prefabricated Buildings Of Wood,Other Of Other Vegetable Material","Other builders joinery & carpentry of  wood,Other Prefabricated Buildings Of Wood,Other Of Other Vegetable Material"
Bali Aquarich,"Br. Dinas Sekeling, Buleleng, Buleleng, Bali",0361724560,Website: www.bali-aquarich.com,"Live Marine Ornamental Fish, Other Than Fry,Live Fry Milkfish Or Lapu-lapu, Breeding,Sea Cucumbers (stichopus Japonicus,","Live marine ornamental fish, other than fry,Live Fry Milkfish Or Lapu-lapu, Breeding,Sea Cucumbers (stichopus Japonicus,"
"Bali Aquarium, CV","Jl. Muding Indah Iv. No.12. Padang Sambian, Denpasar, Bali",0361420897,Website: www.baliaquarium.net,"Oth Aquatic Invertebrates Oth Than Crustaceans And,Live Marine Ornamental Fish, Other Than Fry,Oth Prefabricated Structural Components,","Oth aquatic invertebrates oth than crustaceans and,Live Marine Ornamental Fish, Other Than Fry,Oth Prefabricated Structural Components,"
"Bali Aquatic, CV","Lingk. Penginuman Gilimanuk Melaya, Jembrana, Bali",,,"Live Marine Ornamental Fish, Other Than Fry,Other Shrimps And Prawns, Other Than Breeder, Live,Other Live Marine Fish","Live marine ornamental fish, other than fry,Other Shrimps And Prawns, Other Than Breeder, Live,Other Live Marine Fish"
Bali Bakti Anggara,"Jl. Mulawarman No. 2a Lingk. Kaja Kauh, Gianyar, Bali",,,"Statuettes & Oth Ornaments, Of Wood","Statuettes & oth ornaments, of wood"
"Bali Baku, CV","Jl. Drupadi No.14 A, Kel Sumerta Klod Kec Denpasar Timur, Denpasar, Bali",,,"Monumental/building Stone Of Oth Stone, Simply Cut,Other Imitation Jewellery,School Satchel With Outer Surface Of","Monumental/building stone of oth stone, simply cut,Other Imitation Jewellery,School Satchel With Outer Surface Of"
"Bali Bela Abadi, CV","Jl. Uluwatu No 999a Br Kealan Abian Kerobokan, Kuta, Badung, Bali",0361703371,e-Mail: bbb@indo.net.id,"Females Blouses/shirts/shirt Blouses Of Oth Texti,Females Dresses Of Oth Textiles, Not Silk And","Females blouses/shirts/shirt blouses of oth texti,Females Dresses Of Oth Textiles, Not Silk And"
"Bali Bina Utama, CV","Jl. Hangtuah Gg Mawar Ix/10 Pekandelan Sanur, Denpasar, Bali",0361289229,,"Statuettes & Oth Ornaments, Of Wood,Original Sculptures & Statuary Of Stone,Monumental/building Stone Of Oth Stone, Simply","Statuettes & oth ornaments, of wood,Original Sculptures & Statuary Of Stone,Monumental/building Stone Of Oth Stone, Simply"
