Company Name,Address,Telephone Number,Other Data,Commodity,Business Field
"Alam Lestari Kencana, PT","Jl. Tpi Ketapang, Ait Itam, Bukit Intan,  33149, Pangkal Pinang, Kepulauan Bangka Belitung",07174261851,,"Unwrought Tin, Not Alloyed,Tin Bars, Rods, Profiles And Wire Not Soldering","Unwrought tin, not alloyed,Tin Bars, Rods, Profiles And Wire Not Soldering"
"Artha Cipta Langgeng, PT","Tpa Lingkungan Kenanga Permai Kenanga Sungailiat, Bangka, Kepulauan Bangka Belitung",07174256371,,"Unwrought Tin, Not Alloyed","Unwrought tin, not alloyed"
"Asia Kaolinraya, PT","Jl. Raya Badau Km.12 Desa Buluh Tumbang Tanjung Pandan, Belitung, Kepulauan Bangka Belitung",02145855419,Website: www.asiakaolinraya.com,"Activated Clays & Activated Earth, Incl Spent Anim","Activated clays & activated earth, incl spent anim"
"Atd Makmur Mandiri, PT","Kawasan Industri Dan Pelabuhan Air Katung Jelitik Sungailiat, Bangka, Kepulauan Bangka Belitung",071793246,,"Other Articles Of Tin,Tin Bars, Rods, Profiles And Wire Not Soldering","Other Articles Of Tin,Tin Bars, Rods, Profiles And Wire Not Soldering"
"Ayi Jaya, PT","Jl. Pelabuhan Perikanan, Kawasan Industri Jelitik, Bangka, Kepulauan Bangka Belitung",,,"Unwrought Tin, Not Alloyed,Tin Bars, Rods, Profiles And Wire Not Soldering","Unwrought tin, not alloyed,Tin Bars, Rods, Profiles And Wire Not Soldering"
"Bangka Alam Sejahtera, PT","Jl. Koba No. 637 Kampung Dul Pangkalan Baru, Bangka Tengah, Kepulauan Bangka Belitung",0717437876,,"White Pepper, Neither Crushed Nor Ground","White pepper, neither crushed nor ground"
"Bangka Buana Internasion, PT","Jl. Jend. Sudirman No.6, Pangkal Pinang, Kepulauan Bangka Belitung",0717423059,,"White Pepper, Neither Crushed Nor Ground","White pepper, neither crushed nor ground"
"Bangka Kuda Tin, PT","Jl. Sisingamaraja Parit 7 No. 75, Kudai Suangailiat, Bangka, Kepulauan Bangka Belitung",0717421758,,"Unwrought Tin, Not Alloyed","Unwrought tin, not alloyed"
"Bangka Putra Karya, PT","Jl. Tpi Air Ketapang Air Itam, Kawasan Industri, Ketapang Pangkal Pinang, Kepulauan Bangka Belitung",07177000750,,"Unwrought Tin, Not Alloyed,Tin Bars, Rods, Profiles And Wire Not Soldering","Unwrought tin, not alloyed,Tin Bars, Rods, Profiles And Wire Not Soldering"
"Bangka Timah Utama Sejahtera, PT","Jl. Pasir Ketapang Kel. Air Itam, Kec. Bukit Intan, 33149, Pangkal Pinang, Kepulauan Bangka Belitung",07174261858,,"Unwrought Tin, Not Alloyed","Unwrought tin, not alloyed"
"Bangka Tin Industry, PT","Kawasan Industri Jelitik Sungailiat, Bangka, Kepulauan Bangka Belitung",071793842,,"Unwrought Tin, Not Alloyed","Unwrought tin, not alloyed"
"Billiton Plywood, PT","Jl. Depati Endek No. 743 Rt.004 Rw.001, Belitung, Kepulauan Bangka Belitung",,,Veneered Panels&similar W/at Least One Other Wood,Veneered panels&similar w/at least one other wood
"Billiton Rubber Industry, PT","Jl. Raya Badau Km.11 Rt.006 Rw. 002 Dusun Perawas Ii, Belitung, Kepulauan Bangka Belitung",,,"Technically Specified Natural Rubber (tsnr) 20,Technically Specified Natural Rubber (tsnr) 10","Technically Specified Natural Rubber (TSNR) 20,Technically Specified Natural Rubber (tsnr) 10"
"Bukit Timah, PT","Jl. Ketapang Kawasan Industri Pangkal Pinang, Pangkal Pinang, Kepulauan Bangka Belitung",07177000407,e-Mail: bukit.tmh@gmail.com,"Unwrought Tin, Not Alloyed","Unwrought tin, not alloyed"
"Ds Jaya Abadi, PT","Jl. Raya Ketapang Kawasan Industri Pangkal Pinang, Bacang , Bukit Intan, Pangkal Pinang, Kepulauan Bangka Belitung",0717438405,Website: www.dsja-tin.com,"Unwrought Tin, Not Alloyed","Unwrought tin, not alloyed"
Duta Buana Pacific,"Jl. Re Martadinata Rt/rw 007/002, Belitung, Kepulauan Bangka Belitung",071923585,,"Frozen Fillets Of Tunas, Skipjack Or Stripe-bellie,Meat Of Other Fish, (whether Or Not Minced),","Frozen fillets of tunas, skipjack or stripe-bellie,Meat Of Other Fish, (whether Or Not Minced),"
"Fajar Berseri, PT","Jl. Pltu Dusun Mudel Kec.merawang, Bangka, Kepulauan Bangka Belitung",07174261869,Website: www.berseriindonesia.comfajar/,"Other Compounded Rubber,unvulcanised,in Other Form,Technically Specified Natural Rubber (tsnr) 20","Other Compounded Rubber,unvulcanised,in Other Form,Technically Specified Natural Rubber (tsnr) 20"
"Gita Pesona, CV","Duyung Raya Perumnas Btn Air Buai Karya Makmur Pemali, Bangka, Kepulauan Bangka Belitung",,,"Part Coat Rod & Cor Wire Of Alloy Stell, Cont Weig","Part coat rod & Cor wire of alloy stell, cont weig"
"Indobhakti Makmur, PT","Jl. Jend.sudirman No.32 Toboali, Bangka Selatan, Kepulauan Bangka Belitung",071841021,,"White Pepper, Neither Crushed Nor Ground","White pepper, neither crushed nor ground"
"Inti Stania Prima, PT","Komp.industri &amp; Pelabuhan Air Kantung Jeliti Sungailiat, Bangka, Kepulauan Bangka Belitung",071795071,,"Unwrought Tin, Not Alloyed","Unwrought tin, not alloyed"
"Justindo, PT","Dusun Ilir Rt. 12 Rw. 06, Belitung, Kepulauan Bangka Belitung",,,"Unwrought Tin, Not Alloyed","Unwrought tin, not alloyed"
"Karini Utama, PT","Jl. Syahfri Rachman Km. 3  Crumb Rubber Factory Po Box 234, Pangkal Pinang, Kepulauan Bangka Belitung",0717424685,,Technically Specified Natural Rubber (tsnr) 20,Technically Specified Natural Rubber (TSNR) 20
Keranji Jaya Utama,"Jl. Raya Sadai,bangka Selatan, Bangka, Kepulauan Bangka Belitung",0717438928,,"Tin Bars, Rods, Profiles And Wire Not Soldering","Tin bars, rods, profiles and wire not soldering"
"Laris Jaya, Pd.","Jl. Liong Boen No. 71, Pangkal Pinang, Kepulauan Bangka Belitung",0717421499,,"White Pepper, Neither Crushed Nor Ground","White pepper, neither crushed nor ground"
"Laut Jaya, CV","Jl. Re Martadinata Tanjung Pandan, Belitung, Kepulauan Bangka Belitung",071925339,,"Meat Of Other Fish, (whether Or Not Minced),  Froz,Cuttle Fish And Squid, Frozen,Mackarel Excl.fillets, Livers And Roes, Frozen","Meat of other fish, (whether or not minced),  froz,Cuttle Fish And Squid, Frozen,Mackarel Excl.fillets, Livers And Roes, Frozen"
"Litin Makmur Lestari, PT","Jl. Jend. Sudirman Rt.19 Rw.08 Lesung Batang, Belitung, Kepulauan Bangka Belitung",0216251230,,"Unwrought Tin, Not Alloyed","Unwrought tin, not alloyed"
"Makro Jaya Lestari, PT","Jl. Pasar Lama No. 18 Pangkal Pinang, Pangkal Pinang, Kepulauan Bangka Belitung",0717422490,,"White Pepper, Neither Crushed Nor Ground","White pepper, neither crushed nor ground"
"Mitra Stania Prima, PT","Jl. Jelitik Sungailiat, Komp. Indsi &amp; Pel. Air Kantung, Jelitik, Sungailiat, Bangka, Kepulauan Bangka Belitung",,Website: www.mitrastania.co.id,"Unwrought Tin, Not Alloyed","Unwrought tin, not alloyed"
"Nelayan Mitra Mandiri, PT","Jl. Re. Martadinata Tanjung Pandan, Belitung, Kepulauan Bangka Belitung",071925168,,"Cuttle Fish And Squid, Frozen,Meat Of Other Fish, (whether Or Not Minced),,Frozen Fillets Of Other Fish","Cuttle fish and squid, frozen,Meat Of Other Fish, (whether Or Not Minced),,Frozen Fillets Of Other Fish"
"Panen Baru, CV","Jl. Koba No. 76a Kampung Dul Pangkalan Baru, Bangka Tengah, Kepulauan Bangka Belitung",0717432609,,"Other Pepper, Neither Crushed Nor Ground","Other Pepper, Neither Crushed Nor Ground"
"Prima Timah Utama, PT","Jl. Ketapang Air Itam Bukit Intan Kawasan Industri, Pangkal Pinang, Kepulauan Bangka Belitung",0717421381,,"Unwrought Tin, Not Alloyed","Unwrought tin, not alloyed"
"Refined Bangka Tin, PT","Jl. Kawasan Industri Jelitik Kec,sungai Liat, Bangka, Kepulauan Bangka Belitung",071795444,,"Unwrought Tin, Not Alloyed","Unwrought tin, not alloyed"
"Sariwiguna Bina Sentosa, PT","Jl. Ketapang Kawasan Industrial Kec. Bukit Intan, Pangkal Pinang, Kepulauan Bangka Belitung",,,"Unwrought Tin, Not Alloyed","Unwrought tin, not alloyed"
Seirama Tin Investment,"Jl.depati Rahat No.42 Rt14/03,belitung, Belitung, Kepulauan Bangka Belitung",071924672,,"Tin Bars, Rods, Profiles And Wire Not Soldering","Tin bars, rods, profiles and wire not soldering"
"Serumpun Sebalai, CV","Jl. Manunggal Desa Dul Kampung Dul, Bangka Tengah, Kepulauan Bangka Belitung",07174255253,,"Part Coat Rod & Cor Wire Of Alloy Stell, Cont Weig,Unwrought Tin, Not Alloyed,Tin Bars, Rods, Profiles And Wire Not Soldering","Part coat rod & Cor wire of alloy stell, cont weig,Unwrought Tin, Not Alloyed,Tin Bars, Rods, Profiles And Wire Not Soldering"
"Stainindo Inti Perkasa, PT","Jl. Ketapang Kawasan Industri Air Itam, Bukit Intan, Pangkal Pinang, Kepulauan Bangka Belitung",0717438405,,"Unwrought Tin, Not Alloyed","Unwrought tin, not alloyed"
"Sukardi, CV","Jl. Ketapang No. 199 Pangkal Balam, Pangkal Pinang, Kepulauan Bangka Belitung",0717435588,,"Other Marine Fish Excl.fillets, Livers And Roes, F,Rays And Skates, Excl.fillets, Livers And Roes,,Mangrove Red Snappers, Excl.fillets, Livers And","Other marine fish excl.fillets, livers and roes, f,Rays And Skates, Excl.fillets, Livers And Roes,,Mangrove Red Snappers, Excl.fillets, Livers And"
"Sumber Alam Lestari, CV","Jl. Koba No.637, Kel. Dul, Kec. Pangkalan Baru, 33147, Bangka Tengah, Kepulauan Bangka Belitung",,,"White Pepper, Neither Crushed Nor Ground","White pepper, neither crushed nor ground"
"Tambang Timah, PT","Jl. Jend.sudirman No. 51, Kel.opas Indah, Kec.taman Sari, Pangkal Pinang, Kepulauan Bangka Belitung",07174258080,Website: www.timah.com,"Unwrought Tin, Not Alloyed,Tin Bars, Rods, Profiles And Wire Soldering","Unwrought tin, not alloyed,Tin Bars, Rods, Profiles And Wire Soldering"
"Timah (persero) Tbk, PT","Jl. Jendral Sudirman No.51 Kel.opas Indah, Kec.taman Sari, 33121, Pangkal Pinang, Kepulauan Bangka Belitung",07174258000,Website: www.timah.com,"Unwrought Tin, Not Alloyed,Tin Bars, Rods, Profiles And Wire Soldering","Unwrought tin, not alloyed,Tin Bars, Rods, Profiles And Wire Soldering"
"Timah Industri, PT","Jl. Jendral Sudirman No.51 Kel.opas Indah, Kec.taman Sari, 33121, Pangkal Pinang, Kepulauan Bangka Belitung",07174258080,Website: www.timah.com,"Anti Oxidising Prep & Oth Compound Stabilisers For,Oth Of Oth Organo-inorganic Compounds","Anti oxidising prep & oth compound stabilisers for,Oth Of Oth Organo-inorganic Compounds"
"Timah Nusantara, PT","Jl. Tempilang Raya Km.1, Kel.kelapa, Kec.kelapa, Bangka Barat, Kepulauan Bangka Belitung",0715355132,,"Unwrought Tin, Not Alloyed,Tin Bars, Rods, Profiles And Wire Not Soldering","Unwrought tin, not alloyed,Tin Bars, Rods, Profiles And Wire Not Soldering"
"Tinindo Internusa, PT","Jl. A. Yani No. 46, Kec.taman Sari, Pangkal Pinang, Kepulauan Bangka Belitung",07177002299,,"Unwrought Tin, Not Alloyed","Unwrought tin, not alloyed"
Tirus Putra Mandiri,"Dusun Tirus No.62, Kel.riau, Kec.riau Silip, Bangka, Kepulauan Bangka Belitung",0717431053,,"Part Coat Rod & Cor Wire Of Alloy Stell, Cont Weig,Tin Bars, Rods, Profiles And Wire Not Soldering","Part coat rod & Cor wire of alloy stell, cont weig,Tin Bars, Rods, Profiles And Wire Not Soldering"
"United Smelting, CV","Jl. Parit Lalang No. 2 Kec. Rangkui, Pangkal Pinang, Kepulauan Bangka Belitung",0717421479,e-Mail: utdsmelt@yahoo.com,"Unwrought Tin, Not Alloyed","Unwrought tin, not alloyed"
"Varia Gemilang, CV","Jl. Raya Sungailiat Belinyu Rt. 006 Rw. 005, Bangka, Kepulauan Bangka Belitung",0715883338,,"Tin Bars, Rods, Profiles And Wire Not Soldering","Tin bars, rods, profiles and wire not soldering"
"Venus Inti Perkasa, CV","Jl. Singayuda Iv Kel. Parit Padang Kec. Sungai Liat, Bangka, Kepulauan Bangka Belitung",07177000567,,"Unwrought Tin, Not Alloyed","Unwrought tin, not alloyed"
"Wadah Lautan Makmur, CV","Jl. R.e Martadinata Kota Tanjung Pandan, Tanjung Pandan 33411, Belitung, Kepulauan Bangka Belitung",,,"Meat Of Other Fish, (whether Or Not Minced),  Froz","Meat of other fish, (whether or not minced),  froz"
Yudian Sejahtera,"Jl. Raya Sijuk Km.14 Rt/rw: 18/08,belitung, Belitung, Kepulauan Bangka Belitung",,,"Kaolin And Other Kaolinic Clays,whether Or Not Cal","Kaolin and other kaolinic clays,whether or not cal"
