Company Name,Address,Telephone Number,Other Data,Commodity,Business Field
"Abadi Garmindo, PT","Jl. Cireundeu Raya No.49 Rt.005/006,tangerang Selatan, Tangerang Selatan, Banten",0217442598,Website: ptag.co.id,"Males Shirts Of Cotton, Printed By Traditional Ba,Oth Male Garmnt Of 5602/03;5903/06/07 For Protect","Males shirts of cotton, printed by traditional ba,Oth Male Garmnt Of 5602/03;5903/06/07 For Protect"
"Accent House, CV","Jl. Parakan No 56 Pondok Benda Pamulang Rt.002 Rw 1, Tangerang, Banten",0217407265,Website: www.accenthouse.net,"Oth Wooden Furniture,oth Than Fume Cupboard,Oth Seats,with Wooden Frames,combined With Other","Oth wooden furniture,oth than fume cupboard,Oth Seats,with Wooden Frames,combined With Other"
"Adhi Jaya Metalindo, PT","Kp. Cadas Rt.005 Rw.002 Sepatan, Tangerang, Banten",02163859011,,"Other Aluminium Wire Of Non Aluminium Not Alloyed,Aluminium Wire Of Non Aluminium Alloys With A","Other aluminium wire of non aluminium not alloyed,Aluminium Wire Of Non Aluminium Alloys With A"
"Adis Dimension Footwear, PT","Jl. Raya Serang Km.24 Kp. Kosambi Balaraja, Tangerang, Banten",0215951618,,"Sports Footwear Not Fitted With Spikes/ Bowling/wr,Oth Sports Footwear For Oth Purpossed With Outer,Sports Footwear Not For Wrestling/ski/ Same Items","Sports footwear not fitted with spikes/ bowling/wr,Oth Sports Footwear For Oth Purpossed With Outer,Sports Footwear Not For Wrestling/ski/ Same Items"
"Aggiomultimex Incorp, PT","Jl. Imam Bonjol No.88 Rt.001 Rw.005 Bojong Jaya Karawaci, Tangerang, Banten",02155763999,Website: www.aggio.com,"Oth Footwear, Not For Sprts/incorp Metal Toe-cap P,Uppers & Parts Thereof, Oth Than Stif Feners &","Oth footwear, not for sprts/incorp metal toe-cap p,Uppers & Parts Thereof, Oth Than Stif Feners &"
Agri Products Nusantara,"Jl. Raya Jombang Ruko Freesia Garden No.28, Tangerang Selatan, Banten",,,"Nutmeg, Neither Crushed Nor Ground,Mace, Crushed Or Ground,Mace, Neither Crushed Nor Ground","Nutmeg, neither crushed nor ground,Mace, Crushed Or Ground,Mace, Neither Crushed Nor Ground"
"Agrindo Maju Lestari, PT","Jl. Raya Serang Km.18.8 Desa Sukanegara Kawasan Industri Bonen Kav.ix, Serang, Banten",0215961988,Website: www.aml.co.id,"Oth Centrifugal Pumps;single Suction Horizontal Sh,Parts Of Oth Appliance Of Subhead","Oth centrifugal pumps;single suction horizontal sh,Parts Of Oth Appliance Of Subhead"
"Agro Unggul Rejeki Abadi, PT","Ruko Great Western Resort Blok A1/1 Rt.04 Rw.02 Kebon Nanas, Tangerang, Banten",02155754763,,"Ginger, Neither Crushed Nor Ground,Potatoes, Other Than Seed , Fresh Or Chilled","Ginger, neither crushed nor ground,Potatoes, Other Than Seed , Fresh Or Chilled"
"Agung Karya Sejati, PT","Jl. Veteran No 12 Rt/rw 02/05,, Tangerang, Banten",02159494679,Website: agungkarya.com,"Hyd Brake Fluid&oth For Hyd Trnsmssion Whether Or,Oth Lubricating Prep Cont Petroleum Oil","Hyd brake fluid&oth for hyd trnsmssion whether or,Oth Lubricating Prep Cont Petroleum Oil"
"Agung Pelita Industrindo, PT","Jl. Raya Serpong Km.7 Rt/rw.02/01 Pakualam, Tangerang Selatan, Banten",02153121415,e-Mail: ptapi@cbn.net.id,"Parts Of Footwear With Outer Soles & Heels, Of Rub","Parts of footwear with outer soles & heels, of rub"
"Agung Poly Nugraha, PT","Kp. Cirewed Rt.001 Rw.004 Suka Damai,cikupa, Tangerang, Banten",0215961160,,"Textile Fbrcs Impregnated,coated,covered With Poly","Textile fbrcs impregnated,coated,covered with poly"
"Akra Indonesia, CV","Jl. Subur Vii Blok B.6 No.19 Rt.05/rw.04 Kel.gebang Raya, Periuk, Tangerang, Banten",0215901252,,"Wigs, False Beards, Eyebrows,eyelashes, Of Oth Mat","Wigs, false beards, eyebrows,eyelashes, of oth mat"
"Aksara Kencana Putra, PT","Jl  Raya Kelapa Dua Ruko Frankfrut B.2/22, Tangerang, Banten",,,"Natural Honey,Black Tea (fermented) & Partly Fermented  Tea,,Cane Molases,not Added Flavour/colour","Natural honey,Black Tea (fermented) & Partly Fermented  Tea,,Cane Molases,not Added Flavour/colour"
"Alam Calamus, PT","Jl. Otonom Desa Talagasari Cikupa, Tangerang, Banten",0215960047,Website: www.alamcalamus.com,"Parts Of Aircraft Seats (head 94011000),Seat Of Rattan,Oth Wooden Furniture,oth Than Fume Cupboard","Parts of aircraft seats (head 94011000),Seat Of Rattan,Oth Wooden Furniture,oth Than Fume Cupboard"
"Alam Laut, CV","Pergudangan Bandara Mas Blok D-27,selapajang Jaya, Neglasari, Tangerang, Banten",02170815507,,"Crabs, Live,Lobsters (homarus Spp),oth Than Breeder ,live,Live Eels (anguilla Spp.)","Crabs, live,Lobsters (homarus Spp),oth Than Breeder ,live,Live Eels (anguilla Spp.)"
