Company Name,Address,Telephone Number,Other Data,Commodity,Business Field
"3m Indonesia Importama, PT","Perkantoran Hijau Arkadia Tower F Lt. 9 Jl. Letjen. Tb. Simatupang Kav.8, Jakarta Selatan, DKI Jakarta",,Website: www.3M.com,"Self-adhesive Plate,sheet,film,foil,tape &strip,wi,Self-adhesive Plate,sheet,film,foil,tape,Natural/artificial Abrasive Powder/grain On A","Self-adhesive plate,sheet,film,foil,tape &strip,wi,Self-adhesive Plate,sheet,film,foil,tape,Natural/artificial Abrasive Powder/grain On A"
"3m Indonesia, PT","Jl. Jend Sudirman Kav.25 Plaza Dm Lt.5 Karet-setia Budi, Jakarta Selatan, DKI Jakarta",02178832172,Website: www.3m.com,"Wadding Of Cotton M-m-f Of Oth Wrapped Cigarette T,Self-adhesive Plate,sheet,film,foil,tape","Wadding of cotton m-m-f of oth wrapped cigarette t,Self-adhesive Plate,sheet,film,foil,tape"
"A & A Enterprise Resources, CV","Jl. Teuku Umar 2 Rt 001 Rw.003 Kemayoran, Jakarta Pusat, DKI Jakarta",,e-Mail: 3mindonesia@mmm.com,"Oth Pasta, Oth Instant Noodles,Oth Ceramic Articles Of Oth Than Porcelain/china,Oth Than Kerupuk Of Shrimps","Oth pasta, oth instant noodles,Oth Ceramic Articles Of Oth Than Porcelain/china,Oth Than Kerupuk Of Shrimps"
"A&k Door Indonesia, PT","Jl. M.h. Thamrin 57 Permata Plaza 11th 1107, Jakarta Pusat, DKI Jakarta",0267646640,,Doors & Their Frames & Thresholds Of Wood,Doors & their frames & thresholds of wood
Abadi Asia Pasific,"Jl. Halimun No35,rt008/002, Jakarta Selatan, DKI Jakarta",,,"Sea Cucumbers (stichopus Japonicus, Holothurloldea","Sea cucumbers (Stichopus japonicus, Holothurloldea"
"Abadi Cahaya Prima, PT","Jl. Tawakal Xi No.1., Jakarta Barat, DKI Jakarta",0215669601,,"Inedible Mixture/preparations Of Animal/ Vegetable,Ground-nut,soya-bean, Palm/coconut Oil,Inedible Mixtures/preparations Of Oil Palm","Inedible mixture/preparations of animal/ vegetable,Ground-nut,soya-bean, Palm/coconut Oil,Inedible Mixtures/preparations Of Oil Palm"
"Abadi Indorona, PT","Jl. Meruya Ilir Intercon Plaza Blok E/9 Rt.001/009, Jakarta Barat, DKI Jakarta",0215872904,Website: www.veneerabadi.com,"Other Furniture Of Cane, Osier, Bamboo Or Similar","Other furniture of cane, osier, bamboo or similar"
"Abadi Sentosa Gemilang, PT","Gedung Bulutangkis Vc. Jl. Asia Afrikagelora, Tanah Abang, Jakarta Pusat, DKI Jakarta",,,"Sports Footwear Not Fitted With Spikes/ Wrstling/w,Oth Footwear With Outer Sole Of Leather, Not,Badminton Or Similar Rackets, Whether/ Not Strung","Sports footwear not fitted with spikes/ wrstling/w,Oth Footwear With Outer Sole Of Leather, Not,Badminton Or Similar Rackets, Whether/ Not Strung"
Abadikokoh Insani,"Jl. Otto Iskandardinata Raya No.19, Jakarta Timur, DKI Jakarta",,,"Oth Non-aerated Beverage Ready For Immediate Consu,Radiator Panel,flat Tube Radiator Assemb For,Hyd Brake Fluid&oth For Hyd Trnsmssion Whether Or","Oth non-aerated beverage ready for immediate consu,Radiator Panel,flat Tube Radiator Assemb For,Hyd Brake Fluid&oth For Hyd Trnsmssion Whether Or"
"Abadinusa Usahasemesta, PT","Jl. Raden Saleh No. 45g, Cikini, Jakarta Pusat, DKI Jakarta",0213101826,Website: www.abadinusa.co.id,"Oth Instruments&app Oth Than Exposure Meters,elect","Oth instruments&app oth than exposure meters,elect"
"Abb Sakti Industri, PT","Jl. Jend.sudirman Kav.10-11 Mid Plaza I Lt.10, Jakarta Selatan, DKI Jakarta",02125515566,,"Oth Board For Elect. Control For Voltage > 1000 Vo,Oth Part Of Electric Switch,socket&plug, <= 1000v,Oth Mach For Assembling Cpu Daughter Board In","Oth board for elect. control for voltage > 1000 vo,Oth Part Of Electric Switch,socket&plug, <= 1000v,Oth Mach For Assembling Cpu Daughter Board In"
"Abbott Indonesia, PT","Jl. Gatot Subroto Kav.38 Jamsostek Tower 23rd Flr, North Tower, Jakarta Selatan, DKI Jakarta",02127587889,Website: abbott.co.id,"Oth Medicament Cont Vitamin (oth Than A, B,c) Or O,Oth Medicaments Cont Erythromycin/derive ,oth For","Oth medicament cont vitamin (oth than A, B,C) or o,Oth Medicaments Cont Erythromycin/derive ,oth For"
"Abc President Indonesia, PT","Rukan Artha Gading Niaga Blok A No.32-34, Jakarta Utara, DKI Jakarta",0214535877,Website: www.abcpresident.com,"Uncooked Pasta, Not Stuffed/otherwise Prepared, No,Oth Pasta, Oth Instant Noodles,Oth Mixed Condiments And Mixed Seasonings,","Uncooked pasta, not stuffed/otherwise prepared, no,Oth Pasta, Oth Instant Noodles,Oth Mixed Condiments And Mixed Seasonings,"
"Abdi Bayumurni Abadi, PT","Jl. Peta Utara 3 No.48a Pegadungan, Kalideres, Jakarta Barat, DKI Jakarta",02154373594,,Oth Parts Of Goods Of Subheading 8421.21.11/8421.2,Oth parts of goods of subheading 8421.21.11/8421.2
"Abu Sharief Andsons, PT","Jl. Tebet Timur Dalam Raya No. 76 Rt. 005 Rw. 006 Tebet Timur, Jakarta Selatan, DKI Jakarta",0218297226,,"Oth Plants&parts Of Plants, Not For Pharmacy, Not,Oth Wood Charcoal(including Shell   Or Nut","Oth plants&parts of plants, not for pharmacy, not,Oth Wood Charcoal(including Shell   Or Nut"
"Acbos Indonesia, PT","Nusantara Building Lt. 20 Jl. Mh. Thamrin No 59, Jakarta Pusat, DKI Jakarta",,Website: www.aicello.com,Aseptic Bag Not Reinforced W/ Alum Foil; Width<315,Aseptic bag not reinforced w/ alum foil; width<315
"Ace Hardware Indonesia, PT","Jl. Puri Kencana No.1 Gedung Kawan Lama Lt.5, Jakarta Barat, DKI Jakarta",0215824022,Website: www.acehardware.co.id,"Furniture Of Plastics Oth Than For Baby Walker,fum","Furniture of plastics oth than for baby walker,fum"
"Acer Indonesia, PT","Jl. Jendral Sudirman Wisma 46 Kota Bni Lt 15, Jakarta Pusat, DKI Jakarta",02129922346,Website: www.acer.co.id,"Other Mach Input/output Units,whether/ Not Contain,Oth Portable Digital Automatic Data,Laptops Incl Notebooks And Subnotebooks","Other mach input/output units,whether/ not contain,Oth Portable Digital Automatic Data,Laptops Incl Notebooks And Subnotebooks"
"Actavis Indonesia, PT","Jl. Raya Bogor Km.28 Pekayon Pasar Rebo, Jakarta Timur, DKI Jakarta",0218711382,Website: www.actavis.co.id,"Other Medicaments Oth Than Herbal Medica Ments, Fo,Oth Med Cont Phenobarbital, Diazepam/,Oth Medicaments Cont Penicillins/their","Other medicaments oth than herbal medica ments, fo,Oth Med Cont Phenobarbital, Diazepam/,Oth Medicaments Cont Penicillins/their"
"Adaro Indonesia, PT","Jl. Hr Rasuna Said Blok X-5 Kav. 1-2 Menara Karya 22rd Floor, Jakarta Selatan, DKI Jakarta",02125533061,Website: www.adaro.com,"Other Coal,whether Or Not Pulverised But Not Agglo,Lignite, Whether Or Not Pulverised, But Not","Other coal,whether or not pulverised but not agglo,Lignite, Whether Or Not Pulverised, But Not"
"Adhaus, PT","Jl. Tentara Pelajar Rukan Permata Senayan Blok  C-20, Jakarta Selatan, DKI Jakarta",,,"Dolls, Whether/not Dressed","Dolls, whether/not dressed"
"Adhi Manunggal Prana, PT","Jl. Gajah Mada No.28, Jakarta Pusat, DKI Jakarta",0216334650,,"Statuettes & Oth Ornaments, Of Wood,Prep Food Obtain By The Swell/roasting Of,Oth Male Garmnt Of 5602/03;5903/06/07 For Protect","Statuettes & oth ornaments, of wood,Prep Food Obtain By The Swell/roasting Of,Oth Male Garmnt Of 5602/03;5903/06/07 For Protect"
"Adhi Sakti Gumilang, PT","Jl. Daan Mogot Ii,no.16-18 Rt.06/01 Tanjung Duren Utara Grogol Petamburan, Jakarta Barat, DKI Jakarta",02156977899,Website: www.garmentpaper.com,"Newsprint, In Rolls Or Sheets. Weighing Not More T,Oth Trade Advertising Material, Commercial","Newsprint, in rolls or sheets. weighing not more t,Oth Trade Advertising Material, Commercial"
"Adhita Nikel Indonesia, PT","Jl. Tb Simatupang No. 1 Gd. Dapen Lt.2 Komp. Gd. Antam, Jakarta Selatan, DKI Jakarta",,Website: www.adhitanikel.com,Nickel Ores And Concentrates,Nickel ores and concentrates
"Adi Teknik Karya Bakti, PT","Ruko Jembatan Lima Indah F4 Rt 010 Rw 002,  Jl. K.h. Moch Mansyur No.1, Jakarta Pusat, DKI Jakarta",,Website: www.adikaryabakti.com,Compr  Kind Refgrt Eqp Oth With Cap Refr <21.10 Kw,Compr  kind refgrt eqp oth with cap refr <21.10 kw
"Adicentral Arometal, PT","Jl. Yos Sudarso Kav. 89 Wisma Smr I.t.2 Unit 3, Jakarta Utara, DKI Jakarta",0216507859,Website: www.lichtgitter.de,Waffles And Wafers,Waffles and wafers
"Adidas Indonesia, PT","Jl Jend Sudirman Kav 25,sequis Plaza Lt 11 Suite 1102, Jakarta Selatan, DKI Jakarta",0215204667,Website: www.adidas.co.id,"Sports Footwear Not For Wrestling/ski/ Same Items,Mens/boys Trousers, Breeches&shorts Of Oth","Sports footwear not for wrestling/ski/ same items,Mens/boys Trousers, Breeches&shorts Of Oth"
