Company Name,Address,Telephone Number,Other Data,Commodity,Business Field
"A. Schulman Plastics, PT","Desa Ngerong Km. 39 Gempol, Pasuruan, Gorontalo",0343854238,Website: www.aschulman.com,"Polypropylene In Granule Form,Oth Linier Low Density Polyethylene In The Form,Propylene Copolymers In Granule","Polypropylene in granule form,Oth Linier Low Density Polyethylene In The Form,Propylene Copolymers In Granule"
"Abadi Barindo Autotech, PT","Jl. Raya Purwosari No.1 Km.61, Pasuruan, Gorontalo",0343613707,,"Non Woven Of Oth M-m-f,weight=<150g/m2,Oth Made Up Articls, Not Umbrella Covers,Seats Of A Kind Used For Motor Vehicles Oth Than","Non woven of oth m-m-f,weight=<150g/m2,Oth Made Up Articls, Not Umbrella Covers,Seats Of A Kind Used For Motor Vehicles Oth Than"
"Agar Sari Jaya, CV","Jl. Puntir Dusun Klojen, Martopuro, Purwosari, Pasuruan, Gorontalo",0341400577,Website: www.agarsarijaya.com,"Agar-agar,Gracilaria Lichenoides,fresh,chilled,","Agar-agar,Gracilaria Lichenoides,fresh,chilled,"
Aida,"Jl. Jend. Akhmad Yani Rt. 05 Rw. 01, Pasuruan, Gorontalo",,,"Other Furniture Of Cane, Osier, Bamboo Or Similar,Oth Wooden Furniture,oth Than Fume Cupboard","Other furniture of cane, osier, bamboo or similar,Oth Wooden Furniture,oth Than Fume Cupboard"
"Aji Sono, PT","Dsn. Kaliputih, Ds. Sumbersuko, Kec Gempol, Pasuruan, Gorontalo",0343633574,,"Oth Non Coniferous Oth Teak Strips Friezes For Par,Oth Sanded Or End Jointed&of A Thick > 6 Mm","Oth non coniferous oth teak strips friezes for par,Oth Sanded Or End Jointed&of A Thick > 6 Mm"
Akt Indonesia,"Rembang Industri Raya 45, Pasuruan, Gorontalo",,,Oth String Musical Instruments(guitars) Not Played,Oth string musical instruments(guitars) not played
"Alam Indomegah, PT","Jl. Bintoro Desa  Gunung Gangsir - Beji, Pasuruan, Gorontalo",0343656545,,Other Cigarettes Containing Tobacco,Other cigarettes containing tobacco
"Algalindo Perdana, PT","Jl. Wicaksono No. 23 Desa Gununggangsir - Kec. Beji, Pasuruan, Gorontalo",0343656118,Website: www.algalindo.com,"Carageenan In Powder Form,Other Seaweed & Algae, Fresh, Chilled,","Carageenan in powder form,Other Seaweed & Algae, Fresh, Chilled,"
"Alp Petro Industry, PT","Jl. Raya Tempel Lrgok, Kecamatan Gempol, Pasuruan, Gorontalo",0343853307,,Lubricating Oil Basestock,Lubricating oil basestock
"Amarta Carrageenan Indonesia, PT","Desa Jeruk Purut-bulu Sari Kec.gempol, Pasuruan, Gorontalo",0343851406,,"Carageenan In Powder Form,Oth Mucilages & Thickeners, Whether/not","Carageenan in powder form,Oth Mucilages & Thickeners, Whether/not"
