Company Name,Address,Telephone Number,Other Data,Commodity,Business Field
"Angkasa Raya Djambi, PT","Kampung Arab Melayu, Seko Po Box 66, Jambi, Jambi",074158081,e-Mail: angkasa_raya@gmail.com,Technically Specified Natural Rubber (tsnr) 20,Technically Specified Natural Rubber (TSNR) 20
"Anugrah Bungo Lestari, PT","Jl. Sudirman Kel.bungo Barat Kec. Muara, Bungo, Jambi",,,"Technically Specified Natural Rubber (tsnr) 20,Technically Specified Natural Rubber (tsnr) 10","Technically Specified Natural Rubber (TSNR) 20,Technically Specified Natural Rubber (tsnr) 10"
Asiatic Persada,"Pks Sei Kandang,batanghari, Batang Hari, Jambi",,,Crude Palm Oil,Crude palm oil
"Bandar Jakarta, CV","Jl. Melati No. 12 Kel.tungkal Iv Kec. Tungkal Ilir Kuala Tungkal, Jambi, Jambi",0742322822,e-Mail: pargorachi@yahoo.com,"Oth Than Wood Charcoal(including Shell  Or Nut Cha,Coffee Oth Than Arabica Wib/robusta Oib, Not","Oth than wood charcoal(including shell  or nut cha,Coffee Oth Than Arabica Wib/robusta Oib, Not"
"Batanghari Tembesi, PT","Jl. Kampung Sejinjang Rt. 1, Jambi, Jambi",074121294,,Technically Specified Natural Rubber (tsnr) 20,Technically Specified Natural Rubber (TSNR) 20
Bening Anugerah Semesta,"Jl. Sumantri Brojonegoro, Lrg Asuhan No.30 Rt.006, Jambi, Jambi",,,"Other Coal,whether Or Not Pulverised But Not Agglo,Bituminous Coal: Coking Coal","Other coal,whether or not pulverised but not agglo,Bituminous Coal: Coking Coal"
"Best Supary, CV","Jl. Buper Rt.010 Tangkit Sungai Gelam Muaro Jambi, Muaro Jambi, Jambi",,,"Areca Nuts, Whether/not Shelled/peeled, Fresh Or D","Areca nuts, whether/not shelled/peeled, fresh or d"
"Bintang Selamanya, PT","Jl. Kemakmuran Dusun Sentosa Parit V Tungkal Ilir, Tanjung Jabung Barat, Jambi",074221731,,"Areca Nuts, Whether/not Shelled/peeled, Fresh Or D","Areca nuts, whether/not shelled/peeled, fresh or d"
"Budi Nabati Perkasa, PT","Jl. Gatot Subroto No. 34 Sungai Asam, Jambi, Jambi",074121866,,"Palm Kernel Oil, Rbd,Crude Oil Of Palm Kernel,Unsolid Fractions Of Refined Palm Oil, Packing","Palm kernel oil, RBD,Crude Oil Of Palm Kernel,Unsolid Fractions Of Refined Palm Oil, Packing"
"Budiman Sukses, PT","Jl. Prof. Dr. Sri Soedewi Ms, Sh. No.18 Tungkal Harapan, Tungkal Ilir, Jambi, Jambi",0742323693,,"Areca Nuts, Whether/not Shelled/peeled, Fresh Or D","Areca nuts, whether/not shelled/peeled, fresh or d"
"Bunian Kencana, PT","Rt. 14 Desa Kasang Pudak Kec. Kumpeh Ulu, Muaro Jambi, Jambi",,,"Veneered Panels&similar W/at Least One Other Wood,Oth Non Coniferous Oth Teak Strips Friezes For","Veneered panels&similar w/at least one other wood,Oth Non Coniferous Oth Teak Strips Friezes For"
Cassiaco-op,"Jl. Lembang Jaya,sungai Penuh, Sungai Penuh, Jambi",,,"Cinnamon-tree Flowers, Neither Crushed Nor Ground,Cinnamon And Cinnamon-tree Flowers, Crushed Or,Cinnamon (cinnamomum Zeylanicum Blume), Neither","Cinnamon-tree flowers, neither crushed nor ground,Cinnamon And Cinnamon-tree Flowers, Crushed Or,Cinnamon (cinnamomum Zeylanicum Blume), Neither"
"Djambi Waras, PT","Jl. Sultan Thaha No. 04 Tanjung Johor, Pelayangan, Jambi, Jambi",07417555665,e-Mail: ptdw@indo.net.id,"Technically Specified Natural Rubber (tsnr) 20,Technically Specified Natural Rubber (tsnr) 10","Technically Specified Natural Rubber (TSNR) 20,Technically Specified Natural Rubber (tsnr) 10"
Duren Mandiri Fortuna,"Desa Sungai Duren Rt.008, Muaro Jambi, Jambi",07417552653,,"Oth Wood Charcoal(including Shell   Or Nut Charcoa,Oth Plywood,veneered Panels&similar Wood  Of,Oth Non Coniferous Oth Teak Strips Friezes For","Oth wood charcoal(including shell   or nut charcoa,Oth Plywood,veneered Panels&similar Wood  Of,Oth Non Coniferous Oth Teak Strips Friezes For"
"Faiza Tarang, PT","Jl. Prof. Sri Soedewi,ms,sh Rt.027 Rw.000 Tungkal Ilir, Kuala Tungkal, Tanjung Jabung Barat, Jambi",0742322785,,"Areca Nuts, Whether/not Shelled/peeled, Fresh Or D","Areca nuts, whether/not shelled/peeled, fresh or d"
"Hok Tong, PT","Kp.sejinjang  Rt. 07, Jambi, Jambi",,,Technically Specified Natural Rubber (tsnr) 20,Technically Specified Natural Rubber (TSNR) 20
"Indopak Trading, PT","Jl. Majapahit Rt.006 Rw.002 Payo Silincah, Jambi, Jambi",0213925151,,"Ginger, Neither Crushed Nor Ground,Brooms Consisting Of Twig/oth Vegetable Materials,Areca Nuts, Whether/not Shelled/peeled, Fresh Or","Ginger, neither crushed nor ground,Brooms Consisting Of Twig/oth Vegetable Materials,Areca Nuts, Whether/not Shelled/peeled, Fresh Or"
Internasional Bio Mass,"Jl. Jambi-muara Bulian Km.21 Rt.009/03, Muaro Jambi, Jambi",,,Oth Wood Charcoal(including Shell   Or Nut Charcoa,Oth wood charcoal(including shell   or nut charcoa
"Jambi Nusantara Energi, PT","Desa Kasang Kumpeh Rt.014/rw.04, Muaro Jambi, Jambi",,e-Mail: jne.indo@gmail.com,"Other Oil Seeds & Oleaginous Fruits, Whether Or No,Oth Vegetable Prodcts Not Used Primarily In,Oil-cake And Other Solid Residues Of Palm Nuts Or","Other oil seeds & oleaginous fruits, whether or no,Oth Vegetable Prodcts Not Used Primarily In,Oil-cake And Other Solid Residues Of Palm Nuts Or"
"Karya Cemerlang Persada, PT","Dusun Tanjung Belit, Bungo, Jambi",,,"Other Coal,whether Or Not Pulverised But Not Agglo","Other coal,whether or not pulverised but not agglo"
"Kuansing Inti Makmur, PT","Dusun Tanjung Belitrt.rw. Tanjung Belit Jujuhan, Bungo, Jambi",,,"Other Coal,whether Or Not Pulverised But Not Agglo","Other coal,whether or not pulverised but not agglo"
