Company Name,Address,Telephone Number,Other Data,Commodity,Business Field
"A & P Industry Indonesia, PT","Jl. Jababeka Vi Blk J No.5a Kaw.industri Jababeka Cikarang Utara, Bekasi, Jawa Barat",02189836134,,Oth Parts & Acces Suitable For Machines Other Head,Oth parts & acces suitable for machines other head
"A.w Faber-castell Indonesia, PT","Jl. Raya Narogong Pangkalan Ib Bantargebang, Bekasi, Jawa Barat",0218250752,Website: www.faber-castell.co.id,"Crayons & Oth Pencils With Lead Encased In A Rigid,Black Pencils, With Lead Encased In A Rigid Sheath,Folding Cartons,boxes&cases,of Non-corru Gated","Crayons & oth pencils with lead encased in a rigid,Black Pencils, With Lead Encased In A Rigid Sheath,Folding Cartons,boxes&cases,of Non-corru Gated"
"Aarti Jaya, PT","Jl. Inhoftank Komplek .jati Permai Ruko No.56, Bandung, Jawa Barat",0225232002,Website: www.aartijaya.com,"Mens/boys Trousers, Breeches&shorts Of Oth Texti,Womens/girls Blous,shirt&shirt Blous Of Oth,Mens/boys Ovr Coats,car Coat,capes,","Mens/boys trousers, breeches&shorts of oth texti,Womens/girls Blous,shirt&shirt Blous Of Oth,Mens/boys Ovr Coats,car Coat,capes,"
"Aasmaa Tradexindo, PT","Harapan Indah 2, Ruko Aralia Blok. Hy-43 No.15, Bekasi, Jawa Barat",02129283794,,"Black Tea (fermented) & Partly Permented  Tea, Oth,Gum Damar,Ginger, Neither Crushed Nor Ground","Black tea (fermented) & partly permented  tea, oth,Gum Damar,Ginger, Neither Crushed Nor Ground"
"Abacus Kencana Industries, PT","Jl. Imam Bonjol Km. 48,bekasi, Bekasi, Jawa Barat",02189106980,Website: www.abacus.co.id,Other Control Panel,Other control panel
"Abadi Modern Terbaik 21, PT","Jl. Ra Kosasih No.51, Sukabumi, Jawa Barat",02666247494,,"Bulbs,tubers,tuberous Roots, Corms, Crowns & Rhizo,Oth Ceramic Articles Of Oth Than Porcelain/china,Oth Ceramic Articles Of Porcelain/ China","Bulbs,tubers,tuberous roots, corms, crowns & rhizo,Oth Ceramic Articles Of Oth Than Porcelain/china,Oth Ceramic Articles Of Porcelain/ China"
Abd Sejahtera,"Ki Gede Mayung Blok Iii Rt/rw 001/003,kabupaten, Cirebon Cirebon, Jawa Barat",0231242574,,"Basketwork, Wickerwork & Other Articles,  Of Veget,Seat Of Rattan,Bedroom, Dining Room Or Living Room Sets Of Rattan","Basketwork, wickerwork & other articles,  of veget,Seat Of Rattan,Bedroom, Dining Room Or Living Room Sets Of Rattan"
"Abebersa Pratama, PT","Jl. Raya Narogong Km. 11,5, Bekasi, Jawa Barat",0218250088,Website: www.abeglass.com,"Multiple-walled Insulating Units Of Glass.,Doors, Windows And Their Frames & Thres Hold For","Multiple-walled insulating units of glass.,Doors, Windows And Their Frames & Thres Hold For"
"Ace Oldfields, PT","Jl. Raya Cileungsi Jonggol Mekarsari Cileungsi, Bogor, Jawa Barat",0216408748,Website: www.aceoldfields.com,"Paint,distemper, Varnish/similar Brushes  Oth Than,Mops And Feather Dusters; Squeegees (oth Than,Other Brushes","Paint,distemper, varnish/similar brushes  oth than,Mops And Feather Dusters; Squeegees (oth Than,Other Brushes"
"Acon Indonesia, PT","Jl. Interchange Dawuan No.88, Karawang, Jawa Barat",,,Building Blocks & Bricks,Building blocks & bricks
"Adetex, PT","Jl. Dayang Sumbi No.4, Bandung, Jawa Barat",0222501134,Website: www.adetex.co.id,"Woven Fabrics Of Synt Filament Yarn From Polyester,Unbleached/bleached Woven Fabrics Of Artificial,Single Yarn Cont >=85% By Weight Of Artificial","Woven fabrics of synt filament yarn from polyester,Unbleached/bleached Woven Fabrics Of Artificial,Single Yarn Cont >=85% By Weight Of Artificial"
"Adimitra Abadimulia, PT","Jl. Babakan Tarogong No.353a, Bandung, Jawa Barat",0225407106,e-Mail: lok15850@indosat.net.id,"Jerseys,pullovers,cardigans,waistcoat Of Other Tex,Males Shirts Of Man-made Fibres,T-shirts,singlet&oth Vests Of Oth Txtile","Jerseys,pullovers,cardigans,waistcoat of other tex,Males Shirts Of Man-made Fibres,T-shirts,singlet&oth Vests Of Oth Txtile"
"Adira Semesta Industry, PT","Jl. Bihbul Raya No.73, Bandung, Jawa Barat",0225401476,e-Mail: aciglobe@indosat.net.id,"Gloves,mittens & Mitts Specially Designed For Use,Gloves,mittens,of Synthetic Fibres Not Impregn,Oth Gloves, Mittens & Mitts Not Wool/ Fine Animal","Gloves,mittens & mitts specially designed for use,Gloves,mittens,of Synthetic Fibres Not Impregn,Oth Gloves, Mittens & Mitts Not Wool/ Fine Animal"
Adjie Transindo,"Jl. Raden Khanan No.3 Rt/rw:05/04,bogor, Bogor, Jawa Barat",025187960212,,"Iron Ores And Concentrates, Other Than Roasted Iro","Iron ores and concentrates, other than roasted iro"
"Admiral Nusantara, CV","Komp Poin Mas Blok D.1/4 Rt/rw:02/11 Rangkapan Jaya Pancoran Mas, Depok, Jawa Barat",02177211633,,"Oth Sawdust&wood Waste&scrap,whether Or Not Agglom","Oth Sawdust&wood waste&scrap,whether or not agglom"
