Company Name,Address,Telephone Number,Other Data,Commodity,Business Field
7seven,"Jl. Lingkar Pecangaan Rt 010 Rw 002, Jepara, Jawa Tengah",02917510011,,"Oth Wooden Furniture,oth Than Fume Cupboard,Oth Seats,with Wooden Frames,combined With Other,Seat Of Cane,osier Or Similar Material","Oth wooden furniture,oth than fume cupboard,Oth Seats,with Wooden Frames,combined With Other,Seat Of Cane,osier Or Similar Material"
A Amin Furniture,"Ds. Mambak Rt.03/04, Jepara, Jawa Tengah",02914270220,Website: www.aminfurniture.com,"Oth Wooden Furniture,oth Than Fume Cupboard,Other Furniture Of Cane, Osier, Bamboo Or Similar","Oth wooden furniture,oth than fume cupboard,Other Furniture Of Cane, Osier, Bamboo Or Similar"
"A Class, CV","Jl. Parang Parung Ii No. I Rt. 03 / Vi Sondokan, Surakarta, Jawa Tengah",0271735092,Website: www.aclass-furniture.com,"Other Furniture Of Cane, Osier, Bamboo Or Similar,Oth Wooden Furniture,oth Than Fume Cupboard","Other furniture of cane, osier, bamboo or similar,Oth Wooden Furniture,oth Than Fume Cupboard"
"A Plus Global Coal, PT","Jl Kedungmundu Raya No 100, Semarang, Jawa Tengah",,Website: www.aplusglobalcoal.com,Oth Than Wood Charcoal(including Shell  Or Nut Cha,Oth than wood charcoal(including shell  or nut cha
Abad Jepara,"Banjaran Rt 001 Rw 001, Jepara, Jawa Tengah",,,"Seat Of Cane,osier Or Similar Material,Oth Wooden Furniture,oth Than Fume Cupboard,Furniture,of Kind Used In Parks","Seat of cane,osier or similar material,Oth Wooden Furniture,oth Than Fume Cupboard,Furniture,of Kind Used In Parks"
"Abbaliving Indonesia, CV","Jl. Sutan Syahrir Rt 001 Rw 007 Kel. Setabelan Kec. Banjarsari, Surakarta, Jawa Tengah",02717939996,Website: abbaliving.com,Other Worked Mother-of Pearl/tortoise- Shell & Art,Other worked mother-of pearl/tortoise- shell & art
"Abhirama Kresna, PT","Dk. Kedungwinong Rt.01/rw.01 , Kec. Nguter, Sukoharjo, Jawa Tengah",0271620970,,"Oth Plywood,consisting Solaly <6mm Thinkness W/ At,Veneered Panels&similar W/at Least One Other Wood,Oth Plywood,veneered Panels&similar Wood  Of","Oth plywood,consisting solaly <6mm thinkness w/ at,Veneered Panels&similar W/at Least One Other Wood,Oth Plywood,veneered Panels&similar Wood  Of"
"Abioso, Ud.","Jl. Kenteng-tlatar Km.1,5 Jambeyan Rt.001 Rw.008 Ngargosari Ampel, Boyolali, Jawa Tengah",02763346681,,"Veneered Panels&similar W/at Least One Other Wood,Oth Plywood,consisting Solaly <6mm Thinkness W/,Oth Than Sheets For Veneering And Of The","Veneered panels&similar w/at least one other wood,Oth Plywood,consisting Solaly <6mm Thinkness W/,Oth Than Sheets For Veneering And Of The"
"Absordry International, PT","Jl. Slamet Riyadi 439-b Makamhaji, Kartosuro, Surakarta, Jawa Tengah",0271722455,Website: www.absordry.com,"Calcium Chloride, Not Commercial Grades","Calcium chloride, not commercial grades"
"Adhi Arto, Ud.","Jl. Kenari Ii Block P 15-16 Solo Baru, Surakarta, Jawa Tengah",0271641794,e-Mail: adhi_arto@yahoo.com,"Plain Weave,weinghing >100g/m2 Printed By The Trad,Woven Fabrics Of Cotton,dyed,plain Weave  Weave,Plain Weave,weinghing >100g/m3, Not Printed Bythe","Plain weave,weinghing >100g/m2 printed by the trad,Woven Fabrics Of Cotton,dyed,plain Weave  Weave,Plain Weave,weinghing >100g/m3, Not Printed Bythe"
