Company Name,Address,Telephone Number,Other Data,Commodity,Business Field
"A L A A, PT","Jl. Dharmahusada Mas Blok Ad 09, Surabaya, Jawa Timur",,,"Oth Sugar Confectionery,not Cont.cocoa, Oth Soft,c,Oth Having Anti-fungai Shampoo,Fish Sauce","Oth sugar confectionery,not cont.cocoa, oth soft,c,Oth Having Anti-fungai Shampoo,Fish Sauce"
"A. Surya Sejahtera Abadi, CV","Jl Mayjen Sungkono Rt 02 Rw 02, Malang, Jawa Timur",,,Oth Manufactured Tobacco For The Manufacture Of Ci,Oth manufactured tobacco for the manufacture of ci
"A.n. Jaya, CV","Jl. Ikan Mungisng V/09, Surabaya, Jawa Timur",0313281118,,"Other Fish, Not Marine Fish, Excl.fillets, Livers,Savalai Hairtails, Excl.fillets, Livers And Roes,,Furniture Of Plastics Oth Than For Baby","Other fish, not marine fish, excl.fillets, livers,Savalai Hairtails, Excl.fillets, Livers And Roes,,Furniture Of Plastics Oth Than For Baby"
"Abadi Adimulia, PT","Jl. Rungkut Industri 1/14, Surabaya, Jawa Timur",0318439486,Website: www.abadiadimulia.com,"Stoppers, Lids, Caps And Other Closures,Other Carboys, Bottles, Flasks & Similar  Article","Stoppers, lids, caps and other closures,Other Carboys, Bottles, Flasks & Similar  Article"
"Abadi Rukun Mandiri, CV","Jl. Kalimas Baru 29 Blok B-4 Rt.001 Rw.001 Perak Utara Pabean Cantian, Surabaya, Jawa Timur",0313282902,,"Oth Vegetable Prodcts Not Used Primarily In Tannin,Ginger, Neither Crushed Nor Ground,Textile Fibres Of Coconut (coir), Raw","Oth vegetable prodcts not used primarily in tannin,Ginger, Neither Crushed Nor Ground,Textile Fibres Of Coconut (coir), Raw"
"Abdhilah Jaya Sentosa, PT","Jl. Muteran Iv/23-a, Surabaya, Jawa Timur",,,"Gracilaria Lichenoides,fresh,chilled, Frozen,dried","Gracilaria lichenoides,fresh,chilled, frozen,dried"
"Abimanyu Stone, PT","Dsn. Campurkuntul Rt.02 Rw.11, Tulungagung, Jawa Timur",0355 533115,Website: www.abimanyustone.com,"Tiles, Cubes, Similar Articles, Square < 7 Cm, Art,Oth Article Monumental/building Of Marble,Ceramic Sinks, Wash Basins, Wash Basin Of Oth Thn","Tiles, cubes, similar articles, square < 7 cm, art,Oth Article Monumental/building Of Marble,Ceramic Sinks, Wash Basins, Wash Basin Of Oth Thn"
"Absolute, PT","Jl. Ikan Trowani 2/7, Surabaya, Jawa Timur",,,"Seaweeds & Oth Algae,fresh,chilled/dried  Used In,Pumice Stone","Seaweeds & oth algae,fresh,chilled/dried  used in,Pumice Stone"
"Achmadi Pasca Perintis, PT","Jl. May.jen. Sungkono No. 11, Gresik, Jawa Timur",0313983891,e-Mail: surickin@mitra.net.id,"Oth Non Coniferous Oth Teak Strips Friezes For Par,Oth Than Sheets For Veneering And Of The,Oth Plywood,veneered Panels&similar Wood  Of","Oth non coniferous oth teak strips friezes for par,Oth Than Sheets For Veneering And Of The,Oth Plywood,veneered Panels&similar Wood  Of"
"Adela, Ud.","Jl. Kemlaten Xi/3 Kel. Kebraon, Kec. Karang Pilang, Surabaya, Jawa Timur",0317661322,,"Females Blouses/shirts/shirt Blouses Of Cotton, N,T-shirts, Singlet&oth Vests Of Cotton,,T-shirts, Singlet&oth Vests Of Cotton,","Females blouses/shirts/shirt blouses of cotton, n,T-shirts, Singlet&oth Vests Of Cotton,,T-shirts, Singlet&oth Vests Of Cotton,"
"Adhi Wana Nusantara, PT","Jl. Kh. Ach. Dahlan Rt.001 Rw.001 Sumberwono Bangsal, Mojokerto, Jawa Timur",0321328721,e-Mail: adhiwananusantara@hotmail.com,"Oth Assembled Flooring Panels Of Wood,Oth Non Coniferous Oth Teak Strips Friezes For","Oth assembled flooring panels of wood,Oth Non Coniferous Oth Teak Strips Friezes For"
"Adi Buana Cemerlang, CV","Jl. Panglima Sudirman 74 Rt.016 Rw.004 Ds.girimoyo Kec. Karangploso, Malang, Jawa Timur",0341480252,,"Veneered Panels&similar W/at Least One Other Wood,Oth Non Coniferous Oth Teak Strips Friezes For,Oth Plywood,veneered Panels&similar Wood  Of","Veneered panels&similar w/at least one other wood,Oth Non Coniferous Oth Teak Strips Friezes For,Oth Plywood,veneered Panels&similar Wood  Of"
"Adi Guna Utama, CV","Taman Irawati No.10 Sidotopo, Surabaya, Jawa Timur",0313714629,,"Oth Non Coniferous Oth Teak Strips Friezes For Par,Oth Wooden Furniture,oth Than Fume Cupboard,Parts Of Seats Of Other Than Plastics","Oth non coniferous oth teak strips friezes for par,Oth Wooden Furniture,oth Than Fume Cupboard,Parts Of Seats Of Other Than Plastics"
"Adimachinery Gemaperkasa, PT","Jl. Margomulyo Permai Blok A/12-14, Surabaya, Jawa Timur",0317490858,e-Mail: ptadi@indosat.net.id,"Oth Than Sheets For Veneering And Of The  Tropical,Wood Sawn/ Chipped Of A Thick > 6 Mm.of","Oth than sheets for veneering and of the  tropical,Wood Sawn/ Chipped Of A Thick > 6 Mm.of"
"Adimitra Karunia, PT","Jl. Perak Timur 564 Blok B-1, Rt-2;rw-3, Komplek Wisma Wijaya Pratama,, Surabaya, Jawa Timur",0313282361,,"Oth Article Monumental/building Of Oth Stones,not,Fuel Wood,in Logs,in Billets,in Twigs Faggots Or,Polypropylene In Granule Form","Oth article monumental/building of oth stones,not,Fuel Wood,in Logs,in Billets,in Twigs Faggots Or,Polypropylene In Granule Form"
"Adiprima Suraprinta, PT","Desa Sumengko Kec.wringinanom, Gresik, Jawa Timur",0318971562,Website: www.adiprima.com,"Newsprint, In Rolls Or Sheets. Weighing Not More T,Parts For Making/ Finishing Paper/ Paper Board,,Textile Fabrics & Felts Used In Paper-ma King","Newsprint, in rolls or sheets. weighing not more t,Parts For Making/ Finishing Paper/ Paper Board,,Textile Fabrics & Felts Used In Paper-ma King"
Aditya Putra Jaya,"Jl. Margomulyo Jaya Blok B-17, Surabaya, Jawa Timur",,,"Cashew Nuts, In Shell, Fresh Or Dried","Cashew nuts, in shell, fresh or dried"
"Aditya Sentana Agro, CV","Jl. Pare - Kediri Km 8, Ds. Sambirejo, Pare, Malang, Jawa Timur",0341462992,Website: www.matahariseed.com,"Other Vegetable Seeds, Other Than Onion  Seeds, Of","Other vegetable seeds, other than onion  seeds, of"
