Company Name,Address,Telephone Number,Other Data,Commodity,Business Field
"(hhbk) Indo Incent Product (iip), PT","Jl. Husein Hamzah No 6, Mempawah, Kalimantan Barat",05617905452,,"Agarwood (gaharu) Chips, Fresh/dried","Agarwood (gaharu) chips, fresh/dried"
"Alam Indah Lestari, CV","Jl. Raya Wajok Hulu Km. 9,8, Rt. 03/ii, Siantan, Mempawah, Kalimantan Barat",0561881559,e-Mail: gallery_war@yahoo.co.id,"Oth Wood Charcoal(including Shell   Or Nut Charcoa,Coconuts,oth Than Desiccated&in The Iner Shell,,Coconuts, In The Inner Shell (endocarp),  Fresh","Oth wood charcoal(including shell   or nut charcoa,Coconuts,oth Than Desiccated&in The Iner Shell,,Coconuts, In The Inner Shell (endocarp),  Fresh"
"Alam Perkasa, CV","Gg. Syukur 4 No. 44 Kel.benua Melayu Darat, Pontianak, Kalimantan Barat",0561740479,Website: cvalamperkasa.blogspot.com,"Oth Than Wood Charcoal(including Shell  Or Nut Cha,Oth Wood Charcoal(including Shell   Or Nut,Areca Nuts, Whether/not Shelled/peeled, Fresh Or","Oth than wood charcoal(including shell  or nut cha,Oth Wood Charcoal(including Shell   Or Nut,Areca Nuts, Whether/not Shelled/peeled, Fresh Or"
"Aliya, CV","Jl. Tanjung Raya 2 Komp Bali Lestari Blok K No. 4, Mempawah, Kalimantan Barat",0561736909,,"Oth Vegetable Prodcts Not Used Primarily In,Coconuts,oth Than Desiccated&in The Iner Shell,","Oth Vegetable Prodcts Not Used Primarily In,Coconuts,oth Than Desiccated&in The Iner Shell,"
"Aman Jaya, CV","Jl. Prof. M. Yamin No. 1, Mempawah, Kalimantan Barat",,,"Agarwood (gaharu) Chips, Fresh/dried,Other Plants, In Cut,crushed Or Powdered  Form,,Oth Vegetable Prodcts Not Used Primarily In","Agarwood (gaharu) chips, fresh/dried,Other Plants, In Cut,crushed Or Powdered  Form,,Oth Vegetable Prodcts Not Used Primarily In"
"Amor Centre Trading, CV","Jl. P.h. Husin Ii Komp Pemda Jlr.3 Kel. Bansir Darat, Pontianak, Kalimantan Barat",0561711188,,"Agarwood (gaharu) Chips, Fresh/dried","Agarwood (gaharu) chips, fresh/dried"
"Anak Nelayan, Pd.","Jl. Karet Komp. Didis Permai Blok D-5 Kel Sungai Beliung, Pontianak, Mempawah, Kalimantan Barat",,,"Cold-water Shrimps And Prawns, Fresh Or Chilled,Cuttle Fish And Squid, Fresh Or Chilled,Black Pomfrets Excl.fillets, Livers And Roes,","Cold-water shrimps and prawns, fresh or chilled,Cuttle Fish And Squid, Fresh Or Chilled,Black Pomfrets Excl.fillets, Livers And Roes,"
Anugrah Kurnia Indah,"Jl. Kom. Yos Sudarso Gg. Mangga Ii No. 37, Pontianak, Kalimantan Barat",,,Oth Vegetable Prodcts Not Used Primarily In Tannin,Oth vegetable prodcts not used primarily in tannin
"Aromana Wood Furniture Industry, PT","Jl. Barito No. 260 Rt.004/051, Mempawah, Kalimantan Barat",,,Oth Non Coniferous Oth Teak Strips Friezes For Par,Oth non coniferous oth teak strips friezes for par
Artha Mahardika,"Jl. Gajah Mada Gg. Ketapang No. 47 Rt. 002 Rw. 011,pontianak, Pontianak, Kalimantan Barat",,,Pumice Stone,Pumice stone
"Artha Wijaya, CV","Jl. Danau Sentarum Komplek Cendana Asri A2, Mempawah, Kalimantan Barat",,,"Areca Nuts, Whether/not Shelled/peeled, Fresh Or D,Oth Plants&parts Of Plants, Not For Pharmacy, In,Textile Fibres Of Coconut (coir), Raw","Areca nuts, whether/not shelled/peeled, fresh or d,Oth Plants&parts Of Plants, Not For Pharmacy, In,Textile Fibres Of Coconut (coir), Raw"
"Arya Sempadan, CV","Dusun Balai Karangan Iii, Sekayam 78556, Sanggau, Kalimantan Barat",,,"Oil-cake And Other Solid Residues Of Coconut/copra,Chemically Pure Sucrose, In Solid Form,Oth Having Anti-fungai Shampoo","Oil-cake and other solid residues of coconut/copra,Chemically Pure Sucrose, In Solid Form,Oth Having Anti-fungai Shampoo"
"Bahana Alam Sakti, PT","Jl. P.h Husin Ii Komp. Ruko Buana Lestari No. Aa 2, Pontianak, Kalimantan Barat",,,"Soya Sauce,Oth Disposible Sanitary Towel, Tampons, Napkins,Oth Non-alcoholic Beverages, Excluding Fruit Or","Soya sauce,Oth Disposible Sanitary Towel, Tampons, Napkins,Oth Non-alcoholic Beverages, Excluding Fruit Or"
"Bahana Alam Sakti, PT","Jl. P.h Husin Ii Komp. Ruko Buana Lestari No. Aa 2, Pontianak, Kalimantan Barat",,,"Hoods Have Max Horizon Side<120 Cm,fitt With A Fil,Tiles, Reinforced Or Not,Other Articles Of Bedding&similar  Furnishing","Hoods have max horizon side<120 cm,fitt with a fil,Tiles, Reinforced Or Not,Other Articles Of Bedding&similar  Furnishing"
"Berkah Fajar, CV","Jl. Tabrani Ahmad Komp. Palem Indah No. A24, Perum Palem Indah, Mempawah, Kalimantan Barat",,e-Mail: endangnirwanasari@yahoo.co.id,Oth Wood Charcoal(including Shell   Or Nut Charcoa,Oth wood charcoal(including shell   or nut charcoa
"Berlian Family, CV","Jl. Kom Yos Sudarso Gg. Sukamaju Dalam I No. 18, Mempawah, Kalimantan Barat",0561761811,,"Oth Than Wood Charcoal(including Shell  Or Nut Cha,Oil-cake And Other Solid Residues Of Palm Nuts Or,Evaporators And Condensers","Oth than wood charcoal(including shell  or nut cha,Oil-cake And Other Solid Residues Of Palm Nuts Or,Evaporators And Condensers"
"Bina Ovivipari Semesta, PT","Jl. Sei Raya Dalam Ruko Sei Raya Les Ii Aa/2 Sei Raya, Mempawah, Kalimantan Barat",,,Oth Wood Charcoal(including Shell   Or Nut Charcoa,Oth wood charcoal(including shell   or nut charcoa
"Bina Silva Nusa, PT","Jl. Sei Raya Dalam Ruko Sei Raya Les Ii Aa/2 Sei Raya, Mempawah, Kalimantan Barat",,,"Non-coniferous Wood In Chips Or   Particles,Oth Sawdust&wood Waste&scrap,whether Or Not","Non-coniferous wood in chips or   particles,Oth Sawdust&wood Waste&scrap,whether Or Not"
"Bintang Borneo Persada, PT","Jl. Trans Kalimantan Km. 19 Desa Korix Seiambawang, Kubu Raya, Kalimantan Barat",,,Technically Specified Natural Rubber (tsnr) 20,Technically Specified Natural Rubber (TSNR) 20
"Bintangar Maju Abadi, PT","Jl. Tanjung Sari No. 130 Bansir Laut, Pontianak, Kalimantan Barat",,,Aluminium Ores And Concentrates,Aluminium ores and concentrates
"Borneo Evelyn Lestari, CV","Jl. Trans Kalimantan Km 18 Rt.003 Rw.002 Sungai Ambawang, Mempawah, Kalimantan Barat",,,"Oth Non Coniferous Oth Teak Strips Friezes For Par,Oth Than Tropical Wood, Oth Sanded Or  End","Oth non coniferous oth teak strips friezes for par,Oth Than Tropical Wood, Oth Sanded Or  End"
"Borneo Mandiri Sejahtera, PT","Jl. Arteri Supadio Komplek Villa Ceria Lestari No. G 16 Rt. 004/rw.08, Kubu Raya, Kalimantan Barat",0561775229,,Oth Wood Charcoal(including Shell   Or Nut Charcoa,Oth wood charcoal(including shell   or nut charcoa
Bunda Kandung,"Dusun Sentimok, Bengkayang, Bengkayang, Kalimantan Barat",,,"Lignite, Whether Or Not Pulverised, But Not Agglom","Lignite, whether or not pulverised, but not agglom"
"Cahaya Arwana Nusantara, Pd.","Desa Ambangah Kec.sungai Raya, Mempawah, Kalimantan Barat",0561736516,Website: www.aroponti.com,"Red Arowanes,Arowanes, Than Not Red","Red arowanes,Arowanes, Than Not Red"
"Cipta Rasa Sempurna, Pd.","Jl. Adi Sucipto Km 9.7 No.79, Sungai Raya, Kubu Raya, Kalimantan Barat",,,"Agarwood (gaharu) Chips, Fresh/dried,Other Plants, In Cut,crushed Or Powdered  Form,,Gum Damar","Agarwood (gaharu) chips, fresh/dried,Other Plants, In Cut,crushed Or Powdered  Form,,Gum Damar"
"Citra Landak Lestari, Pd.","Dusun Kuala Mandor Desa Rantau Panjang Kec. Sebangki, Landak, Kalimantan Barat",0561743257,,"Red Arowanes,Other Seed, Fruit, And Spores, Of A Kind Used For","Red arowanes,Other Seed, Fruit, And Spores, Of A Kind Used For"
"Cocotama Makmur Abadi, PT","Jl. Zainuddin No.12 Tengah, Pontianak, Pontianak, Kalimantan Barat",0561742079,,Oth Than Wood Charcoal(including Shell  Or Nut Cha,Oth than wood charcoal(including shell  or nut cha
"Dian Ardyka, Pd.","Rt 05 Rw 01 Dusun I Desa Ambawang Kuala Kec.sungai Ambawang, Kubu Raya, Kalimantan Barat",,e-Mail: dika_lim@yahoo.com,"Red Arowanes,Other Freshwater Ornamental Fish, Live","Red arowanes,Other Freshwater Ornamental Fish, Live"
"Dimas Eka Putra, CV","Jl. Dr. Wahidin S. No. 10, Pontianak, Kalimantan Barat",,,"Oth Sugar Confectionery,not Cont.cocoa, Oth Soft,c","Oth sugar confectionery,not cont.cocoa, oth soft,c"
"Dimas Eka Putra, CV","Jl. Dr. Wahidin S. No. 82, Pontianak, Kalimantan Barat",05616591003,,"Bath Soap,Oth Having Anti-fungai Shampoo,Other Perfumery Or Cosmetics, Including","Bath soap,Oth Having Anti-fungai Shampoo,Other Perfumery Or Cosmetics, Including"
"Dinamika Kapuas, PT","Jl. Gajahmada No: 154, Pontianak, Kalimantan Barat",0561737328,Website: www.dinamikakapuas.com,"Arowanes, Than Not Red,Red Arowanes,Other Freshwater Ornamental Fish, Live","Arowanes, than not red,Red Arowanes,Other Freshwater Ornamental Fish, Live"
"Dzaky Raya, CV","Jl. Dr. Wahidin Sudirohusodo Komp. Sepakat Asri B3 Pontianak, Mempawah, Kalimantan Barat",,,"Areca Nuts, Whether/not Shelled/peeled, Fresh Or D","Areca nuts, whether/not shelled/peeled, fresh or d"
"Equator Argo Trading, CV","Jl. H.r.a. Rachman Gg. Gunung Sahari No. 20, Pontianak, Kalimantan Barat",,,"Areca Nuts, Whether/not Shelled/peeled, Fresh Or D,Agarwood (gaharu) Chips, Fresh/dried,Bulbs, Tubers, Tuberous Roots, Corms, Crowns &","Areca nuts, whether/not shelled/peeled, fresh or d,Agarwood (gaharu) Chips, Fresh/dried,Bulbs, Tubers, Tuberous Roots, Corms, Crowns &"
"Giat Usaha Dieng, PT","Jl. Sultan Muhammad No. 19, Pontianak, Kalimantan Barat",0561737959,,Technically Specified Natural Rubber (tsnr) 20,Technically Specified Natural Rubber (TSNR) 20
"Gudang Mas, CV","Jl. Pak Kasih No. 2 Lantai 3, Mempawah, Kalimantan Barat",,,"Other Shrimps And Prawns, Dried, In Oth Than Airti","Other shrimps and prawns, dried, in oth than airti"
"Harjohn Timber, PT","Jl. Adisucipto Km. 5,3 Sei Raya, Pontianak, Kalimantan Barat",0561721583,,"Oth Plywood,consisting Solaly <6mm Thinkness W/ At,Oth Plywood Consisting Solely Of Sheets Of Wood,Parts Of Other Furniture","Oth plywood,consisting solaly <6mm thinkness w/ at,Oth Plywood Consisting Solely Of Sheets Of Wood,Parts Of Other Furniture"
"Inti Kapuas International, PT","Jl. Pahlawan No.222, Pontianak, Kalimantan Barat",0561583555,,Red Arowanes,Red arowanes
"Kalimantan Kelapa Jaya, PT","Jl. Jurusan Pontianak Rt.001/rw.001, Pontianak, Kalimantan Barat",,,"Coconuts, Desiccated, Dried","Coconuts, desiccated, dried"
"Kapuas Besar, PT","Jl. Sultan Muhammad No. 72, Pontianak, Kalimantan Barat",,,"Technically Specified Natural Rubber (tsnr) 20,Technically Specified Natural Rubber (tsnr) 10","Technically Specified Natural Rubber (TSNR) 20,Technically Specified Natural Rubber (tsnr) 10"
