Company Name,Address,Telephone Number,Other Data,Commodity,Business Field
"Abdalta Indonesia, CV","Jl. Antasan Kecil Barat Rt.028 Rw.006 No.153 Pasar Lama, Banjarmasin, Kalimantan Selatan",05113357822,,"Oth Plants&parts Of Plants, Not For Pharmacy, Not","Oth plants&parts of plants, not for pharmacy, not"
"Amanah Anugerah Adi Mulia, PT","Jl. Dahlia Ii No.28 Rt.034/rw 010, Telawang, Banjarmasin, Kalimantan Selatan",05115366448,,"Bituminous Coal: Coking Coal,Other Coal,whether Or Not Pulverised But Not","Bituminous coal: coking coal,Other Coal,whether Or Not Pulverised But Not"
"Anugerah Borneo Community, PT","Jl. Propinsi Km.167, Gg. Teluk Dalam Sungai Danau, Tanah Bumbu, Kalimantan Selatan",,,"Other Coal,whether Or Not Pulverised But Not Agglo","Other coal,whether or not pulverised but not agglo"
"Astan Jaya, CV","Jl. Banjar Gawi Barat Iii No.129 Lik-liang Anggang, Banjar Baru, Kalimantan Selatan",,,"Oth Plywood,veneered Panels&similar Wood  Of Block,Oth Non Coniferous Oth Teak Strips Friezes For","Oth plywood,veneered panels&similar wood  of block,Oth Non Coniferous Oth Teak Strips Friezes For"
"Astri Mining Resources, PT","Jl. Pesantren Rt. V No. 2, Kampung Baru Kec. Simpang Empat, Tanah Bumbu, Kalimantan Selatan",051871133,,"Other Coal,whether Or Not Pulverised But Not Agglo","Other coal,whether or not pulverised but not agglo"
"Bamaco Harisundo Intersains, PT","Jl. Gatot Subroto Komp Ruko No 2b Rt 25, Banjarmasin, Kalimantan Selatan",,,"Other Coal,whether Or Not Pulverised But Not Agglo","Other coal,whether or not pulverised but not agglo"
"Banua Lima Sejurus, PT","Jl. Tembus Mantuil No. 84 Rt. 30 Kelayan Selatan, Banjarmasin, Kalimantan Selatan",05113261133,e-Mail: hafab@telkom.net,"Technically Specified Natural Rubber (tsnr) 20,Technically Specified Natural Rubber (tsnr) 10","Technically Specified Natural Rubber (TSNR) 20,Technically Specified Natural Rubber (tsnr) 10"
"Baramega Citra Mulia Persada, PT","Desa Mandala Kec. Kelumpang Hilir 72162, Kota Baru, Kalimantan Selatan",,,"Other Coal,whether Or Not Pulverised But Not Agglo,Lignite, Whether Or Not Pulverised, But Not","Other coal,whether or not pulverised but not agglo,Lignite, Whether Or Not Pulverised, But Not"
"Basirih Industrial Corporation, PT","Jl. Telaga Biru Trisakti Komp. Uka Po Box 158, Banjarmasin, Kalimantan Selatan",0511253526,e-Mail: din.husain@bic.co.id,"Oth Plywood Consisting Solely Of Sheets Of Wood Of,Oth Plywood,consisting Solaly <6mm Thinkness W/,Oth Than Sheets For Veneering And Of The","Oth plywood consisting solely of sheets of wood of,Oth Plywood,consisting Solaly <6mm Thinkness W/,Oth Than Sheets For Veneering And Of The"
"Berkah Alam Mulia, CV","Jl. R.o. Ulin No. 8a Rt003/04 Loktabat Selatan, Banjar Baru, Kalimantan Selatan",,,Turmeric (curcuma),Turmeric (curcuma)
"Berkah Bumi Leluhur, PT","Jl. Ahmad Yani Km. 99 No. 99 Rt. 04 Rw. 002,, Tapin, Kalimantan Selatan",,e-Mail: pt.bblmarketing @ gmail.com,"Other Coal,whether Or Not Pulverised But Not Agglo,Lignite, Whether Or Not Pulverised, But Not","Other coal,whether or not pulverised but not agglo,Lignite, Whether Or Not Pulverised, But Not"
"Berkat Murah Rejeki, PT","Jl. Pantai Cabe Rt.07 Rw.11 Salam Babaris, Tapin, Kalimantan Selatan",,,"Other Coal,whether Or Not Pulverised But Not Agglo","Other coal,whether or not pulverised but not agglo"
"Bhara Rosa Energi Coal, CV","Jl. Prona I No.10 Rt.018 Rw.000, Pemurus Baru, Banjarmasin, Kalimantan Selatan",,e-Mail: bhararosa@yahoo.co.id,"Lignite, Whether Or Not Pulverised, But Not Agglom","Lignite, whether or not pulverised, but not agglom"
"Bhumi Rantau Energi, PT","Jl. Gatot Subroto Viii No.6 Rt 31 Rw 007, Banjarmasin, Kalimantan Selatan",,,"Other Coal,whether Or Not Pulverised But Not Agglo,Lignite, Whether Or Not Pulverised, But Not","Other coal,whether or not pulverised but not agglo,Lignite, Whether Or Not Pulverised, But Not"
"Bina Benua Borneo Timber, PT","Jl. Kampung Melayu Darat No 68 Rt10, Banjarmasin, Kalimantan Selatan",,,"Oth Non Coniferous Oth Teak Strips Friezes For Par,Wood Sawn/ Chipped Of A Thick > 6 Mm Of","Oth non coniferous oth teak strips friezes for par,Wood Sawn/ Chipped Of A Thick > 6 Mm Of"
"Borneo Brother, PT","Jl. Kayu Tangi I No.44 Rt.045 Sungai Miai-banjarmasin Utara, Banjarmasin, Kalimantan Selatan",,,"Other Coal,whether Or Not Pulverised But Not Agglo,Lignite, Whether Or Not Pulverised, But Not","Other coal,whether or not pulverised but not agglo,Lignite, Whether Or Not Pulverised, But Not"
"Bridgestone Kalimantan Plantation, PT","Desa Bentok Darat Kec. Bati Bati, Tanah Laut, Kalimantan Selatan",,,"Natural Rubber In Smoked Sheets, Rss Grade 1","Natural rubber in smoked sheets, RSS Grade 1"
"Citra Prima Utama, PT","Jl. Tomat No.35, Banjar Baru Utara, Banjar Baru, Kalimantan Selatan",,,"Wood Charcoal(including Shell Or Nut Charcoal),,Turmeric (curcuma)","Wood Charcoal(including Shell Or Nut Charcoal),,Turmeric (curcuma)"
"Darma Kalimantan Jaya, PT","Jl. Divisi Iv Alri Rt. 08, Haruyan, Hulu Sungai Selatan, Kalimantan Selatan",051165775,,"Technically Specified Natural Rubber (tsnr) 20,Other Compounded Rubber,unvulcanised,in Plates,,Technically Specified Natural Rubber (tsnr) 10","Technically Specified Natural Rubber (TSNR) 20,Other Compounded Rubber,unvulcanised,in Plates,,Technically Specified Natural Rubber (tsnr) 10"
"Daya Enerji Lestari, PT","Jl. Hr. Rasuna Said No. 62, Banjarmasin, Kalimantan Selatan",,,"Other Coal,whether Or Not Pulverised But Not Agglo","Other coal,whether or not pulverised but not agglo"
"Decorindo Inti Alam Wood, PT","Jl. Brigjend H. Hasan Basri No. 48, Banjarmasin, Kalimantan Selatan",,Website: www.tasply.com,Oth Plywood Consisting Solely Of Sheets Of Wood Of,Oth plywood consisting solely of sheets of wood of
"Delta Prima Steel, PT","Jl. Jend Ahmad Yani Km. 111,8, Rt. 04 Rw 02, Tanah Laut, Kalimantan Selatan",,,Ferrous Products Obtained By Direct Reduction Of I,Ferrous products obtained by direct reduction of i
"Dharma Putra Kalimantan Sejati, PT","Desa Tamban Kecil Rt.016 Tamban Kecil-tamban, Barito Kuala, Kalimantan Selatan",05113363262,Website: www.ptdharmaputra.com,"Oth Plywood,consisting Solaly <6mm Thinkness W/ At,Veneered Panels&similar W/at Least One Other Wood","Oth plywood,consisting solaly <6mm thinkness w/ at,Veneered Panels&similar W/at Least One Other Wood"
"Ebimas Besar, PT","Desa Pulau Sari Km. 45,6 Rt. 02 Bati-bati, Tanah Laut, Kalimantan Selatan",0511772692,,"Giant Tiger Prawns Headless, Frozen, Fit For Human","Giant tiger prawns headless, frozen, fit for human"
"Energy Batubara Lestari, PT","Jl. Adhiyaksa No.7-8 Komp.pujasera Rt.028, Banjarmasin, Kalimantan Selatan",,,"Other Coal,whether Or Not Pulverised But Not Agglo,Lignite, Whether Or Not Pulverised, But Not,Bituminous Coal: Coking Coal","Other coal,whether or not pulverised but not agglo,Lignite, Whether Or Not Pulverised, But Not,Bituminous Coal: Coking Coal"
