Company Name,Address,Telephone Number,Other Data,Commodity,Business Field
"Berkah Sampit Lestari, PT","Jl. Kenan Sandan No.09 Rt 047 Rw 008 Baamang Tengah, Kotawaringin Timur, Kalimantan Tengah",,,Oth Vegetable Prodcts Not Used Primarily In Tannin,Oth vegetable prodcts not used primarily in tannin
"Central Global, PT","Jl. Semoga Indah Ii, Rt. 14, No. 98, Muara Teweh, Barito Utara, Kalimantan Tengah",,,"Oth Articles For The Conveyance/packing Goods Of P,Oth Instruments For Measuring Length For Use In,Other Boxes,cases, Cratesand Similar Articles","Oth articles for the conveyance/packing goods of p,Oth Instruments For Measuring Length For Use In,Other Boxes,cases, Cratesand Similar Articles"
"Chodra Kurnia Agribindo, PT","Jl. Seribu Dahan No.315 Rt.021 Rw.008 Mentawa Baru Hulu, Kotawaringin Timur, Kalimantan Tengah",053132386,,Zirconium Ores And Concentrates,Zirconium ores and concentrates
Duta Borneo Pratama,"Jl. H.m. Arsyad Rt. 28 Rw. 04 Sampit, Kotawaringin Timur, Kalimantan Tengah",053130333,,Aluminium Ores And Concentrates,Aluminium ores and concentrates
"Entron Pangkalan Bun, PT","Jl. Gm. Arsyad Rt 07 Rw 03 No. 21, Kotawaringin Barat, Kalimantan Tengah",,,Oth Vegetable Prodcts Not Used Primarily In Tannin,Oth vegetable prodcts not used primarily in tannin
"Fajar Mentaya Abadi, PT","Jl. Cilik Riwut Km 2,5 Rt 010/rw 41 Baamang Tengah, Baamang, Kotawaringin Timur, Kalimantan Tengah",,,Aluminium Ores And Concentrates,Aluminium ores and concentrates
"Feron Tambang Kalimantan, PT","Jl. H.ikap 2 No.35 Rt.59 Rw.09 Mb.hilir-mb.ketapang, Kotawaringin Timur, Kalimantan Tengah",053124402,,"Iron Ores And Concentrates, Other Than Roasted Iro","Iron ores and concentrates, other than roasted iro"
"Harapan Mandiri, CV","Jl. P.antasari No.30 Kel,mendawai Kec.aserl, Kotawaringin Barat, Kalimantan Tengah",,,Zirconium Ores And Concentrates,Zirconium ores and concentrates
"Harfa Taruna Mandiri, PT","Jl. Cilik Riwut Km. 2,5 No. 212,, Palangka Raya, Kalimantan Tengah",,,"Other Coal,whether Or Not Pulverised But Not Agglo","Other coal,whether or not pulverised but not agglo"
"Harlan Bhisma Pratama, PT","Jl. Manyar Viii No. 99 Rt 004/ Rw 012, Palangka Raya, Kalimantan Tengah",,,"Other Plants, In Cut,crushed Or Powdered  Form, Us","Other plants, in cut,crushed or powdered  form, us"
"Karya Sejati, PT","Murung Keramat No. 1 Rt. 004  Selat Kuala, Kapuas, Kalimantan Tengah",05113253443,,"Technically Specified Natural Rubber (tsnr) 20,Technically Specified Natural Rubber (tsnr) 10","Technically Specified Natural Rubber (TSNR) 20,Technically Specified Natural Rubber (tsnr) 10"
"Korindo Ariabima Sari, PT","Jl. Korindo No. 77, Pangkalan Bun, 74102, Kotawaringin Barat, Kalimantan Tengah",053221422,,"Oth Plywood Consisting Solely Of Sheets Of Wood Of,Veneered Panels&similar W/at Least One Other Wood,Oth Plywood,consisting Solaly <6mm Thinkness W/","Oth plywood consisting solely of sheets of wood of,Veneered Panels&similar W/at Least One Other Wood,Oth Plywood,consisting Solaly <6mm Thinkness W/"
"Kurnia Alam Sejati, CV","Jl. Pinus Indah I No.9 Rt. 001 Rw. 009 Panarung-pahandut, Palangka Raya, Kalimantan Tengah",,,Zirconium Ores And Concentrates,Zirconium ores and concentrates
"Kurnia Aquarium, Ud.","Jl. Darmosugondo No. 43, Palangka Raya, Kalimantan Tengah",,,Other Freshwater Fish,Other freshwater fish
"Mendawai Putra, PT","Jl. H. Udan Said No. 47 Kel. Baru Kec. Arut Selatan Pangkalan Bun 74151, Kotawaringin Barat, Kalimantan Tengah",053221396,,"Oth Non Coniferous Oth Teak Strips Friezes For Par,Oth Plywood,veneered Panels&similar Wood  Of","Oth non coniferous oth teak strips friezes for par,Oth Plywood,veneered Panels&similar Wood  Of"
"Mentaya Karbindo Prima, PT","Jl.hm.arsyad Km.21 Sampit, Kotawaringin Timur, Kalimantan Tengah",,,"Activated Carbon, Including Spent Animal Black","Activated carbon, including spent animal black"
"Sampit, PT","Jl. Ketapang Hilir Sampit 74325 Central, Kotawaringin Timur, Kalimantan Tengah",053123322,Website: www.ptsampit.com,"Technically Specified Natural Rubber (tsnr) 20,Jelutong In Other Forms,Other Compounded Rubber,unvulcanised,in Other Form","Technically Specified Natural Rubber (TSNR) 20,Jelutong In Other Forms,Other Compounded Rubber,unvulcanised,in Other Form"
"Sylva Sari, PT","Jl. Nenas Iv No.45-a Rt.44/rw.08, Kel. Cempaka Mulia Timur, Kec. Campaga, Kotawaringin Timur, Kalimantan Tengah",053130333,,Aluminium Ores And Concentrates,Aluminium ores and concentrates
