Company Name,Address,Telephone Number,Other Data,Commodity,Business Field
"Alfha Moulding, Ud.","Jl. D.i. Panjaitan No. 37 Rt.36, Samarinda, Kalimantan Timur",0541282279,,Oth Non Coniferous Oth Teak Strips Friezes For Par,Oth non coniferous oth teak strips friezes for par
"Alhasanie, PT","Jl. Wolter Monginsidi No.17 A Rt.07, Kutai Kertanegara, Kutai Kartanegara, Kalimantan Timur",,,"Bituminous Coal: Not Coking Coal,Other Coal,whether Or Not Pulverised But Not,Lignite, Whether Or Not Pulverised, But Not","Bituminous coal: not coking coal,Other Coal,whether Or Not Pulverised But Not,Lignite, Whether Or Not Pulverised, But Not"
"All Rig Lifting Indonesia, PT","Jl. Mulawarman No 33, Balikpapan, Kalimantan Timur",0542761285,Website: www.allrig.com.au,"Oth Stranded Wire, Rope And Cables, Plaitd Bnds,sl","Oth stranded wire, rope and cables, plaitd bnds,sl"
"Anugerah Bara Kaltim, PT","Jl. Bakungan Rt.08, Bakungan, Loa Janan, Kutai Kartanegara, Kalimantan Timur",0541266326,Website: www.abk.co.id,"Other Coal,whether Or Not Pulverised But Not Agglo,Bituminous Coal: Not Coking Coal","Other coal,whether or not pulverised but not agglo,Bituminous Coal: Not Coking Coal"
"Arini, PT","Jl. Propinsi No.27 Rt.14, Kutai Kartanegara, Kalimantan Timur",,,"Other Coal,whether Or Not Pulverised But Not Agglo","Other coal,whether or not pulverised but not agglo"
"Arjuna, PT","Jl. Arif Rahman Hakim No. 42 Rt. 02, Samarinda, Kalimantan Timur",,,"Other Coal,whether Or Not Pulverised But Not Agglo,Bituminous Coal: Not Coking Coal","Other coal,whether or not pulverised but not agglo,Bituminous Coal: Not Coking Coal"
"Artha Pratama Jaya, PT","Jl. Pm. Noor  Bumi Sempaja Blok Bg/58 Rt.46, Samarinda, Kalimantan Timur",,,"Other Coal,whether Or Not Pulverised But Not Agglo","Other coal,whether or not pulverised but not agglo"
Bakarizki Dinamika,"Jl. Kemangi, Komp.gtl. Blok Kkk No.07 Rt.016, Samarinda, Kalimantan Timur",,,"Other Manganese Dioxide,Other Silicon Powder","Other manganese dioxide,Other Silicon Powder"
"Balikpapan Jaya Utama, PT","Jl. Mulawarman No.168 Rt.007, Balikpapan, Kalimantan Timur",0542790788,,"Soft Shell Crabs, Frozen, Fit For Human Consumptio,Other Fish, Not Marine Fish, Excl.fillets, Livers,Mackarel Excl.fillets, Livers And Roes, Frozen","Soft shell crabs, frozen, fit for human consumptio,Other Fish, Not Marine Fish, Excl.fillets, Livers,Mackarel Excl.fillets, Livers And Roes, Frozen"
"Bara Jaya Utama, PT","Jl. Marsma R Iswahyudi No. 65 Sepinggan, Balikpapan, Kalimantan Timur",0542764094,,"Other Coal,whether Or Not Pulverised But Not Agglo,Lignite, Whether Or Not Pulverised, But Not","Other coal,whether or not pulverised but not agglo,Lignite, Whether Or Not Pulverised, But Not"
"Bara Kumala Sakti, PT","Jl. Juanda I No.29 Rt.20, Komp Batu Alam Permai, Air Putih, Samarinda, Kalimantan Timur",,,"Other Coal,whether Or Not Pulverised But Not Agglo,Bituminous Coal: Not Coking Coal","Other coal,whether or not pulverised but not agglo,Bituminous Coal: Not Coking Coal"
"Bara Rangga  Wirasmuda, PT","Dusun Sari Mulya A Rt.20, Kutai Kartanegara, Kalimantan Timur",,,"Other Coal,whether Or Not Pulverised But Not Agglo","Other coal,whether or not pulverised but not agglo"
"Batuah Energi Prima, PT","Jl. A Yani Cendrawasih Trade Center Blok A.3 Rt.18 Temindung Permai, Samarinda, Kalimantan Timur",,,"Bituminous Coal: Not Coking Coal,Other Coal,whether Or Not Pulverised But Not","Bituminous coal: not coking coal,Other Coal,whether Or Not Pulverised But Not"
"Belayan Internasional Coal, PT","Jl. Dr. Fl. Thobing Rt.iii Desa Rempanga Kec. Loa Kulu Tenggarong, Kutai Kartanegara, Kalimantan Timur",,,"Other Coal,whether Or Not Pulverised But Not Agglo","Other coal,whether or not pulverised but not agglo"
"Berau Bara Abadi, PT","Jl. Durian Iii Komplek Berau Indah, Blok A2 No. 5, Berau, Kalimantan Timur",,,"Other Coal,whether Or Not Pulverised But Not Agglo,Bituminous Coal: Not Coking Coal","Other coal,whether or not pulverised but not agglo,Bituminous Coal: Not Coking Coal"
"Berau Usaha Mandiri, PT","Jl. Pembangunan No.184 Rt.008, Berau, Kalimantan Timur",,,"Other Coal,whether Or Not Pulverised But Not Agglo","Other coal,whether or not pulverised but not agglo"
"Beringin Jaya Abadi, PT","Jl. Gunung Menyapa Rt. Xix, Timbau, Tenggarong, Kutai Kartanegara, Kalimantan Timur",0315343205,Website: www.bjacoal.com,"Other Coal,whether Or Not Pulverised But Not Agglo,Bituminous Coal: Not Coking Coal","Other coal,whether or not pulverised but not agglo,Bituminous Coal: Not Coking Coal"
"Bina Insan Sukses Mandiri, PT","Jl. P Antasari No.23 Rt.09, Samarinda, Kalimantan Timur",0541769507,Website: www.bismcoal.com,"Other Coal,whether Or Not Pulverised But Not Agglo","Other coal,whether or not pulverised but not agglo"
"Bintang Walet, Ud.","Jl. M Said Gg.3a No. 27 Rt. 010 Kel. Lok Bahu Kec. Sungai Kunjang, Samarinda, Kalimantan Timur",,,"Birds Nests, Edible","Birds nests, edible"
