Company Name,Address,Telephone Number,Other Data,Commodity,Business Field
"Bonanza Pratama Abadi, PT","Jl. Aji Iskandar Rt.12 Juata Laut, Tarakan, Kalimantan Utara",,,"Giant Tiger Prawns Headless, Frozen, Fit For Human,Other Giant Tiger Prawns, Frozen, Fit For Human,Giant Tiger Prawns With Head, Frozen, Fit For","Giant tiger prawns headless, frozen, fit for human,Other Giant Tiger Prawns, Frozen, Fit For Human,Giant Tiger Prawns With Head, Frozen, Fit For"
"Cinta Madina, Ud.","Jl. Selumit Pantai Rt. 17 Tarakan Tengah, Tarakan, Kalimantan Utara",,,"Other Marine Fish Excl.fillets, Livers And Roes, F,Other Fish Of Not Marine Fish, Excl. Fillets,","Other marine fish excl.fillets, livers and roes, f,Other Fish Of Not Marine Fish, Excl. Fillets,"
Dachan Mustika Aurora,"Jalan Kepiting Rt.003,tarakan, Tarakan, Kalimantan Utara",,,"Other Giant Tiger Prawns, Frozen, Fit For Human Co","Other giant tiger prawns, frozen, fit for human co"
"Damai Indah, Ud.","Jl. Gajah Mada Rt.03 Kel.karang Anyar Pantai, Tarakan, Kalimantan Utara",,,"Oth Than Kerupuk Of Shrimps,Oth Sugar Confectionery,not Cont.cocoa, Oth,Sweet Biscuits Not Containing Cocoa","Oth than kerupuk of shrimps,Oth Sugar Confectionery,not Cont.cocoa, Oth,Sweet Biscuits Not Containing Cocoa"
"Harapan Maju, Ud.","Jl. Peningki Laid Mamburungan, Tarakan, Kalimantan Utara",055125978,,"Other Marine Fish Excl.fillets, Livers And Roes, F,Cold-water Shrimps And Prawns, Fresh Or Chilled,Cold-water Shrimps And Prawns,other Than Breeder,","Other marine fish excl.fillets, livers and roes, f,Cold-water Shrimps And Prawns, Fresh Or Chilled,Cold-water Shrimps And Prawns,other Than Breeder,"
"Idec Abadi Wood Industries, PT","Jl. Sei Sesayap Rt.008 Kampung Empat Pamusian Tarakan Timur 77124, Tarakan, Kalimantan Utara",055121900,,"Oth Plywood,consisting Solaly <6mm Thinkness W/ At,Oth Non Coniferous Oth Teak Strips Friezes For","Oth plywood,consisting solaly <6mm thinkness w/ at,Oth Non Coniferous Oth Teak Strips Friezes For"
"Intracawood Manufacturing, PT","Jl. Aki Pingka No. 2 Rt. 02 Juata Permai Kec. Tarakan Utara, Tarakan, Kalimantan Utara",055121656,,"Oth Plywood,consisting Solaly <6mm Thinkness W/ At,Oth Plywood,veneered Panels&similar Wood  Of,Oth Non Coniferous Oth Teak Strips Friezes For","Oth plywood,consisting solaly <6mm thinkness w/ at,Oth Plywood,veneered Panels&similar Wood  Of,Oth Non Coniferous Oth Teak Strips Friezes For"
"Kayan Patria Pratama, PT","Jl. Yos Sudarso Rt. 03-a No. 12, Tarakan, Kalimantan Utara",0541103002,Website: www.indomineral.co.id,"Oth Wooden Furniture,oth Than Fume Cupboard,Veneered Panels&similar W/at Least One Other Wood,Oth Plywood,veneered Panels&similar Wood  Of","Oth wooden furniture,oth than fume cupboard,Veneered Panels&similar W/at Least One Other Wood,Oth Plywood,veneered Panels&similar Wood  Of"
"Kayan Putra Utama Coal, PT","Jl. Yos Sudarso No. 1 Karang Rejo, Tarakan, Kalimantan Utara",,,Bituminous Coal: Not Coking Coal,Bituminous coal: not coking coal
"Mustika Minanusa Aurora, PT","Jl. Buntu Simpang Tiga Komp Perikanan Pantai, Tarakan Tarakan, Kalimantan Utara",055125408,e-Mail: �mma@tarakan.wasantara.net.id�,"Other Giant Tiger Prawns, Frozen, Fit For Human Co,Giant Tiger Prawns Headless, Frozen, Fit For","Other giant tiger prawns, frozen, fit for human co,Giant Tiger Prawns Headless, Frozen, Fit For"
"Nelayan Barokah, PT","Jl. Gajah Mada Rt.03 Kompleks Tpi, Tarakan, Kalimantan Utara",055122524,,"Crabs, Live,Other Salmonidae, Excl.fillets, Livers And Roes,,Other Giant Tiger Prawns, Frozen, Fit For Human","Crabs, live,Other Salmonidae, Excl.fillets, Livers And Roes,,Other Giant Tiger Prawns, Frozen, Fit For Human"
"Pipit Mutiara Jaya, PT","Jl. Yos Sudarso Kampung Pukat Selumit, Tarakan, Kalimantan Utara",055151077,,"Other Coal,whether Or Not Pulverised But Not Agglo,Bituminous Coal: Not Coking Coal,Lignite, Whether Or Not Pulverised, But Not","Other coal,whether or not pulverised but not agglo,Bituminous Coal: Not Coking Coal,Lignite, Whether Or Not Pulverised, But Not"
