Company Name,Address,Telephone Number,Other Data,Commodity,Business Field
"A & One Precision Engineering, PT","Lot Sd-62, Bie Lobam, Pulau Bintan, Bintan, Kepulauan Riau",0770696190,Website: www.a-oneprecision.com,"Other Mounting ; Oth Than Of A Kind Suitable For S,Hasps,Oth Base Metal Mountings, Fitting & Similar","Other mounting ; oth than of a kind suitable for s,Hasps,Oth Base Metal Mountings, Fitting & Similar"
"A&one Precision Enginering, PT","Jl. Lot Sd-62, Bie Lobam- P.bintan, Bintan, Kepulauan Riau",,,Other Mounting ; Oth Than Of A Kind Suitable For S,Other mounting ; oth than of a kind suitable for s
A9,"Jl. Wisata Bahari No. 1 Km. 31 Rt. 002/ Rw. 002 Kawal, Bintan, Kepulauan Riau",,,"Other Marine Fish Excl.fillets, Livers And Roes, F","Other marine fish excl.fillets, livers and roes, f"
"Ably Metal Indonesia, PT","Jl. Mas Surya Negara ,kaw.industri Kabil, Kav 1b No.12 Kabil, Batam, Kepulauan Riau",,,Switchboard Use For Other Prposes,Switchboard use for other prposes
"Ace Industries Indonesia, PT","Komplek Repindo Industrial Park Blk D Ii No.07, Batam, Kepulauan Riau",0778413085,Website: www.acebatam.com,"Cartons,boxes & Cases, Of Corrugated Paper Or Pape,Other Exercise Book,binders,manifold, Albums,Oth.aluminium Foil Alloy Not Rolled But Not Worked","Cartons,boxes & cases, of corrugated paper or pape,Other Exercise Book,binders,manifold, Albums,Oth.aluminium Foil Alloy Not Rolled But Not Worked"
"Active Marine Industries, PT","Komp.century Park Blk A No.3a Bengkong Sadai, Batam, Kepulauan Riau",07787054336,Website: www.activemarine.net,"Flat-rolled Iron/nas, Width >600 Mm, 4,75 < Thickn,Oth.boilr Tube,weld,square/rectangular Cross","Flat-rolled iron/nas, width >600 mm, 4,75 < thickn,Oth.boilr Tube,weld,square/rectangular Cross"
"Add Plus Technnologies Indonesia, PT","Lot Sd 53,55 Bie, Lobam, Pulau Bintan 018/bpk, Bintan, Kepulauan Riau",,Website: www.addplus.com.sg,"Other Printed Circuits,Watertube Boilers Electric With A Steam Prod < 15,X-ray App For The Physical Inspection Of Solder","Other printed circuits,Watertube Boilers Electric With A Steam Prod < 15,X-ray App For The Physical Inspection Of Solder"
"Adi Batamuni Jaya, PT","Mcp. Industrial Park Blk No. 17, Batam, Kepulauan Riau",,,"Aseptic Bag Reinforced W/ Alum Foil; Width<315mm;l,Aseptic Bag Not Reinforced W/ Alum Foil;,Aseptic Bag Not Reinforced W/ Alum Foil;","Aseptic bag reinforced w/ alum foil; width<315mm;l,Aseptic Bag Not Reinforced W/ Alum Foil;,Aseptic Bag Not Reinforced W/ Alum Foil;"
"Adika Tirta Nusa, PT","Komp. Sm Harbour View Blok B No. 6 Sungai Jodoh, Batam, Kepulauan Riau",,,"Waste, Parings & Scrap, Of Other Plastic","Waste, parings & scrap, of other plastic"
"Advanced Packaging Solution, PT","Komp.sarana Industrial Point, Blok A No.08, Batam Centre, Batam, Kepulauan Riau",0778471090,e-Mail: advanced_packaging@yahoo.com,"Oth Plate,sheet,film,strip,propylene Polymers,non-","Oth plate,sheet,film,strip,propylene polymers,non-"
"Agromas Batam Pratama, PT","Sei Binti Rt.rw.002/001 Tanjung Uncang - Sekupang, Batam, Kepulauan Riau",,,"Waste, Parings & Scrap, Of Other Plastic","Waste, parings & scrap, of other plastic"
"Aker Solutions, PT","Jl. H.r. Rasuna Said Gedung Setiabudi Atrium Lt.2 Suite 210, Batam, Kepulauan Riau",,Website: www.akersolutions.com,"Oth Parts Suitable Use Of Machinery Of Heading 84.,Oth Semi-finished Iron/non-alloy Cont.< 0,25% Of,Oth.gasket&similar Joints Of Metal Sheet Combined","Oth parts suitable use of machinery of heading 84.,Oth Semi-finished Iron/non-alloy Cont.< 0,25% Of,Oth.gasket&similar Joints Of Metal Sheet Combined"
"Alexsander Dwi Putra, PT","Komp Ruko Mega Legenda Blok B3 No.1 Baloi Permai, Batam, Kepulauan Riau",,,"Oth Parts Of  Engines  Of Subheading 841,Hat-racks,hat-pegs, Brackets And Similar  Fixtures,Oth Valve For Olehydraulic/pneumatic Transmisions","oth parts of  engines  of subheading 841,Hat-racks,hat-pegs, Brackets And Similar  Fixtures,Oth Valve For Olehydraulic/pneumatic Transmisions"
"Alima Usaha Samudera, PT","Jl. Sultan Sulaiman No. 5 Km. 5 Rt 01 Rw X, Tanjung Pinang, Kepulauan Riau",,,"Tugs And Pusher Craft, Power <= 4000 Hp  Of Gross","Tugs and pusher craft, power <= 4000 hp  of gross"
"Alteco Chemical Indonesia, PT","Jl. Angsana Lot.286-287 Bip Muka Kuning, Batam, Kepulauan Riau",0770612140,Website: www.alteco.com.sg,"Prods Suitable For Use As Glues/adhesive  For Ret,Epoxide Resins In Oth Form,Glaziers Putty, Grafting Putty, Cements Caulking","Prods suitable for use as glues/adhesive  for ret,Epoxide Resins In Oth Form,Glaziers Putty, Grafting Putty, Cements Caulking"
"Alvenindo Sukses Ekspress, PT","Ruko Royal Sincom Blok E No.3, Batam, Kepulauan Riau",,,"Hollow Profiles, Of Cast Iron With An External Dia,Oth Tubes/pipes/hollow Profiles,seamless,T-shirts,singlet&oth Vests Of Oth Txtile","Hollow profiles, of cast iron with an external dia,Oth Tubes/pipes/hollow Profiles,seamless,T-shirts,singlet&oth Vests Of Oth Txtile"
