Company Name,Address,Telephone Number,Other Data,Commodity,Business Field
"Abdi Andalan Abadi Jaya, PT","Jl. Kh. A. Dahlan No. 16 Pahoman, Bandar Lampung, Lampung",0721256535,e-Mail: agus.aaaj@telkom.net,"Oth Than Wood Charcoal(including Shell  Or Nut Cha,Ginger, Neither Crushed Nor Ground","Oth than wood charcoal(including shell  or nut cha,Ginger, Neither Crushed Nor Ground"
"Aman Jaya Perdana, PT","Jl. Ir. Sutami Km.7, Bandar Lampung, Lampung",0721351359,,"Black Pepper, Neither Crushed Nor Ground,Cane Molases,not Added Flavour/colour,Crude Palm Oil","Black pepper, neither crushed nor ground,Cane Molases,not Added Flavour/colour,Crude Palm Oil"
"Antara Saudara, CV","Jl. Sukarno-hatta No. 3, Po Box 2/tk 35401, Teluk Betung, Bandar Lampung, Lampung",072131971,Website: www.antarasaudara.com,"Arabica Wib/robusta Oib, Not Roasted, Not Decaffei,Oth Maize (corn), Oth Than Seeds","Arabica WIB/robusta OIB, not roasted, not decaffei,Oth Maize (corn), Oth Than Seeds"
"Asia Makmur, PT","Jl. Ki.agus Anang No.31, Panjang, Bandar Lampung, Lampung",,,"Arabica Wib/robusta Oib, Not Roasted, Not Decaffei","Arabica WIB/robusta OIB, not roasted, not decaffei"
"Bandar Kencana, CV","Jl. K.h.a. Dahlan No. 141, Teluk Betung, Bandar Lampung, Lampung",0721-3590916,,"Black Pepper, Neither Crushed Nor Ground,White Pepper, Neither Crushed Nor Ground","Black pepper, neither crushed nor ground,White Pepper, Neither Crushed Nor Ground"
"Bea Sari Jelita, PT","Jl. Trans Sumatra Km 26,5 Rt.01 Rw.01 Tanjung Ratu Katibung, Lampung Selatan, Lampung",,,"Oth Soap Of Kind Used For Flotation Deinking Or Re,Oth Wash Prep & Clean Prep,incl Bleach Cleans &,Oth Wash/lean Prep,incl Bleach Cleans Oth Than","Oth soap of kind used for flotation deinking or re,Oth Wash Prep & Clean Prep,incl Bleach Cleans &,Oth Wash/lean Prep,incl Bleach Cleans Oth Than"
"Benteng Wibawa Perkasa, PT","Jl. Laks Malahayati Perum Sember Jaya No.46 Rt 003 Rw 003 Talang Teluk, Lampung Selatan, Lampung",,,"Oth Maize (corn), Oth Than Seeds,Arabica Wib/robusta Oib, Not Roasted, Not","Oth maize (corn), oth than seeds,Arabica Wib/robusta Oib, Not Roasted, Not"
"Bintang Bengkulu Lestari, PT","Jl. Letjen Suprapto Rt. 01 Rw. 03,rejang Lebong, Rejang Lebong, Lampung",073223100,,"Ginger, Neither Crushed Nor Ground","Ginger, neither crushed nor ground"
Budi Luxindo Mandiri,"Dusun Ii Rt 007, Lampung Tengah, Lampung",072549162,,Oil-cake And Other Solid Residues Of Palm Nuts Or,Oil-cake and other solid residues of palm nuts or
"Budi Luxindo Mandiri, PT","Dsn Ii Rt 007 Rw 004 Tempuran Trimurjo, Lampung Tengah, Lampung",,,Oil-cake And Other Solid Residues Of Palm Nuts Or,Oil-cake and other solid residues of palm nuts or
"Budi Mutu Prima, PT","Jl. Ikan Kakap No.9-12, Bandar Lampung, Lampung",0721486122,,"Intermediate Preparation For The Mnfact Of Insecti,Insecticides, In Subhd Note 1","Intermediate preparation for the mnfact of insecti,Insecticides, In Subhd Note 1"
"Budi Semesta Satria, PT","Jl. Ikan Kakap No.9-12 Kel.pesawahan Teluk Betung Selatan, Bandar Lampung, Lampung",0721482683,,"Arabica Wib/robusta Oib, Not Roasted, Not Decaffei","Arabica WIB/robusta OIB, not roasted, not decaffei"
"Budi Sentosa Perkasa, PT","Jl. Ikan Kakap No.9-12 Kel.pesawahan Teluk Betung Selatan, Bandar Lampung, Lampung",0721486953,,"Arabica Wib/robusta Oib, Not Roasted, Not Decaffei,Coffee Oth Than Arabica Wib/robusta Oib, Not","Arabica WIB/robusta OIB, not roasted, not decaffei,Coffee Oth Than Arabica Wib/robusta Oib, Not"
"Budi Wahana Binaswasta, PT","Jl. Ikan Belida No.46 Pesawahan-teluk Betung Selatan, Bandar Lampung, Lampung",072161788,,"Coffee Oth Than Arabica Wib/robusta Oib, Not Roast,Arabica Wib/robusta Oib, Not Roasted, Not","Coffee oth than Arabica WIB/robusta OIB, not roast,Arabica Wib/robusta Oib, Not Roasted, Not"
"Bumi Agung Sejahtera, PT","Jl. Sawo I Blok Aao No.1 Rt.007 Tanjung Raya-tanjung Karang Timur, Bandar Lampung, Lampung",,e-Mail: shdes@hotmail.com,"Arabica Wib/robusta Oib, Not Roasted, Not Decaffei","Arabica WIB/robusta OIB, not roasted, not decaffei"
"Bumi Lampung Makmur, CV","Jl. Soekarno Hatta,ketapang Atas No.18 Way Gubak,panjang, Bandar Lampung, Lampung",,,"Arabica Wib/robusta Oib, Not Roasted, Not Decaffei,Cinnamon (cinnamomum Zeylanicum Blume), Neither,Areca Nuts, Whether/not Shelled/peeled, Fresh Or","Arabica WIB/robusta OIB, not roasted, not decaffei,Cinnamon (cinnamomum Zeylanicum Blume), Neither,Areca Nuts, Whether/not Shelled/peeled, Fresh Or"
"Bumi Makmur International, CV","Jl. Ir Sutami No.8 Waylaga, Bandar Lampung, Lampung",0721350318,,"Arabica Wib/robusta Oib, Not Roasted, Not Decaffei","Arabica WIB/robusta OIB, not roasted, not decaffei"
"Cahaya Anugerah Rudevi, PT","Jl. Pulau Kelagian No.20 Kedamaian Tanjung Karang Timur, Bandar Lampung, Lampung",,,"Cinnamon-tree Flowers, Neither Crushed Nor Ground,Cinnamon And Cinnamon-tree Flowers, Crushed Or,Cinnamon (cinnamomum Zeylanicum Blume), Neither","Cinnamon-tree flowers, neither crushed nor ground,Cinnamon And Cinnamon-tree Flowers, Crushed Or,Cinnamon (cinnamomum Zeylanicum Blume), Neither"
"Central Daya Energi, PT","Kampung Bratasena Adiwarna, Tulangbawang, Lampung",,,"Oth,includ.combined Ball/roller Bearings","Oth,includ.combined ball/roller bearings"
"Central Pertiwi Baharai, PT","Kampung Adiwarna, Kec.gedung Meneng, Lampung Selatan, Lampung",0721556150,,"Shrimps Paste,not In Airtight Containers,Whiteleg Shrimps Headless Without Tail, Frozen,,Whiteleg Shrimps Headless With Tail, Frozen, Fit","Shrimps paste,not in airtight containers,Whiteleg Shrimps Headless Without Tail, Frozen,,Whiteleg Shrimps Headless With Tail, Frozen, Fit"
"Central Proteinaprima Tbk, PT","Bumi Dipasena, Menggala, Lampung Selatan, Lampung",02157851808,,Complete Feed  Of A Kind Suitable For Prawns,Complete feed  of a kind suitable for prawns
"Ciremai Jaya, CV","Jl. Soekarno Hatta Gg. Muchlisin No.4 Kel. Ratu Kec. Kedaton, Bandar Lampung, Lampung",07217627412,,"Wood Sawn/ Chipped Of A Thick > 6 Mm.of Jelutong,p,Oth Plywood,veneered Panels&similar Wood  Of","Wood sawn/ chipped of a thick > 6 mm.of Jelutong,P,Oth Plywood,veneered Panels&similar Wood  Of"
Citra Gloriya,"Jl. Pulau Bangka Blok B 15,bandarlampung, Bandar Lampung, Lampung",07217627337,,"Other Waste Oils,Ginger, Neither Crushed Nor Ground","Other waste oils,Ginger, Neither Crushed Nor Ground"
"Coconut Multi Industri Indonesia, PT","Jl. Beringin Rt/rw:10/09 Dusun Tanjungsari V Kec Natar, Lampung Selatan, Lampung",,,"Copra,Coconuts,oth Than Desiccated&in The Iner Shell,","Copra,Coconuts,oth Than Desiccated&in The Iner Shell,"
"Coffee Indonesia Jaya, PT","Jl. Ki Agus Anang No. 21 Kel.ketapang. Kec. Telukbetung Selatan, Bandar Lampung, Lampung",0721342172,,"Arabica Wib/robusta Oib, Not Roasted, Not Decaffei","Arabica WIB/robusta OIB, not roasted, not decaffei"
Cosmo Green Technology,"Jl. Hm. Salim No. 27, Bandar Lampung, Lampung",072132047,,Oth Vegetable Prodcts Not Used Primarily In Tannin,Oth vegetable prodcts not used primarily in tannin
"Crest International Industrial Development Indo, P","Jl. Raya Kalianda Trans Sumatra Ds Merak Belantung Kec Kalianda, Lampung Selatan, Lampung",0727321222,,"Oth Wood Charcoal(including Shell   Or Nut Charcoa,Activated Carbon, Including Spent Animal Black","Oth wood charcoal(including shell   or nut charcoa,Activated Carbon, Including Spent Animal Black"
"Daurulang Sejahtera Abadi, PT","Jl. Tembesu Iii No.10 Campang Raya Tanjung Karang Timur 35122, Bandar Lampung, Lampung",0721486526,,Polypropylene In Oth Form,Polypropylene in oth form
"Djasa - Djasa, PT","Jl.ir Sutami No.11, Bandar Lampung, Lampung",,,"Arabica Wib/robusta Oib, Not Roasted, Not Decaffei","Arabica WIB/robusta OIB, not roasted, not decaffei"
Dwi Alam Makmur,"Jl. Laks. Malahayati No. 6 Rt 002 Rw 002, Bandar Lampung, Lampung",,,"Arabica Wib/robusta Oib, Not Roasted, Not Decaffei","Arabica WIB/robusta OIB, not roasted, not decaffei"
"Dwi Karya Makmur, PT","Jl. Ir. Sutami Km. 12, Bandar Lampung, Lampung",,,"Oth Maize (corn), Oth Than Seeds","Oth maize (corn), oth than seeds"
"Freeman Carbon Indonesia, PT","Jl. Stasiun Kereta Api Tegeneneng, Desa Haduyang, Lampung Selatan, Lampung",,Website: www.freemancarbonindonesia.com,"Activated Carbon, Including Spent Animal Black","Activated carbon, including spent animal black"
"Golden Navara, PT","Jl. Raya Gunung Sugih Km.56 ( 0725) 527913 Gunung Sugih, Lampung Tengah, Lampung",,,Gum Damar,Gum Damar
"Golden Sari, PT","Jl. Ikan Hiu No 97 Pesawahan Teluk Betung Selatan, Bandar Lampung, Lampung",,Website: www.goldensari.com,"Sodium Cyclamate,Saccharin And Its Salts","Sodium cyclamate,Saccharin And Its Salts"
"Gramer, PT","Jl.yos Sudarso No.20, Bandar Lampung, Lampung",0721481939,,"Oth Article Monumental/building Of Marble,Oth Monmental/building Stone Of Marble,","Oth article monumental/building of marble,Oth Monmental/building Stone Of Marble,"
"Gumindo Abadi Jaya, CV","Jl. Way Handak No.12 Sumur Batu Telukbetung Utara, Bandar Lampung, Lampung",0721484235,,"Gum Benjamin,Gum Damar","Gum benjamin,Gum Damar"
"Gunung Terang, CV","Desa Gunung Terang Kecamatan Kalianda, Lampung Selatan, Lampung",0721264831,e-Mail: gterang@yahoo.com.,"Oth Wood Charcoal(including Shell   Or Nut Charcoa,Oth Than Wood Charcoal(including Shell  Or Nut,Textile Fibres Of Coconut (coir), Raw","Oth wood charcoal(including shell   or nut charcoa,Oth Than Wood Charcoal(including Shell  Or Nut,Textile Fibres Of Coconut (coir), Raw"
