Company Name,Address,Telephone Number,Other Data,Commodity,Business Field
"Bali Minatama, Ud.","Jl. Pari Rt 002 Rw 04 Rumah Tiga Teluk Ambon- 97234, Ambon, Maluku",0911353559,,Live Kerapu (cromilepte Altiveli; Epinephelus Heni,Live kerapu (Cromilepte altiveli; Epinephelus heni
"Binar Surya Buana, PT","Jl. Dulan Raya Desa Nipadi Tual, Maluku Tenggara, Maluku",,,"Other Marine Fish, Excl.fillets, Livers And Roes,,Other Marine Fish, Excl.fillets, Livers And Roes,,Other Salmonidae, Excl.fillets, Livers And Roes,","Other marine fish, excl.fillets, livers and roes,,Other Marine Fish, Excl.fillets, Livers And Roes,,Other Salmonidae, Excl.fillets, Livers And Roes,"
"Binar Surya Buana, PT","Jl. Dullah Raya Desa Ngadi, Tual, Tual, Maluku",,,"Frozen Fillets Of Tunas, Skipjack Or Stripe-bellie","Frozen fillets of tunas, skipjack or stripe-bellie"
"Dafin Mutiara, PT","Dobo, Kepulauan Aru, Maluku",091721241,,Natural Pearls,Natural pearls
"Golden - Kk, CV","Jl. Sultan Hasanuddin Komp.pelabuhan Perikanan Nu, Ambon, Maluku",,,"Meat Of Tuna Loin And Skipjack, (whether Or Not Mi,Meat Of Other Fish, (whether Or Not Minced),","Meat of tuna loin and skipjack, (whether or not mi,Meat Of Other Fish, (whether Or Not Minced),"
"Khatulistiwa Ray Makmur, PT","Jalan Kebun Cengkeh Rt 003 Rw 017, Ambon, Maluku",,,"Cocoa Beans,whole/broken,raw/roasted,Stoppers, Lids, Caps And Other Closures","Cocoa beans,whole/broken,raw/roasted,Stoppers, Lids, Caps And Other Closures"
"Mabiru Industries, PT","Jalan Sultan Hassanudin Ppn, Ambon, Maluku",,,"Meat Of Tuna Loin And Skipjack, (whether Or Not Mi","Meat of tuna loin and skipjack, (whether or not mi"
"Maluku Maya Mandiri, PT","Jl. Dr. Laemena No. 8 Ds Tawiri Dsn Riang Kec. Teluk Ambon, Ambon, Maluku",,,"Frozen Fillets Of Tunas, Skipjack Or Stripe-bellie,Yellowfin Tunas, Excl.fillet, Liver & Roes, Frozen,Meat Of Tuna Loin And Skipjack, (whether Or Not","Frozen fillets of tunas, skipjack or stripe-bellie,Yellowfin Tunas, Excl.fillet, Liver & Roes, Frozen,Meat Of Tuna Loin And Skipjack, (whether Or Not"
"Manusela Prima Mining, PT","Jl. Trans Seram, Seram Bagian Barat, Maluku",,,Nickel Ores And Concentrates,Nickel ores and concentrates
"Maritim Timur Jaya, PT","Jl.raya Dullah Tual Maluku, Tual, Maluku",091622558,e-Mail: kimi_mtj_tual@yahoo.co.id,"Other Fish, Not Marine Fish, Excl.fillets, Livers,Indo-pacific Sailfish, Excl.fillets, Livers And,Other Marine Fish, Excl.fillets, Livers And Roes,","Other fish, not marine fish, excl.fillets, livers,Indo-pacific Sailfish, Excl.fillets, Livers And,Other Marine Fish, Excl.fillets, Livers And Roes,"
"Maritim Timur Jaya, PT","Jl. Dusah Raya Desa Ngadi- Tuai Maluku Tenggara, Maluku Tenggara, Maluku",,,"Frozen Fillets Of Tunas, Skipjack Or Stripe-bellie","Frozen fillets of tunas, skipjack or stripe-bellie"
Mina Maluku Sejahtera,"Ppi Erie, Rt 007 Rw 002,ambon, Ambon, Maluku",0911323240,,"Frozen Fillets Of Tunas, Skipjack Or Stripe-bellie,Meat Of Tuna Loin And Skipjack, (whether Or Not","Frozen fillets of tunas, skipjack or stripe-bellie,Meat Of Tuna Loin And Skipjack, (whether Or Not"
"Nusaina Agro Huaulu Manise, PT","Jl. Salahutu Rt.05/rw.04, Maluku Tengah, Maluku",,,"Fractions Of Refined Coconut Oil, Not Chemically M","Fractions of refined coconut oil, not chemically m"
"Nusantara Peartl, Fa.","Jl. Rajasam, Dobo, Maluku Tenggara, Maluku",091721241,,Natural Pearls,Natural pearls
"Ollop, PT","Desa Hila, Kecamatan Leihitu, Maluku Tengah, Maluku",,e-Mail: ollops@hotmail.com,"Nutmeg, Neither Crushed Nor Ground,Mace, Neither Crushed Nor Ground","Nutmeg, neither crushed nor ground,Mace, Neither Crushed Nor Ground"
"S & T Mitra Mina Industri, PT","Jl. Gudang Arang Benteng, Ambon, Maluku",0213810250,,"Other Marine Fish, Excl.fillets, Livers And Roes,,Other Shrimps And Prawns, Frozzen, Fit For Human","Other marine fish, excl.fillets, livers and roes,,Other Shrimps And Prawns, Frozzen, Fit For Human"
"Sinar Surya Buana, PT","Jl. Dusah Raya Desa Ngadi- Tuai Maluku Tenggara, Maluku Tenggara, Maluku",,,"Other Marine Fish, Excl.fillets, Livers And Roes,","Other marine fish, excl.fillets, livers and roes,"
"Sinar Surya Buana, PT","Jl. Dufan Raya Desa Ngagi Tual Maluku Tenggara, Maluku Tenggara, Maluku",,,"Other Fish, Not Marine Fish, Excl.fillets, Livers","Other fish, not marine fish, excl.fillets, livers"
