Company Name,Address,Telephone Number,Other Data,Commodity,Business Field
"Agung Perdana, CV","Jl. Yos Sudarso  No.102 Ampenan, Mataram, Nusa Tenggara Barat",0370632603,,"Other Plants, In Cut,crushed Or Powdered  Form,","Other Plants, In Cut,crushed Or Powdered  Form,"
"Autore Pearl Culture, PT","Jl. Pemuda No. 26 Dasan Agung, 83121, Mataram, Nusa Tenggara Barat",0370634410,,"Cultured Pearls,salt Water,unworked,Cuttle-bone,unworked/simply Prepared Not Cut To","Cultured pearls,salt water,unworked,Cuttle-bone,unworked/simply Prepared Not Cut To"
Bhina Karya Mandiri,"Link. Ijobalit Lauq Rt.006 Rw.002,lombok Timur, Lombok Timur, Nusa Tenggara Barat",,,Pumice Stone,Pumice stone
"Bima Budidaya Mutiara, PT","Kp Tolodara 89 Mongonao, Rasanae, Bima, Nusa Tenggara Barat",037444641,,Natural Pearls,Natural pearls
"Bunda Buana Bakti, Ud.","Geres Lauq Kelurahan Ijobalit Kec Labuhan Haji, Lombok Timur, Nusa Tenggara Barat",,,Pumice Stone,Pumice stone
Cakrawala Dua Benua,"Geres Bagek Elen,lombok Timur, Lombok Timur, Nusa Tenggara Barat",,,"Other Machinery For Rubber Or Plastics, Electrical","Other machinery for rubber or plastics, electrical"
Central Jaya Utama,"Jl.seganteng Indah Raya C-2, Mataram, Nusa Tenggara Barat",,,Pumice Stone,Pumice stone
"Indocraft And Naturals, PT","Jl. Lalu Mesir No.27 Babakan Cakranegara, Mataram, Nusa Tenggara Barat",03706610017,Website: indocraft-naturals.com,"Textile Fibres Of Coconut (coir), Other,Oth Wooden Furniture,oth Than Fume Cupboard,Artific Flower,foliage,fruit&parts Thereof Of Oth","Textile fibres Of coconut (coir), other,Oth Wooden Furniture,oth Than Fume Cupboard,Artific Flower,foliage,fruit&parts Thereof Of Oth"
"Indonatura, Ud.","Dsn.lelede Ds.banyumulek, Kec.kediri, Lombok Barat, Nusa Tenggara Barat",03706163332,,"Seat Of Cane,osier Or Similar Material,Other Furniture Of Cane, Osier, Bamboo Or Similar","Seat of cane,osier or similar material,Other Furniture Of Cane, Osier, Bamboo Or Similar"
"Kai Sun, PT","Jl. Ismail Marzuki No. 9 Kel. Cilinaya Kec. Cakranegara, Mataram, Nusa Tenggara Barat",,,"Coconuts, In The Inner Shell (endocarp),  Fresh,Sisal & Oth Textile Fibres Of The Genus Ageve;tow","Coconuts, in the inner shell (endocarp),  fresh,Sisal & Oth Textile Fibres Of The Genus Ageve;tow"
"Lombok Putri Cenderamata, PT","Jl. Sriwijaya  No. 111a  Cakranegara Barat, Mataram, Nusa Tenggara Barat",0370640350,Website: www.lombokpottery.com,"Oth Ceramic Articles Of Oth Than Porcelain/china,Statuettes & Oth Ornaments, Of Wood,Articles Of Silversmiths Wares Of Silver Whether","Oth ceramic articles of oth than porcelain/china,Statuettes & Oth Ornaments, Of Wood,Articles Of Silversmiths Wares Of Silver Whether"
"Mp Sape, CV","Ds O`i Niu, Desa Panda, Bima, Nusa Tenggara Barat",,,"Other Seaweed & Algae, Fresh, Chilled, Frozen,drie,Oth Than Wood Charcoal(including Shell  Or Nut,Coconuts,oth Than Desiccated&in The Iner Shell,","Other seaweed & algae, fresh, chilled, frozen,drie,Oth Than Wood Charcoal(including Shell  Or Nut,Coconuts,oth Than Desiccated&in The Iner Shell,"
Nusa Bajo,"Dusun Nae Bugis Rt .004 Rw. 002, Bima, Nusa Tenggara Barat",037471273,,"Sea Cucumbers, Prepared/preserved,Soft Shell Crabs, Frozen, Fit For Human,Abalone (haliotis Spp); Not Live, Fresh/ Chilled;","Sea cucumbers, prepared/preserved,Soft Shell Crabs, Frozen, Fit For Human,Abalone (haliotis Spp); Not Live, Fresh/ Chilled;"
"Pandawa Lima, Ud.","Jl. Rajawali Raya No. 8 Btn Selagalas Cakranegara, Mataram, Nusa Tenggara Barat",0370673407,,Pumice Stone,Pumice stone
Putra Kembar,"Dusun Geres Lauq Lombok Timur, Lombok Timur, Nusa Tenggara Barat",0376701127,,Pumice Stone,Pumice stone
"Rempah Organic Lombok, Ud.","Dewa Soma.ds.sakra.kec.sakra, Lombok Timur, Nusa Tenggara Barat",,,"Vanilla, Neither Crushed Nor Ground","Vanilla, neither crushed nor ground"
"Shitaratian, PT","Jl. Magepanda Km. 9 Nangahureewuli Rt. 12 Rw. 08 Alok Barat, Sumba Barat, Nusa Tenggara Barat",,,"Frozen Fillets Of Tunas, Skipjack Or Stripe-bellie,Oth Tunas, Excl.fillets,livers & Roes, Frozen","Frozen fillets of tunas, skipjack or stripe-bellie,Oth Tunas, Excl.fillets,livers & Roes, Frozen"
"Surya Indah Cakratama, CV","Jl. Pertanian No.6, Cakranegara, Mataram, Nusa Tenggara Barat",0370632709,,Pumice Stone,Pumice stone
Takdir,"Dusun Karang Baru, Lombok Timur, Nusa Tenggara Barat",,,Pumice Stone,Pumice stone
Tirta Mina,"Pulau Rakit, Rt.04/rw.08, C/o Bapak Herman, Ds.labuan Jambu, Kec. Tarano, Sumbawa, Nusa Tenggara Barat",,,Live Kerapu (cromilepte Altiveli; Epinephelus Heni,Live kerapu (Cromilepte altiveli; Epinephelus heni
