Company Name,Address,Telephone Number,Other Data,Commodity,Business Field
"8 Jaya, Tk.","Terminal Kefa, Belu, Nusa Tenggara Timur",,,"Females Blouses/shirts/shirt Blouses Of Oth Texti,Other Toys Or Parts,Refri-frez,fitt With Separate External","Females blouses/shirts/shirt blouses of oth texti,Other Toys Or Parts,Refri-frez,fitt With Separate External"
"9 Jaya, Tk.","Terminal - Kefa Ttu, Timor Tengah Utara, Nusa Tenggara Timur",,,"Sparkling Mineral Waters And Aerated Waters, Flavo,Oth Of Felt Or Nonwovens, Impregnated, Coated Or,Uncooked Pasta, Not Stuffed/otherwise Prepared,","Sparkling mineral waters and aerated waters, flavo,Oth Of Felt Or Nonwovens, Impregnated, Coated Or,Uncooked Pasta, Not Stuffed/otherwise Prepared,"
"Alam Timor Indah, CV","Jl. Hans Kapitan No.4b Kel Kelapa Lima, Kupang, Nusa Tenggara Timur",,,"Monumental/building Stone Of Oth Stone, Simply Cut","Monumental/building stone of oth stone, simply cut"
"Anissa, Pa.","Jl. Raikatar Rt 01/ 01 Kukuluk Mesak, Belu, Nusa Tenggara Timur",,,"Oth Disposible Sanitary Towel, Tampons, Napkins An,Other Hydraulic Cements,Sorting,screening,separating/washing Machines,","Oth disposible sanitary towel, tampons, napkins an,Other Hydraulic Cements,Sorting,screening,separating/washing Machines,"
"Arclysel, CV","Jl. Meo Baru Tenukik Atambua Belu, Belu, Nusa Tenggara Timur",,,"Other Hydraulic Cements,Oth Footwear Not Cover The Ankle & Not Incorp,Carbon,oth Than Of Circular Cross- Section:","Other hydraulic cements,Oth Footwear Not Cover The Ankle & Not Incorp,Carbon,oth Than Of Circular Cross- Section:"
"Argres, Tk.","Jl. Lolowa Lidak, Atambua, Belu, Nusa Tenggara Timur",,,"Other Hydraulic Cements,Mattress Of Other Materials,Oth Loudspeakers, Not Mounted In Their Enclosure","Other hydraulic cements,Mattress Of Other Materials,Oth Loudspeakers, Not Mounted In Their Enclosure"
"Aries Jaya, PT","Jl. Pramuka Beirafu,atambua-belu, Belu, Nusa Tenggara Timur",,,"Other Hydraulic Cements,Refri-frez,fitt With Separate External,Carbon,oth Than Of Circular Cross- Section:","Other hydraulic cements,Refri-frez,fitt With Separate External,Carbon,oth Than Of Circular Cross- Section:"
"Aries Jaya, Ud.","Jl. Pramuka Beirafu Atambua Belu, Belu, Nusa Tenggara Timur",,,"Other Hydraulic Cements,Carbon,oth Than Of Circular Cross- Section:,Other Seats, With Metal Frames,combined With","Other hydraulic cements,Carbon,oth Than Of Circular Cross- Section:,Other Seats, With Metal Frames,combined With"
"Asia, Ud.","Jl. Merdeka Rt.02/04,atambua-belu, Belu, Nusa Tenggara Timur",,,"Other Household Articles&hygienic/toilet  Articles,Oth Glassware For Table(not Drink Glass) Kitchen,Furniture Of Plastics Oth Than For Baby","Other household articles&hygienic/toilet  articles,Oth Glassware For Table(not Drink Glass) Kitchen,Furniture Of Plastics Oth Than For Baby"
"Asri Asdin, Ks.","Des. Obesi Rt.005 Rw.002 Mollo Utara - Tts, Timor Tengah Selatan, Nusa Tenggara Timur",,,"Mattress Springs Of Other Materials,Refri-frez,fitt With Separate External,Females Blouses/shirts/shirt Blouses Of Oth","Mattress springs of other materials,Refri-frez,fitt With Separate External,Females Blouses/shirts/shirt Blouses Of Oth"
"Atibo, CV","Lesupu Rt 15 / 05 Manumutin Atambua - Belu, Belu, Nusa Tenggara Timur",,,"Other Motor Cars, > 3000 Cc,not Ckd,oth Than 4 Wd,,Oth Motor Car,no Sedan,1000-1500 Cc,ckd Internal,Other Vehicle,1800-2000 Cc,ckd,internal Combust","Other motor cars, > 3000 cc,not ckd,oth than 4 WD,,Oth Motor Car,no Sedan,1000-1500 Cc,ckd Internal,Other Vehicle,1800-2000 Cc,ckd,internal Combust"
"Auto Nusa Abadi, CV","Jl. Timor Raya No.78 Kel Pasir Panjang, Kupang, Nusa Tenggara Timur",,,"Other Motor Cars, > 3000 Cc,not Ckd,oth Than 4 Wd,","Other motor cars, > 3000 cc,not ckd,oth than 4 WD,"
"Becca Wijaya, Ud.","Rt. 25/08 Kel. Kolhua, Kupang, Nusa Tenggara Timur",,,"Other Hydraulic Cements,Frame And Forks(incl. Telescopic Fork, Rear","Other hydraulic cements,Frame And Forks(incl. Telescopic Fork, Rear"
"Bele-bele, Ud.","Bautasik Rt 05/05 Kabuna Kukuluk Mesak Belu, Belu, Nusa Tenggara Timur",,,"Oth Medicated Prod & Oth Of Felt Or Nonwovens, Imp,Sparkling Mineral Waters And Aerated Waters,,Other Hydraulic Cements","Oth medicated prod & oth of felt or nonwovens, imp,Sparkling Mineral Waters And Aerated Waters,,Other Hydraulic Cements"
"Belu Mulia, Ud.","Jl. Pramuka Rt.018/rw.006 Beirafu - Atambua, Belu, Nusa Tenggara Timur",,,"Other Motor Cars, > 3000 Cc, Not Ckd, 4 Wd, Diesel,Mineral Waters,Other Hydraulic Cements","Other motor cars, > 3000 cc, not ckd, 4 WD, diesel,Mineral Waters,Other Hydraulic Cements"
"Berkat Usaha, Ks.","Makfao Kenebibi K. Mesak, Belu, Nusa Tenggara Timur",,,"Other Hydraulic Cements,Other Motorcycle And Scooters, Recipro Int,Carbon,oth Than Of Circular Cross- Section:","Other hydraulic cements,Other Motorcycle And Scooters, Recipro Int,Carbon,oth Than Of Circular Cross- Section:"
"Bhakti Citra Abadi, CV","Jl. Wolter Mongisidi Ruko Lontar Permai Blok A/28 Oebobo Fatululi, Kupang, Nusa Tenggara Timur",,,"Inner Tube,of Rubber,used On Motorcycle,Oth Projection Type Flat Panel Display Units,,Telephones For Cellular Networks Or For Other","Inner tube,of rubber,used on motorcycle,Oth Projection Type Flat Panel Display Units,,Telephones For Cellular Networks Or For Other"
"Bhakti Citra Abadi, CV","Jl. Wolter Monginsidi, Kupang, Nusa Tenggara Timur",,,"Shawls,scarves,mufflers,mantillas& The Like Of Not,Saddles Of Motorcycles (incl. Mopeds),Oth Footwear Not Cover The Ankle & Not Incorp","Shawls,scarves,mufflers,mantillas& the like of not,Saddles Of Motorcycles (incl. Mopeds),Oth Footwear Not Cover The Ankle & Not Incorp"
"Bintang Baru, Tk.","Terminal - Kefa Ttu, Belu, Nusa Tenggara Timur",,,"Sparkling Mineral Waters And Aerated Waters, Flavo,Oth Medicated Prod & Oth Of Felt Or Nonwovens,,Mineral Waters","Sparkling mineral waters and aerated waters, flavo,Oth Medicated Prod & Oth Of Felt Or Nonwovens,,Mineral Waters"
"Bintang Malaka, CV","Betun Rt.011/rw.004 - Wehali - Malaka Tengah, Belu, Nusa Tenggara Timur",,,"Other Hydraulic Cements,Mineral Waters,Carbon,oth Than Of Circular Cross- Section:","Other hydraulic cements,Mineral Waters,Carbon,oth Than Of Circular Cross- Section:"
"Bintang Terang, Ud.","Jl. Pramuka - Per Baru Pocket Camera, Belu, Nusa Tenggara Timur",,,"Television Camera,Saws With Self Contained Electric Motor","Television Camera,Saws With Self Contained Electric Motor"
"Bmw Cellular, Tk.","Jl. El Tari - Kefa Selatan, Timor Tengah Utara, Nusa Tenggara Timur",,,"Other Hydraulic Cements,Mineral Waters,Uncooked Pasta, Not Stuffed/otherwise Prepared,","Other hydraulic cements,Mineral Waters,Uncooked Pasta, Not Stuffed/otherwise Prepared,"
Bunga Lontar,"Jl. Mone Rt. 22/08 Oesapa Kelapa Lima, Kupang, Nusa Tenggara Timur",,,"Garlic,oth Than Bulbs For Propagation, Fresh/chill,Shallots,oth Than Bulbs For Propagation,,Fish,not Marine Fish,dried,oth Thn Edble Fish","Garlic,oth than bulbs for propagation, fresh/chill,Shallots,oth Than Bulbs For Propagation,,Fish,not Marine Fish,dried,oth Thn Edble Fish"
"Cahaya Baru, Tk.","Jl. Sudirman No. 4 Atambua, Belu, Nusa Tenggara Timur",,,"Other Hydraulic Cements,Oth Parts And Accessories Of Vehicles Of Heading,Glass In Ball,tube Of Fused Quartz/oth Fuse","Other hydraulic cements,Oth Parts And Accessories Of Vehicles Of Heading,Glass In Ball,tube Of Fused Quartz/oth Fuse"
"Cahaya Surya, Ud.","Betun - Malaka Tengah, Belu, Nusa Tenggara Timur",,,"Uncooked Pasta, Not Stuffed/otherwise Prepared, No,Other Similar Office Or Desk Equipment Of,Reservoirs,tanks,vats & Similar Contain.","Uncooked pasta, not stuffed/otherwise prepared, no,Other Similar Office Or Desk Equipment Of,Reservoirs,tanks,vats & Similar Contain."
"Cahaya Surya, Ud.","Betun - Malaka Tengah Belu - Ntt Malaka, Belu, Nusa Tenggara Timur",,,"Other Hydraulic Cements,Sparkling Mineral Waters And Aerated Waters,,Other Baker Wares","Other hydraulic cements,Sparkling Mineral Waters And Aerated Waters,,Other Baker Wares"
"Cahaya Surya, Ud.","Betun - Malaka Tengah, Belu, Nusa Tenggara Timur",,,"Parabolic Aerial Reflector Dishes For Tv Reception,Zinc Not Alloyed Containing By Weight 99.99% Or,Co-axial Cable/elec;fitted W/ Connector;","Parabolic aerial reflector dishes for TV reception,Zinc Not Alloyed Containing By Weight 99.99% Or,Co-axial Cable/elec;fitted W/ Connector;"
"Casangi, Ud.","Fatubenao - Atambua - Belu - Ntt, Belu, Nusa Tenggara Timur",,,"Oth Motor Car,no Sedan,1000-1500 Cc,ckd Internal C,Motor Cars Excl Vans, Not Elect-powered, For,Other Hydraulic Cements","Oth motor car,no sedan,1000-1500 cc,ckd internal c,Motor Cars Excl Vans, Not Elect-powered, For,Other Hydraulic Cements"
"Cendana, Ks.","Webubur Rt 01/10 Naitimu Tasifeto Barat, Belu, Nusa Tenggara Timur",,,"Mineral Waters,Sparkling Mineral Waters And Aerated Waters,,Uncooked Pasta, Not Stuffed/otherwise Prepared,","Mineral waters,Sparkling Mineral Waters And Aerated Waters,,Uncooked Pasta, Not Stuffed/otherwise Prepared,"
"Cendana, Ks.","Betun - Malaka Tengah Belu - Ntt, Belu, Nusa Tenggara Timur",,,Other Hydraulic Cements,Other hydraulic cements
"Central Timor, CV","Betun - Malaka Tengah Belu - Ntt, Belu, Nusa Tenggara Timur",,,"Other Hydraulic Cements,Carbon,oth Than Of Circular Cross- Section:,Pedestrian Controlled Tractors,power <= 22.5 Kw,","Other hydraulic cements,Carbon,oth Than Of Circular Cross- Section:,Pedestrian Controlled Tractors,power <= 22.5 Kw,"
"Cinta Damai, Ud.","Welurai Rt. 04/01 Kabuna-kukuluk Mesak, Belu, Nusa Tenggara Timur",,,"Mineral Waters,Other Hydraulic Cements,Oth Medicated Prod & Oth Of Felt Or Nonwovens,","Mineral waters,Other Hydraulic Cements,Oth Medicated Prod & Oth Of Felt Or Nonwovens,"
"Cipta Belu Mandiri, PT","Jl. Adam Malik No.5 Atambua, Belu, Nusa Tenggara Timur",,,"Other Hydraulic Cements,Pres-reduce Valve,iron/steel, Manual,Oth. Carbon, Other Than Of Circular Cross-section","Other hydraulic cements,Pres-reduce Valve,iron/steel, Manual,Oth. Carbon, Other Than Of Circular Cross-section"
