Company Name,Address,Telephone Number,Other Data,Commodity,Business Field
"Adei Plantation & Industry, PT","Simpang Intan Muara Basung Mandau, Bengkalis, Riau",0761571578,e-Mail: adei@klk.com.my,"Palm Kernel Oil, Rbd,Oil-cake And Other Solid Residues Of Palm Nuts Or,Crude Oil Of Palm Kernel","Palm kernel oil, RBD,Oil-cake And Other Solid Residues Of Palm Nuts Or,Crude Oil Of Palm Kernel"
"Adhitya Serayakorita, PT","Jl. Jend. Sudirman No. 395,pekanbaru, Pekanbaru, Riau",076139002,,"Unsolid Fractions Of Refined Palm Oil, Packing Net,Unsolid Fractions Of Refined Palm Oil, Packing,Oth Industrial Monocarboxylic Fatty Acid","Unsolid fractions of refined palm oil, packing net,Unsolid Fractions Of Refined Palm Oil, Packing,Oth Industrial Monocarboxylic Fatty Acid"
"Adiwiraguna Usahatama Dumai, PT","Jl. Jend. Sudirman No. 86, D U M A I, Riau",076532462,,"Other Marine Fish, Salted But Not Dry/smokd&in Bri,Other Marine Fish Excl.fillets, Livers And Roes,,Kerapu, Excl.fillets, Livers And Roes, Fresh Or","Other marine fish, salted but not dry/smokd&in bri,Other Marine Fish Excl.fillets, Livers And Roes,,Kerapu, Excl.fillets, Livers And Roes, Fresh Or"
"Aec Bersaudara, PT","Jl. Kampung Baru Kuala Enok, Indragiri Hilir, Riau",0768328698,,Crude Oil Of Coconut (copra),Crude oil of coconut (copra)
Albert J. Williams,"Komplek Sibayak No. 60 Pt. Cpi Duri, Pekanbaru, Riau",,,Other Household Tools,Other household tools
"Andalas Agrolestari, PT","Jl. Raya Pekanbaru-teluk Kuantan Km.133, Kuantan Singingi, Riau",,,"Technically Specified Natural Rubber (tsnr) 20,Technically Specified Natural Rubber (tsnr) 10","Technically Specified Natural Rubber (TSNR) 20,Technically Specified Natural Rubber (tsnr) 10"
Andrew Joseph Walla Iii,"Komplek Sawit No. 132 Pt. Cpi Rumbai, Pekanbaru, Riau",,,Other Household Tools,Other household tools
"Anugrah Kertas Utama, PT","Jl. Teluk Betung No. 36 Kebon Melati, Pangkalan, Kerinci Pelalawan, Riau",,,"Other Paper & Paperboard, Weight>40g/m2 And =< 150,Other Than Paper,no Fibres, For Other Purpose 40<,Parts For Making/ Finishing Paper/ Paper Board,","Other paper & paperboard, weight>40g/m2 and =< 150,Other Than Paper,no Fibres, For Other Purpose 40<,Parts For Making/ Finishing Paper/ Paper Board,"
"Arindo Trisejahtera, PT","Jl. Jend. Sudirman No. 395, Pekanbaru, Riau",076132700,,Crude Palm Oil,Crude palm oil
Arjuna Perdana Mahkota Plywood,"Jl. Ronggowarsito No. 42-44, Komplek Ronggowarsito Town House Kav. 3, Pekanbaru, Riau",076137721,,"Oth Plywood,consisting Solaly <6mm Thinkness W/ At","Oth plywood,consisting solaly <6mm thinkness w/ at"
"Asbabul Rezky, CV","Jl. Tebing Tinggi No. 46 Selatpanjang, Kepulauan Meranti, Riau",,,"Other Starches (oth Than Wheat,maize, Potato, Mani,Coconuts,oth Than Desiccated&in The Iner Shell,,Coconuts, In The Inner Shell (endocarp),  Fresh","Other starches (oth than wheat,maize, potato, mani,Coconuts,oth Than Desiccated&in The Iner Shell,,Coconuts, In The Inner Shell (endocarp),  Fresh"
"Asia Forestama Raya, PT","Jl. Terminal Lama No.75 Limbungan Rumbai, Pekanbaru, Riau",076152937,e-Mail: operator3@anugrah-mgt.biz,"Oth Plywood,consisting Solaly <6mm Thinkness W/ At,Oth Non Coniferous Oth Teak Strips Friezes For","Oth plywood,consisting solaly <6mm thinkness w/ at,Oth Non Coniferous Oth Teak Strips Friezes For"
"Asia Sawit Makmur Jaya, PT","Desa Jake, Jake - Kuantan Tengah, Kuantan Singingi, Riau",,,Crude Palm Oil,Crude palm oil
"Bali Foultry, CV","Jl. H.khalidi Rt/rw 003/003 Tembilahan, Indragiri Hilir, Riau",,,Live Reptiles (including Snakes And Turtles),Live reptiles (including snakes and turtles)
"Bangkinang, PT","Jl. Taskurun No.9, Pekanbaru, Riau",0761-33129,e-Mail: pt.bangkinang@yahoo.co.id,"Technically Specified Natural Rubber (tsnr) 20,Technically Specified Natural Rubber (tsnr) 10","Technically Specified Natural Rubber (TSNR) 20,Technically Specified Natural Rubber (tsnr) 10"
"Bangun Globalindo Perkasa, PT","Jl. Soekarno Hatta Komp.waringin Blok B-9, Pekanbaru, Riau",,,Plates&sheets Of Polycarbonates,Plates&sheets of polycarbonates
"Budi Daya Perkasa, PT","Jl. Kh Hasyim Ashari No 26-28 Sukaramai, Pekanbaru, Riau",076131530,,"Agarwood (gaharu) Chips, Fresh/dried","Agarwood (gaharu) chips, fresh/dried"
"Bumi Mentari Karya, PT","Desa Air Hitam, Pantai Cermin, Tapung, Kampar, Riau",074121531,,Crude Palm Oil,Crude palm oil
"Bumi Siak Pusako, PT","Jl. Jend. Sudirman No.395 Gd Surya Dumai Lt.6, Pekanbaru, Riau",0761855765,Website: www.bsp.co.id,Crude Petroleum Oil,Crude petroleum oil
"Cahaya Palma Indonesia, CV","Jl. Lintas Samudera,indragiri Hilir, Indragiri Hilir, Riau",,,Oth Than Wood Charcoal(including Shell  Or Nut Cha,Oth than wood charcoal(including shell  or nut cha
"Candra Graha-c Bengkalis, CV","Jl. Yos Sudarso No.042, Bengkalis, Riau",076621130,,"Coconuts, In The Inner Shell (endocarp),  Fresh,Coconuts,oth Than Desiccated&in The Iner Shell,,Other Marine Fish Excl.fillets, Livers And Roes,","Coconuts, in the inner shell (endocarp),  fresh,Coconuts,oth Than Desiccated&in The Iner Shell,,Other Marine Fish Excl.fillets, Livers And Roes,"
"Chevron Pacific Indonesia, PT","Dumai, D U M A I, Riau",,Website: www.chevronindonesia.com,"Crude Petroleum Oil,Part Of Other Pumps,Oth Bars & Rods Of Iron/non-alloy Steel,","Crude petroleum oil,Part Of Other Pumps,Oth Bars & Rods Of Iron/non-alloy Steel,"
"Crenti Subur, PT","Jl. Okm Jamil No. I, Pekanbaru, Riau",,,Crude Palm Oil,Crude palm oil
Douglas E. Jasek,"Komplek Sibayak No.82 Pt. Cpi Duri, Pekanbaru, Riau",,,Other Household Tools,Other household tools
"Dua Putra Rajawali, PT","Jl. Melati I Perumahan Cakra No. 9c Sidomulya Timur, Pekanbaru, Riau",,,"Other Coal,whether Or Not Pulverised But Not Agglo","Other coal,whether or not pulverised but not agglo"
"Eluan Mahkota, PT","Kebun Kota Tengah I, Rokan Hulu, Riau",,,Crude Palm Oil,Crude palm oil
"Gemilang Sawit Lestari, PT","Ds. Pasar Inuman,kuantan Singingi, Kuantan Singingi, Riau",,,Crude Palm Oil,Crude palm oil
"Generasi Muda Teknik, CV","Jl. Sederhana No.937 Tembilahan, Indragiri Hilir, Riau",076823675,Website: cv-generasimudateknik.blogspot.com,"Coconuts, In The Inner Shell (endocarp),  Fresh,Foliage,branches&oth Part Plant,grasses, For,Oth Than Wood Charcoal(including Shell  Or Nut","Coconuts, in the inner shell (endocarp),  fresh,Foliage,branches&oth Part Plant,grasses, For,Oth Than Wood Charcoal(including Shell  Or Nut"
"Generasi Muda Teknik, CV","Jl. Sederhana No.937 Tembilahan, Indragiri Hulu, Riau",0779551576,Website: cv-generasimudateknik.blogspot.com,"Textile Fibres Of Coconut (coir), Other,Gum Damar,Other Fruit&nuts,uncooked/steamed/boiled ,frozen,","Textile fibres Of coconut (coir), other,Gum Damar,Other Fruit&nuts,uncooked/steamed/boiled ,frozen,"
Global Cargo,"Jl.hasanuddin Ujung,rt/rw.011/003., Indragiri Hilir, Riau",,,"Coconuts, In The Inner Shell (endocarp),  Fresh,Oth Than Wood Charcoal(including Shell  Or Nut,Foliage,branches&oth Part Plant,grasses, For","Coconuts, in the inner shell (endocarp),  fresh,Oth Than Wood Charcoal(including Shell  Or Nut,Foliage,branches&oth Part Plant,grasses, For"
"Hasil Karya Bumisejati, PT","Kepenghuluan Kasang Bangsawan, Rokan Hilir, Riau",0761839965,,Crude Palm Oil,Crude palm oil
"Hervenia Kampar Lestari, PT","Desa Sungai Pinang Kuala Kec. Tambang, Kampar, Riau",,,"Other Compounded Rubber,unvulcanised,in Other Form","Other Compounded Rubber,unvulcanised,in Other Form"
"Indah Kiat Pulp & Paper Tbk, PT","Jl. Raya Minas Perawang Km.26 Ds.pinang Sebatang .kec.tualang Riau, S I A K, Riau",,,"Other Than Paper,no Fibres, For Other Purpose 40<,Chemical Wood Pulp, Soda, Oth Than Dis Solving,Oth Paper,no Fibres, For Other Purpose   40<","Other than Paper,no fibres, for other purpose 40<,Chemical Wood Pulp, Soda, Oth Than Dis Solving,Oth Paper,no Fibres, For Other Purpose   40<"
"Inhil Sarimas Kelapa, PT","Jl. Lintas Rengat Tembilahan , Sungai Guntung Rempas Kec. Tempuling, Indragiri Hilir, Riau",0768325731,,"Crude Oil Of Coconut (copra),Coconuts, Desiccated, Dried","Crude Oil Of Coconut (copra),Coconuts, Desiccated, Dried"
"Inti Mora, CV","Jl. Jendral Sudirman No.92 Tembilahan, Indragiri Hilir, Riau",076821290,,Live Reptiles (including Snakes And Turtles),Live reptiles (including snakes and turtles)
James A. Burg,"Komplek Seulawah No.29 Pt. Cpi Duri, Pekanbaru, Riau",,,Other Household Tools,Other household tools
"Jaya Gemilang Raya, PT","Jl. Dt. Setia Maharaja No. 888, Pekanbaru, Riau",0761769611,,"Vegetable Materials And Waste, Residues Of A Kind","Vegetable materials and waste, residues of a kind"
Jebat Buana Sakti,"Jl. Cempedak Gg. Apel No.9 B Rt. 010 Dumai, D U M A I, Riau",076536032,,"Mangosteens, Fresh Or Dried,Other Spices,Lemons And Limes, Fresh Or Dried","Mangosteens, fresh or dried,Other Spices,Lemons And Limes, Fresh Or Dried"
"Johan Sentosa, PT","Sungai Jernih, Kampar, Riau",02126647391,,Crude Palm Oil,Crude palm oil
"Karya Indorata Persada, PT","Dusun Suka Makmur Rt. 005  Rw. 002 Kebun Durian - Gunung Sahilan, Kampar, Riau",,,Crude Palm Oil,Crude palm oil
Karya Prima Tama,"Jl. Kuning Jalil No. 18 Rokan Hilir, Rokan Hilir, Riau",,,"Indian Threadfins And Silver Grunts, Excl.fillets,,Cold-water Shrimps And Prawns, Fresh Or Chilled,Cold-water Shrimps And Prawns, Dried In Oth Than","Indian threadfins and silver grunts, excl.fillets,,Cold-water Shrimps And Prawns, Fresh Or Chilled,Cold-water Shrimps And Prawns, Dried In Oth Than"
"Kencana Amal Tani, PT","Jl. Okm Jamil No. 1, Pekanbaru, Riau",,,Crude Palm Oil,Crude palm oil
"Kerapu, PT","Jl. Dermaga No.8, D U M A I, Riau",,,"Other Marine Fish, Salted But Not Dry/smokd&in Bri,Kerapu, Excl.fillets, Livers And Roes, Fresh Or","Other marine fish, salted but not dry/smokd&in bri,Kerapu, Excl.fillets, Livers And Roes, Fresh Or"
"Klk Dumai, PT","Kawasan Pelindo I Dumai, Jl.. Datuk Laksamana,dumai, D U M A I, Riau",,,"Oth Industrial Monocarboxylic Fatty Acid,Crude Glycerol","Oth industrial monocarboxylic fatty acid,Crude Glycerol"
"Koperasi Panipihan Sejahtera, Kp.","Jl. Bhakti No 54 Panipahan Kec Pasir Limau Kapas, Rokan Hilir, Riau",,,"Indian Threadfins And Silver Grunts, Excl.fillets,,Cold-water Shrimps And Prawns, Fresh Or Chilled,Cold-water Shrimps And Prawns, Dried In Oth Than","Indian threadfins and silver grunts, excl.fillets,,Cold-water Shrimps And Prawns, Fresh Or Chilled,Cold-water Shrimps And Prawns, Dried In Oth Than"
"Manunggal Inti Artamas, PT","Jl. Pinang No. 25-a Wonorejo, Pekanbaru, Riau",,,Bituminous Coal: Coking Coal,Bituminous coal: coking coal
"Megah Aroma Utomo, CV","Jl. Prof. M. Yamin No. 59, Pekanbaru, Riau",076129742,,"Agarwood (gaharu) Chips, Fresh/dried","Agarwood (gaharu) chips, fresh/dried"
Michael Jon Beerman,"Komplek Leuser No.01 Pt. Cpi Duri, Pekanbaru, Riau",,,Other Household Tools,Other household tools
"Muriniwood Indah Industri, PT","Jl.  Jend.sudirman No.395, Simpang Empat, Pekanbaru, Riau",076132700,,Crude Palm Oil,Crude palm oil
Nusariau Kencana Coal,"Jl. Riau No 10 E,pekanbaru, Pekanbaru, Riau",,,Bituminous Coal: Coking Coal,Bituminous coal: coking coal
"Pacific Indopalm Industries, PT","Jl. Raya Dumai Basilam Baru Km. 14 Rt. 05, Lubuk Gaung, D U M A I, Riau",02157903733,e-Mail: ali.s.sulaiman@pacificindopalm.com,"Unsolid Fractions Of Refined Palm Oil, Packing Net,Solid Fractions Of Refined Palm Oil, Packing Of A","Unsolid fractions of refined palm oil, packing net,Solid Fractions Of Refined Palm Oil, Packing Of A"
"Panca Eka Bina Plywood Industry, PT","Jl. Dr. Sutomo No. 62, Pekanbaru, Riau",076133596,,"Oth Plywood,consisting Solaly <6mm Thinkness W/ At,Oth Plywood Consisting Solely Of Sheets Of Wood,Oth Plywood,veneered Panels&similar Wood  Of","Oth plywood,consisting solaly <6mm thinkness w/ at,Oth Plywood Consisting Solely Of Sheets Of Wood,Oth Plywood,veneered Panels&similar Wood  Of"
"Pancasurya Agrindo, PT","Jl. Jend. Sudirman No. 395, Pekanbaru, Riau",076132700,,Crude Palm Oil,Crude palm oil
