Company Name,Address,Telephone Number,Other Data,Commodity,Business Field
"Adi Tirta, CV","Jl. Sabutung No. 123, Makassar, Sulawesi Selatan",,,"Seaweeds & Oth Algae,fresh,chilled/dried  Used In,Eucheuma Spp,fresh,chilled,frozen,dried, For,Gracilaria Lichenoides,fresh,chilled,","Seaweeds & oth algae,fresh,chilled/dried  used in,Eucheuma Spp,fresh,chilled,frozen,dried, For,Gracilaria Lichenoides,fresh,chilled,"
"Adimitra Pinus Utama, PT","Jl. Poros Tombolo No.50 Malino, Gowa, Sulawesi Selatan",041721412,,"Other Natural Gum And Resin,Gum, Wood Or Sulphate Turpentine Oils","Other natural gum and resin,Gum, Wood Or Sulphate Turpentine Oils"
"Aflah Falah, PT","Jl. Lasuloro Raya Blok 1 No. 42, Makassar, Sulawesi Selatan",,e-Mail: pt.aflah.falah@gmail.com,"Cashew Nuts, In Shell, Fresh Or Dried","Cashew nuts, in shell, fresh or dried"
"Agarindo Sakti, PT","Jl. Bonto Ramba No.6, Pabaeng Baeng, Tamalate, Makassar, Sulawesi Selatan",,,"Seaweeds & Oth Algae,fresh,chilled/dried  Used In,Eucheuma Spp,fresh,chilled,frozen,dried, For,Gracilaria Lichenoides,fresh,chilled,","Seaweeds & oth algae,fresh,chilled/dried  used in,Eucheuma Spp,fresh,chilled,frozen,dried, For,Gracilaria Lichenoides,fresh,chilled,"
"Agrolestari Mandiri, CV","Citra Sudiang Estate A3/45, Makassar, Sulawesi Selatan",0411372789,,"Oth Maize (corn), Oth Than Seeds,Seaweeds & Oth Algae,fresh,chilled/dried  Used In,Seaweeds & Oth Algae,fresh,chilled/dried  Of A","Oth maize (corn), oth than seeds,Seaweeds & Oth Algae,fresh,chilled/dried  Used In,Seaweeds & Oth Algae,fresh,chilled/dried  Of A"
"Aimil Insam Marmer, PT","Jl. Onta Baru No.51 90135, Makassar, Sulawesi Selatan",,,"Marble And Travertine, Merely Cut Into B Locks","Marble and travertine, merely cut into b locks"
"Ang And Fang Brother, PT","Jl. P. Diponegoro No. 95, Makassar, Sulawesi Selatan",,,"Nickel Ores And Concentrates,Coal/rock Cutters And Tunneling Machine  ,oth","Nickel ores and concentrates,Coal/rock Cutters And Tunneling Machine  ,oth"
"Anugerah Bintang Cemerlang, Ud.","Jl. Bambu Runcing No. 99 Maros, Desa Bonto Tallasa Kec. Simbang, Maros, Sulawesi Selatan",,,"Meat Of Tuna Loin And Skipjack, (whether Or Not Mi","Meat of tuna loin and skipjack, (whether or not mi"
Anugerah Gemilang Sukses Sedayu,"Jl. Sulawesi No 70 Rt 002 Rw 006, Makassar, Sulawesi Selatan",04113615080,,"Other Seaweed & Algae, Fresh, Chilled, Frozen,drie,Gracilaria Lichenoides,fresh,chilled,,Seaweeds & Oth Algae,fresh,chilled/dried  Used In","Other seaweed & algae, fresh, chilled, frozen,drie,Gracilaria Lichenoides,fresh,chilled,,Seaweeds & Oth Algae,fresh,chilled/dried  Used In"
"Anugerah Sarana Tehnik Kayu, CV","Jl. Veteran Utara No. 256, Makassar, Sulawesi Selatan",0411325335,,"Oth Non Coniferous Oth Teak Strips Friezes For Par,Doors & Their Frames & Thresholds Of Wood,Oth Plywood,veneered Panels&similar Wood  Of","Oth non coniferous oth teak strips friezes for par,Doors & Their Frames & Thresholds Of Wood,Oth Plywood,veneered Panels&similar Wood  Of"
