Company Name,Address,Telephone Number,Other Data,Commodity,Business Field
"Arta Palu, PT","Desa Batu Suya Kecamatan Sindue, Donggala, Sulawesi Tengah",0451456077,,Oth Essential Oils-oth Than Pharmaceutical Grade,Oth essential oils-oth than pharmaceutical grade
"Brasindo Gum, PT","Desa Koyoan Kec.luwuk ,cab.kav.dki Blok 95/15, Banggai, Sulawesi Tengah",,,"Seaweeds & Oth Algae,fresh,chilled/dried  For Oth,,Eucheuma Spp,fresh,chilled,frozen,dried, For,Seaweeds & Oth Algae,frozen, Not For Human","Seaweeds & oth algae,fresh,chilled/dried  for oth,,Eucheuma Spp,fresh,chilled,frozen,dried, For,Seaweeds & Oth Algae,frozen, Not For Human"
"Budi Abadi, CV","Jl. Towua No.96a ,tatura, Palu, Sulawesi Tengah",0451481094,,"Oth Non Coniferous Oth Teak Strips Friezes For Par,Oth Sanded Or End Jointed&of A Thick > 6 Mm","Oth non coniferous oth teak strips friezes for par,Oth Sanded Or End Jointed&of A Thick > 6 Mm"
"Bumi Asri Pasaman, PT","Jl. Baru Buntok No. 68, Desa Danau Sadar, Buntok, Barito Selatan, Sulawesi Tengah",,,Technically Specified Natural Rubber (tsnr) 10,Technically Specified Natural Rubber (tsnr) 10
Chungsung,"Jl. Pagaru Lembah No. 46, Kel. Kayumalue Pajeko,, Palu Palu, Sulawesi Tengah",,,"Oth Non Coniferous Oth Teak Strips Friezes For Par,Oth Wooden Furniture,oth Than Fume Cupboard,Pallets,box Pallets& Other Load Boards; Pallet","Oth non coniferous oth teak strips friezes for par,Oth Wooden Furniture,oth Than Fume Cupboard,Pallets,box Pallets& Other Load Boards; Pallet"
"Graha Istika Utama, PT","Jl. Magau Janggo No. 169 Kec. Parigi, Parigi Moutong, Sulawesi Tengah",,,Nickel Ores And Concentrates,Nickel ores and concentrates
"Hansung Jaya, PT","Jl.moh.yamin No.03, Palu, Sulawesi Tengah",022 5954428,,"Oth Non Coniferous Oth Teak Strips Friezes For Par,Oth Sanded Or End Jointed&of A Thick > 6 Mm","Oth non coniferous oth teak strips friezes for par,Oth Sanded Or End Jointed&of A Thick > 6 Mm"
Haycarb Palu Mitra,"Jl.moh Saleh Rt001/rw001, Palu, Sulawesi Tengah",,,"Activated Carbon, Including Spent Animal Black","Activated carbon, including spent animal black"
Indo Gum Perkasa,"Jl. Torulemba No. 98, Poso, Sulawesi Tengah",,,"Gum Damar,Other Natural Gum And Resin,Cannabis Resin","Gum damar,Other Natural Gum And Resin,Cannabis Resin"
"Indotropic Fishery, CV","Jl. Raya Km.9 Ds. Biak Kec. Luwuk, Banggai, Sulawesi Tengah",0461324512,,"Octopus, Frozen,Frozen Fillets Of Other Fish,Mangrove Red Snappers, Excl.fillets, Livers And","Octopus, frozen,Frozen Fillets Of Other Fish,Mangrove Red Snappers, Excl.fillets, Livers And"
"Lestari, CV","Jl. Sarovele Kel. Kayumalue Ngapa Palu Utara, Palu, Sulawesi Tengah",,,"Females Blouses/shirts/shirt Blouses Of Oth Texti,Jerseys,pullovers,cardigans,waistcoat Of Other,Females Dresses Of Oth Textiles, Not Silk And","Females blouses/shirts/shirt blouses of oth texti,Jerseys,pullovers,cardigans,waistcoat Of Other,Females Dresses Of Oth Textiles, Not Silk And"
"Mardiana, Ud.","Jl. Tanjung Manimbaya No. 57, Palu, Sulawesi Tengah",,,"Oth Sanded Or End Jointed&of A Thick > 6 Mm  Jongk,Oth Non Coniferous Oth Teak Strips Friezes For,Non-coniferous Wood In Chips Or   Particles","Oth sanded or end jointed&of a thick > 6 mm  jongk,Oth Non Coniferous Oth Teak Strips Friezes For,Non-coniferous Wood In Chips Or   Particles"
"Mitra Utama, CV","Desa Boyou Kec. Luwuk, Morowali, Sulawesi Tengah",,,"Octopus, Frozen","Octopus, frozen"
"Multi Jasa Sarana, PT","Jl. Yos Sudarso Blok A No. 06 Kel. Talise, Palu, Sulawesi Tengah",,,"Cocoa Beans,whole/broken,raw/roasted","Cocoa beans,whole/broken,raw/roasted"
