Company Name,Address,Telephone Number,Other Data,Commodity,Business Field
"Anugerah Timur Makmur, PT","Kel. Sagerat Lingk Iii, Sagerat Bitung Barat, Bitung, Sulawesi Utara",043836515,,"Skipjack Or Stripe-bellied Bonito, Excl. Fillets,","Skipjack or stripe-bellied bonito, excl. fillets,"
"Avocet Bolaang Mongondow, PT","Jl. Kol.sugiono No.24 Kotabangun, 95712, Kotamobagu, Sulawesi Utara",043423387,,"Gold Powder,Silver Powder,Silver, Unwrought","Gold powder,Silver Powder,Silver, Unwrought"
"Bintang Mandiri Bersaudara, PT","Aertembaga Link. I Bitung Timur, Bitung, Sulawesi Utara",043834333,,"Skipjack Or Stripe-bellied Bonito, Excl. Fillets,","Skipjack or stripe-bellied bonito, excl. fillets,"
"Bitung Mina Utama, PT","Lingkungan I Rt.5 Kel. Aertembaga Kec. Bitung Timur, Bitung, Sulawesi Utara",043834282,e-Mail: ggcbtg01@indosat.net,"Meat Of Tuna Loin And Skipjack, (whether Or Not Mi,Pacific Bluefin Tunas,excl.fillets,liver & Roes","Meat of tuna loin and skipjack, (whether or not mi,Pacific Bluefin Tunas,excl.fillets,liver & Roes"
Blue Ocean Grace International,"Madidir Unet Lingkungan Ii Rt.12, Bitung, Sulawesi Utara",043831909,,"Meat Of Tuna Loin And Skipjack, (whether Or Not Mi,Pacific Bluefin Tunas,excl.fillets,liver & Roes,Bigeye Tunas, Excl.fillets,liver & Roes Fresh Or","Meat of tuna loin and skipjack, (whether or not mi,Pacific Bluefin Tunas,excl.fillets,liver & Roes,Bigeye Tunas, Excl.fillets,liver & Roes Fresh Or"
"Carbontech Indonesia, PT","Desa Teep Kecamatan Tengah, Minahasa Selatan, Sulawesi Utara",043022131,Website: www.carbontech-indonesia.com,Oth Wood Charcoal(including Shell   Or Nut Charcoa,Oth wood charcoal(including shell   or nut charcoa
"Carvinna Trijaya Makmur, PT","Madidir Weru Rt 016/rw 09,madidir Weru,madidir, Bitung, Sulawesi Utara",04382239161,Website: www.carvinna.com,"Meat Of Tuna Loin And Skipjack, (whether Or Not Mi,Tunas,skipjack,bonito,whole/ In Pieces, Not In,Tunas,whole/in Pieces, Not In Minced, In Airtight","Meat of tuna loin and skipjack, (whether or not mi,Tunas,skipjack,bonito,whole/ In Pieces, Not In,Tunas,whole/in Pieces, Not In Minced, In Airtight"
"Celebes Minapratama, PT","Kel. Wangurer Lingk. Ii Kec. Bitung Tengah, Bitung, Sulawesi Utara",043832993,,"Livers&roes Of Fish, Oth Than Freshwater Fish,","Livers&roes Of Fish, Oth Than Freshwater Fish,"
"Coklat, CV","Jl. Pingkan Matindas No. 58 Kel. Dendengan Dalam Kec Tikala, Manado, Sulawesi Utara",0431892449,,"Meat Of Tuna Loin And Skipjack, (whether Or Not Mi,Pacific Bluefin Tunas,excl.fillets,liver & Roes,Bigeye Tunas, Excl.fillets,liver & Roes Fresh Or","Meat of tuna loin and skipjack, (whether or not mi,Pacific Bluefin Tunas,excl.fillets,liver & Roes,Bigeye Tunas, Excl.fillets,liver & Roes Fresh Or"
"Conaka Indonesia, PT","Jl. Trans Sulawesi, Minahasa, Sulawesi Utara",,,Copra,Copra
