Company Name,Address,Telephone Number,Other Data,Commodity,Business Field
"Abaisiat Raya, PT","Jl. Hos Cokroaminoto No.88 C, Padang, Sumatera Barat",075121228,,Technically Specified Natural Rubber (tsnr) 20,Technically Specified Natural Rubber (TSNR) 20
"Amut Indospice, CV","Jl. Murai No. 11 A Rt.xi Rw.01 Kel.air Tawar Barat Kec. Padang Utara, Padang, Sumatera Barat",0751776518,Website: cvamutindospice.itrademarket.com,"Gambier,Areca Nuts, Whether/not Shelled/peeled, Fresh Or","Gambier,Areca Nuts, Whether/not Shelled/peeled, Fresh Or"
Andalas Niaga Bersama,"Villa Melati Mas 1 Blok Dd No. 1 Rt.032 Rw. 004, Padang, Sumatera Barat",,,"Other Oil Seeds & Oleaginous Fruits, Whether Or No,Oth Vegetable Prodcts Not Used Primarily In","Other oil seeds & oleaginous fruits, whether or no,Oth Vegetable Prodcts Not Used Primarily In"
"Anom, CV","Jl. Padang By Pass Km.9, Ampalu, Lubuk Begalung, Padang, Sumatera Barat",,e-Mail: wira168@indosat.net.id,"Cinnamon And Cinnamon-tree Flowers, Crushed Or Gro,Cinnamon (cinnamomum Zeylanicum Blume), Neither,Cloves (whole Fruit, Cloves & Stems), Neither","Cinnamon and cinnamon-tree flowers, crushed or gro,Cinnamon (cinnamomum Zeylanicum Blume), Neither,Cloves (whole Fruit, Cloves & Stems), Neither"
"Aryama, Ud.","Jl. Imam Bonjol No.4 Kelurahan Tambangan Kec.padang Hilir, Padang, Sumatera Barat",,,"Cocoa Beans,whole/broken,raw/roasted","Cocoa beans,whole/broken,raw/roasted"
"Asia Pacific Dirgantara, PT","Komp Singgalang Blok B/13 Rt 3/1 Koto Tangah, Padang, Sumatera Barat",,,"Oth Tunas, Excl.fillets, Livers & Roes, Fresh Or C,Oth Flat Fish, Excl.fillet,liver & Roes Fresh Or,Other Marine Fish Excl.fillets, Livers And Roes,","Oth tunas, excl.fillets, livers & roes, fresh or c,Oth Flat Fish, Excl.fillet,liver & Roes Fresh Or,Other Marine Fish Excl.fillets, Livers And Roes,"
"Batang Hari Barisan, PT","Jl. Padang By Pass Km.18 Betung Tebal, Lebuk Begalung, Padang, Sumatera Barat",075162598,e-Mail: batanghari@bhbsdx.net.id,Technically Specified Natural Rubber (tsnr) 20,Technically Specified Natural Rubber (TSNR) 20
"Berkat Sawit Sejahtera, PT","Jl. Simpang Tigo Alin, Jorong Simpang Tigo Alin, Pasaman, Sumatera Barat",,,Crude Palm Oil,Crude palm oil
"Binapratama Sakatojaya, PT","Jl. Diponegoro No. 7, Padang, Sumatera Barat",075131332,,"Crude Palm Oil,Solid Fractions Of Refined Palm Oil, Packing Of A,Acids Oil From Refining","Crude palm oil,Solid Fractions Of Refined Palm Oil, Packing Of A,Acids Oil From Refining"
"Bintara Tani Nusantara, PT","Jl. P. Diponegoro No.7, Padang, Sumatera Barat",,e-Mail: incasi@incasiraya.co.id,"Crude Palm Oil,Solid Fractions Of Refined Palm Oil, Packing Of A,Acids Oil From Refining","Crude palm oil,Solid Fractions Of Refined Palm Oil, Packing Of A,Acids Oil From Refining"
