Company Name,Address,Telephone Number,Other Data,Commodity,Business Field
"Aek Tarum, PT","Jl. Basuki Rahmat No.788 Talang Aman, Kemuning, Palembang, Sumatera Selatan",0711811585,,Crude Palm Oil,Crude palm oil
"Agung Jayasari Sakti, PT","Jl. Dempo Dalam No.935, Palembang, Sumatera Selatan",0711368008,,"Frogs Legs Fresh, Chilled Or Frozen,Frozen Fillets Of Other Fish,Cuttle Fish And Squid, Frozen","Frogs legs fresh, chilled or frozen,Frozen Fillets Of Other Fish,Cuttle Fish And Squid, Frozen"
Al Baqoh,"Dusun Iv Rt010 Rw004, Musi Banyuasin, Sumatera Selatan",,,"Coconuts,oth Than Desiccated&in The Iner Shell, Fr","Coconuts,oth than desiccated&in the iner shell, fr"
"Aneka Bumi Pratama, PT","Jl. Pulo Kerto Gandus Rt 004/02, Gandus, Ilir Barat Ii, Palembang, Sumatera Selatan",07117440994,e-Mail: pratama1@mdp.net.id,"Technically Specified Natural Rubber (tsnr) 20,Technically Specified Natural Rubber (tsnr) 10","Technically Specified Natural Rubber (TSNR) 20,Technically Specified Natural Rubber (tsnr) 10"
"Anugrah Lestari Alam, CV","Jl. Keman Rt56  ,sukajadi ,talang Kelapa, Banyu Asin, Sumatera Selatan",,,"Other Freshwater Ornamental Fish, Live,Botia (botia Macracantha),Arowanes, Than Not Red","Other freshwater ornamental fish, live,Botia (botia Macracantha),Arowanes, Than Not Red"
"Badja Baru, PT","Jl. Pangeran Sidoing Kenayan 88, Rt 018/07, Karang Anyar, Ilir Barat Ii, Palembang, Sumatera Selatan",0711440374,e-Mail: bajabaru@mdp.net.id,"Technically Specified Natural Rubber (tsnr) 20,Technically Specified Natural Rubber (tsnr) 10","Technically Specified Natural Rubber (TSNR) 20,Technically Specified Natural Rubber (tsnr) 10"
"Banyuasin Nusantara Sejahtera, PT","Jl. Tanjung Siapi-api Km.40, Karang Anyar, Muara Telang, Banyu Asin, Sumatera Selatan",,,Crude Oil Of Coconut (copra),Crude oil of coconut (copra)
"Bara Alam Utama, PT","Jl.  Kol.h.burlian Blok C No 42 Bandar Jaya, Lahat, Sumatera Selatan",,Website: www.baucoal.com,"Other Coal,whether Or Not Pulverised But Not Agglo","Other coal,whether or not pulverised but not agglo"
"Bara Sinergi Pradana, PT","Jl. Mayjend Ryacudu No. 148 Rt. 040 7 Ulu - Seberang Ulu 1 Palembang, Palembang, Sumatera Selatan",,,"Other Coal,whether Or Not Pulverised But Not Agglo","Other coal,whether or not pulverised but not agglo"
"Bintang Gasing Persada, PT","Jl. Tanjung Api-api Km.10 Gasing, Talang Kelapa, Banyu Asin, Sumatera Selatan",,Website: www.bintanggasingpersada.com,Technically Specified Natural Rubber (tsnr) 20,Technically Specified Natural Rubber (TSNR) 20
"Bintang Sampurna Mas, PT","Jl. Nuri No.102 Rt.44/13 Kel. Sialang, Palembang, Sumatera Selatan",0711712339,,"Natural Honey,Other Coal,whether Or Not Pulverised But Not","Natural honey,Other Coal,whether Or Not Pulverised But Not"
"Bumi Beliti Abadi, PT","Jl. Raya Muara Beliti-muara Kelingi Km.3.5, Musi Rawas, Sumatera Selatan",,,"Technically Specified Natural Rubber (tsnr) 10,Technically Specified Natural Rubber (tsnr) 20","Technically Specified Natural Rubber (TSNR) 10,Technically Specified Natural Rubber (tsnr) 20"
"Bumi Merapi Energi, PT","Jl. Cambai Agung No. 1703 Rt.026 Rw. 010, Palembang, Sumatera Selatan",,,"Other Coal,whether Or Not Pulverised But Not Agglo","Other coal,whether or not pulverised but not agglo"
Bunga Pangi,"Jl. Kapt.a.rivai  No.220 A  Rt.001 Rw.002, Palembang, Sumatera Selatan",,,"Other Coal,whether Or Not Pulverised But Not Agglo","Other coal,whether or not pulverised but not agglo"
Celia  Carpet & Interior,"Jl. Rajawali No. 858 G, Palembang, Sumatera Selatan",0711378996,Website: www.celia.co.id,"Oth Basketwork, Wickerwork & Other Articles, Of Ot","Oth basketwork, wickerwork & other articles, of ot"
"Ciptamas Bumisubur, PT","Jl. Mayor Ruslan No.2000 Rt.002 Rw.001 Kel.8 Ilir Kec.it-ii, Palembang, Sumatera Selatan",,e-Mail: pelonica@hotmail.com,Oth Wood Charcoal(including Shell   Or Nut Charcoa,Oth wood charcoal(including shell   or nut charcoa
"Citra Hasil Samudera, PT","Jalan Rama Raya No.100-101, Rt.37 Rw.011, Palembang, Sumatera Selatan",,,"Jellyfish (rhopilema Spp.), Dried, Salted Or In Br","Jellyfish (Rhopilema spp.), dried, salted or in br"
