Company Name,Address,Telephone Number,Other Data,Commodity,Business Field
"Abadi Permai, PT","Jl. Riau No. 1 - G, Medan, Sumatera Utara",06177876918,,"Leather Further Prepared After Tanning/ Crusting,,Oth Plants&parts Of Plants, Not For Pharmacy, Not","Leather further prepared after tanning/ crusting,,Oth Plants&parts Of Plants, Not For Pharmacy, Not"
"Aceh Coffee Indonesia, PT","Komp. Royal Sumatra Ksb No.206 Kel. Mangga Kec. Medan Tuntungan, Medan, Sumatera Utara",,Website: www.acehcoffeeindo.com,"Arabica Wib/robusta Oib, Not Roasted, Not Decaffei","Arabica WIB/robusta OIB, not roasted, not decaffei"
"Aceh Rubber Industries, PT","Jl. Hang Tuah No.15, Medan, Sumatera Utara",064123770,,Technically Specified Natural Rubber (tsnr) 10,Technically Specified Natural Rubber (tsnr) 10
"Adei Crumb Rubber Industry, PT","Jl. Jend. Ahmad Yani No. 82, Medan, Sumatera Utara",0614515781,,Technically Specified Natural Rubber (tsnr) 20,Technically Specified Natural Rubber (TSNR) 20
"Adian International, CV","Jl. Bukit Barisan, No.3-b,  Medan Barat, Medan, Sumatera Utara",0644515531,,Oth Prep Based On Odoriferous Substances For The M,Oth prep based on odoriferous substances for the m
"Adimulia Sarimas Industry, PT","Jl. Pelita Raya Kim Star, Deli Serdang, Sumatera Utara",0614523748,Website: www.adimulia.com,"Bath Soap,Anionic Washing Prep & Clean Prep, Incl Bleach,,Oth Wash/lean Prep,incl Bleach Cleans Oth Than","Bath soap,Anionic Washing Prep & Clean Prep, Incl Bleach,,Oth Wash/lean Prep,incl Bleach Cleans Oth Than"
"Adithiya Anugrah Lestari, CV","Jl. Gatot Subroto No.287, Medan, Sumatera Utara",,,"Cashew Nuts, In Shell, Fresh Or Dried,Cashew Nuts, Shelled, Fresh Or Dried","Cashew nuts, in shell, fresh or dried,Cashew Nuts, Shelled, Fresh Or Dried"
"Agri First Indonesia, PT","Jl. Pulau Pinang V Kim,deli Serdang, Deli Serdang, Sumatera Utara",0616871699,Website: www.agri-first.com,Wheat Flour Fortified,Wheat flour fortified
"Agriculture Trading, CV","Jl. Malaka No.1, Medan, Sumatera Utara",0617879802,,"Cocoa Beans,whole/broken,raw/roasted","Cocoa beans,whole/broken,raw/roasted"
"Agrindo Indah Persada, PT","Jl. Putri Hijau No.10 Kesawan Gedung B &amp; G - Lantai.9, Medan, Sumatera Utara",06180010059,e-Mail: awaludin@wilmar.co.id,"Unsolid Fractions Of Refined Palm Oil, Packing Net","Unsolid fractions of refined palm oil, packing net"
