Company Name,Address,Telephone Number,Other Data,Commodity,Business Field
"Ab Brother, CV","Jl. Flamboyan Gg.renggali No.2 Rt.07 Rw.02 Catur Tunggal Kec.depok, Sleman, D.I. Yogyakarta",02744632785,,"Leather Further Prepared After Tanning/ Crusting,","Leather further prepared after tanning/ crusting,"
"Abi Elang Indo, PT","Jl. Kaliurang Km. 9,3 No.77, Sleman, D.I. Yogyakarta",0274888716,e-Mail: abielang@indosat.net.id,"Oth Wooden Furniture,oth Than Fume Cupboard,Seat Of Rattan","Oth wooden furniture,oth than fume cupboard,Seat Of Rattan"
"Adi Satria Abadi, PT","Jl. Laksda Adisucipto Km 8,5 Kaw Industri Banyakan Sitimulyo Piyungan, Bantul, D.I. Yogyakarta",0274498321,Website: www.adisatria.com,"Gloves,mittens & Mitts Specially Designed For Use,Leather Further Prepared After Tanning/ Crusting,","Gloves,mittens & mitts specially designed for use,Leather Further Prepared After Tanning/ Crusting,"
"Alam Indah, CV","Perum Roto Kenongo Asri Blok E-3 Kalipucang, Pendowo Harjo, Sewon, Bantul, D.I. Yogyakarta",02746461600,,"Brooms Consisting Of Twig/oth Vegetable Materials,Bedroom, Dining Room Or Living Room Sets Of Rattan","Brooms consisting of twig/oth vegetable materials,Bedroom, Dining Room Or Living Room Sets Of Rattan"
"Aliet Green, CV","Perum Gambiran Blok C-11 Rt/rw : 031/008, Pandeyan, Umbulharjo, Bantul, D.I. Yogyakarta",0274413149,,"Other Sugar,incl Invert Sugar And Sugar Syrup Blen,Refined Sugar, Oth Thanwhite,Cashew Nuts, Shelled, Fresh Or Dried","Other sugar,incl invert sugar and sugar syrup blen,Refined Sugar, Oth Thanwhite,Cashew Nuts, Shelled, Fresh Or Dried"
Aliya Nature Exportindo,"Kwarasan Rt.008 Rw.006, Sleman, D.I. Yogyakarta",,,"Basketwork, Wickerwork & Other Articles,  Of Veget","Basketwork, wickerwork & other articles,  of veget"
"Almi Furniture Perdana, PT","Jl. Kaliurang Km. 8,5, Gandok Ngaglik, Sleman, D.I. Yogyakarta",0274883644,Website: www.almifurniture.com,"Oth Wooden Furniture,oth Than Fume Cupboard,Glass Mirros, Framed,Oth Seats,with Wooden Frames,combined With Other","Oth wooden furniture,oth than fume cupboard,Glass Mirros, Framed,Oth Seats,with Wooden Frames,combined With Other"
Amarta Furniture,"Jl Wates Km 3,5 Kalibayem, Bantul, D.I. Yogyakarta",,,"Statuettes & Oth Ornaments, Of Wood,Oth Wooden Furniture,oth Than Fume Cupboard,Oth Seats,with Wooden Frames,combined With Other","Statuettes & oth ornaments, of wood,Oth Wooden Furniture,oth Than Fume Cupboard,Oth Seats,with Wooden Frames,combined With Other"
"Amartha Roma, CV","Watugedug, Guwosari, Pajangan, Bantul, D.I. Yogyakarta",,,"Statuettes & Oth Ornaments, Of Wood,Seat Of Cane,osier Or Similar Material,Other Furniture Of Cane, Osier, Bamboo Or Similar","Statuettes & oth ornaments, of wood,Seat Of Cane,osier Or Similar Material,Other Furniture Of Cane, Osier, Bamboo Or Similar"
"Ameya Livingstyle Indonesia, PT","Jl. Gupawarak, Sendangsari, Pajangan, Bantul, D.I. Yogyakarta",02746466798,Website: www.ameyaindo.com,"Males Shirts Of Cotton, Not Printed By Traditiona,Females Blouses/shirts/shirt Blouses Of Cotton,,Females Blouses/shirts/shirt Blouses Of Oth","Males shirts of cotton, not printed by traditiona,Females Blouses/shirts/shirt Blouses Of Cotton,,Females Blouses/shirts/shirt Blouses Of Oth"
"Anna Craft, CV","Jl. Telasih Rt.07 Rw.25, Ds. Nogosari, Trirenggo, Bantul, D.I. Yogyakarta",0274368468,e-Mail: annacraft_a@yahoo.com,"Oth Ceramic Articles Of Oth Than Porcelain/china,Oth Metal Furniture, Other Than Fume Cupboards,Statuettes & Oth Ornaments, Of Wood","Oth ceramic articles of oth than porcelain/china,Oth Metal Furniture, Other Than Fume Cupboards,Statuettes & Oth Ornaments, Of Wood"
Apikri,"Jl. Imogiri Barat Km.4,5 No.163 A, Bantul, D.I. Yogyakarta",0274371932,Website: www.apikri.com,"Statuettes & Oth Ornaments, Of Wood,Basketwork, Wickerwork & Other Articles,  Of,Other Imitation Jewellery Of Base Metal Whether","Statuettes & oth ornaments, of wood,Basketwork, Wickerwork & Other Articles,  Of,Other Imitation Jewellery Of Base Metal Whether"
Ardana,"Jl.imogiri Barat, Bakung Rt 001,bantul, Bantul, D.I. Yogyakarta",0274382364,,"Other Of Bamboo,Oth Basketwork, Wickerwork & Other Articles, Of,Oth Wooden Furniture,oth Than Fume Cupboard","Other of bamboo,Oth Basketwork, Wickerwork & Other Articles, Of,Oth Wooden Furniture,oth Than Fume Cupboard"
Arthaindo,"Tegal Kenongo Rt.01 Rw Viii Tirtonirmolo, Kasihan, Bantul, D.I. Yogyakarta",0274617251,,Seats Of A Kind Used For Motor Vehicles Oth Than O,Seats of a kind used for motor vehicles oth than o
"Asia Trade Perkasa, PT","Jl. Pemuda Desa Dukuh Rt 04 Guwosari Pajangan, Bantul, D.I. Yogyakarta",0215858201,,"Oth Basketwork, Wickerwork & Other Articles, Of Ot,Oth Wooden Furniture,oth Than Fume Cupboard,Basketwork, Wickerwork & Other Articles,  Of","Oth basketwork, wickerwork & other articles, of ot,Oth Wooden Furniture,oth Than Fume Cupboard,Basketwork, Wickerwork & Other Articles,  Of"
"Asiatik Atmosfer, CV","Jl. Parangtritis Km 5,5 Perum Graha Yasa Kav F7/8 Sewon, Bantul, D.I. Yogyakarta",,,"Oth Wooden Furniture,oth Than Fume Cupboard,Glass Mirros, Unframed,Glass Mirros, Framed","Oth wooden furniture,oth than fume cupboard,Glass Mirros, Unframed,Glass Mirros, Framed"
"Aunika Java Art, PT","Dusun Bibis, Bulak Nyamplung, Timbulharjo, Bantul, D.I. Yogyakarta",,Website: www.aunikajava.com,"Oth Seats,with Wooden Frames,combined With Other T,Statuettes & Oth Ornaments, Of Wood","Oth seats,with wooden frames,combined with other t,Statuettes & Oth Ornaments, Of Wood"
"Bambu Nusa Verde, PT","Jl. Mangunan Tebonan, Harjo Binangun , Pakem, Sleman, D.I. Yogyakarta",,Website: www.bambunusaverde.com,"Other Live Plants (incl Their Roots), Cuttings&sli,Wood Charcoal(including Shell Or Nut Charcoal),","Other live plants (incl their roots), cuttings&sli,Wood Charcoal(including Shell Or Nut Charcoal),"
"Bina Yasa Adhi Persadha, PT","Jl. Glagahsari Uh.iv/606 Rt24/06 Warungboto Umbul Harjo, Yogyakarta, D.I. Yogyakarta",0274377047,,"Gloves,mittens & Mitts Specially Designed For Use,Oth Gloves, Mittens & Mitts Not Wool/ Fine Animal,Oth Wood Charcoal(including Shell   Or Nut","Gloves,mittens & mitts specially designed for use,Oth Gloves, Mittens & Mitts Not Wool/ Fine Animal,Oth Wood Charcoal(including Shell   Or Nut"
"Bintang Alam Semesta, PT","Banyakan I Sitimulyo Piyungan, Bantul, D.I. Yogyakarta",0274888046,Website: www.ptbintangalamsemesta.blogspot.com,"Leather Further Prepared After Tanning/ Crusting,","Leather further prepared after tanning/ crusting,"
"Bmb Eksport, PT","Jl. Magelang Km.14 Caturharjo, Yogyakarta, D.I. Yogyakarta",02744363679,e-Mail: bmbeksp@indosat.net.id,"Oth Wooden Furniture,oth Than Fume Cupboard,Oth Seats,with Wooden Frames,combined With Other,Wooden Furniture Of A Kind Used In The Bedroom","Oth wooden furniture,oth than fume cupboard,Oth Seats,with Wooden Frames,combined With Other,Wooden Furniture Of A Kind Used In The Bedroom"
"Bothwell Indonesia, PT","Jl. Kaliurang Km.10.9, Sleman, D.I. Yogyakarta",0274888716,Website: www.bothwell-furniture.com,"Oth Wooden Furniture,oth Than Fume Cupboard,Oth Seats,with Wooden Frames,combined With Other,Garden/similar Umbrellas","Oth wooden furniture,oth than fume cupboard,Oth Seats,with Wooden Frames,combined With Other,Garden/similar Umbrellas"
"Budi Makmur Jaya Murni, PT","Jl. Paleman No.9 Rejowinangun, Yogyakarta, D.I. Yogyakarta",0274374305,,"Leather Further Prep. After Tanning/ Crust,oth Tha,Leather Further Prepared After Tanning/ Crusting,,Leather Further Prepared After Tanning/ Crusting,","Leather further prep. after tanning/ crust,oth tha,Leather Further Prepared After Tanning/ Crusting,,Leather Further Prepared After Tanning/ Crusting,"
"Budi Manunggal, PT","Jl. Peleman 17 Rejowinangun, Kota Gede, Yogyakarta, D.I. Yogyakarta",0274372817,e-Mail: ptbuman@indosat.net.id,"Gloves,mittens,mitts, Impregnated Coated Plastics/,Gloves,mittens & Mitts Specially Designed For Use,Oth Articles Of Apparel&clothting Accessories;of","Gloves,mittens,mitts, impregnated coated plastics/,Gloves,mittens & Mitts Specially Designed For Use,Oth Articles Of Apparel&clothting Accessories;of"
"Cakra Ganesha, CV","Jl. Bantul Km. 6.5 Babadan Pondowoharjo, Bantul, D.I. Yogyakarta",02746463544,,"Statuettes & Oth Ornaments, Of Wood","Statuettes & oth ornaments, of wood"
"Cipta Mitra Selaras, CV","Jl. Dayu No. 81 B Sinduharjo, Ngaglik, Sleman, D.I. Yogyakarta",0274452412,,"Oth Than Basketwork, Wickerwork & Other Articles,,Basketwork, Wickerwork & Other Articles,  Of,Statuettes & Oth Ornaments, Of Wood","Oth than basketwork, wickerwork & other articles,,Basketwork, Wickerwork & Other Articles,  Of,Statuettes & Oth Ornaments, Of Wood"
"Cita Rona, CV","Mulungan Wetan Rt.05/rw.17, Sendangadi, Mlati, Sleman, D.I. Yogyakarta",,Website: www.cita-rona.com,"Oth Wooden Furniture,oth Than Fume Cupboard,Seats Of A Kind Used For Motor Vehicles Oth Than,Seat Of Cane,osier Or Similar Material","Oth wooden furniture,oth than fume cupboard,Seats Of A Kind Used For Motor Vehicles Oth Than,Seat Of Cane,osier Or Similar Material"
"Citra Raharja Utama, PT","Jl. Jogya-wates Km.9.5 Perengdawe, Ds.balecatur, Kec. Gamping, Sleman, D.I. Yogyakarta",02746498430,,Veneered Panels&similar W/at Least One Other Wood,Veneered panels&similar w/at least one other wood
"Cocoon Asia, PT","Gang Serayu D-34 Condongsari Ngropoh Rt.006 Rw.062, Sleman, D.I. Yogyakarta",,,"Oth Seats,with Wooden Frames,combined With Other T,Wooden Furniture Of A Kind Used In Offices,Oth Wooden Articles Of Furniture Not Falling In","Oth seats,with wooden frames,combined with other t,Wooden Furniture Of A Kind Used In Offices,Oth Wooden Articles Of Furniture Not Falling In"
"Craftex International, PT","Nandan Griya Idaman Kav.23 Sariharjo Ngaglik, Sleman, D.I. Yogyakarta",0274625608,e-Mail: craftex@indo.net.id,"Males Shirts Of Oth Wool Or Fine Animal Hair, Not,Woven Fabrics Of Cotton,dyed,plain Weave  Weave","Males shirts of oth wool or fine animal hair, not,Woven Fabrics Of Cotton,dyed,plain Weave  Weave"
"Dekor Asia Jayakarya, PT","Sribitan Rt.01/21 Dk Ix Desa Bangunjiwo, Kec. Kasihan, Bantul, D.I. Yogyakarta",0274415177,Website: www.dekorasia.com,"Bamboos Used Primarily For Plaiting, Cleaned, Blea,Spools, Cops & Bobbins, Sewing Thread Reels And","Bamboos used primarily for plaiting, cleaned, blea,Spools, Cops & Bobbins, Sewing Thread Reels And"
"Delta Nusantara, PT","Jl. Raya Magelang, Desa Ngemplak, Caturharjo 55501, Sleman, D.I. Yogyakarta",0274868476,,Single Yarnof Uncombed Fibres Measuring 192.31,Single yarnof uncombed fibres measuring 192.31
"Delta Widjaja Indah, PT","Kepatihan Industri No.88, Dsn Ngablakrejo Rt.002 Rw.003, Sleman, D.I. Yogyakarta",,,Oth Non Coniferous Oth Teak Strips Friezes For Par,Oth non coniferous oth teak strips friezes for par
