Company Name,Deskripsi,Address,Telephone Number,Location
6931. TK Griya,,Jl Majalah Kompl Wartawan Bl-B/9 Jakarta,( 021 ) 8504200,Tk dan kelompok bermain
6932. TK Global Jaya,,Jl Jombang Raya Kompl Bintaro Jaya Sktr IX Jakarta,( 021 ) 7457562,Tk dan kelompok bermain
6933. TK Global Islamic School,,Jl Condet Raya 5 RT 006/02 Jakarta,( 021 ) 80884510,Tk dan kelompok bermain
6934. TK Gaya Putra,,Jl Cilincing Raya Kompl Ex Gaya Motor Jakarta,( 021 ) 4410646,Tk dan kelompok bermain
6935. TK Garuda,,Jl Tmn Bukit Duri 6 Jakarta,( 021 ) 83701731,Tk dan kelompok bermain
6936. TK Gapura Kasih,,Kompl Taman Dadap Indah Bl A-4/5 Jakarta,( 021 ) 5559457,Tk dan kelompok bermain
6937. TK Gandhi Memorial International School,,Jl Parang Tritis V 3 Jakarta,( 021 ) 6929180,Tk dan kelompok bermain
6938. TK Gandhi,,Jl Pasar Baru Slt 22 Jakarta,( 021 ) 3844189,Tk dan kelompok bermain
6939. TK Gamaliel,,Jl Jembatan Besi II 45 RT 005/01 Jakarta,( 021 ) 9158674,Tk dan kelompok bermain
6940. TK Galatia III,,Jl Bambu Larangan 57 Jakarta,( 021 ) 5404554,Tk dan kelompok bermain
6941. TK Galatia I,,Jl Seni Budaya VI 4 Jakarta,( 021 ) 5675235,Tk dan kelompok bermain
6942. TK Gading Asri,,Jl Kelapa Nias IV Kompl Kelapa Gading Permai Bl PA-10/1 Jakarta,( 021 ) 4502026,Tk dan kelompok bermain
6943. TK Fransiskus 1,,Jl Kramat Raya 67 Jakarta,( 021 ) 3909254,Tk dan kelompok bermain
6944. TK Fitria As Sahara,,Jl Buaran II 1 RT 004/12 Jakarta,( 021 ) 86609872,Tk dan kelompok bermain
6945. TK Fitria,,Jl Johar Baru Utr VI 16 RT 010/05 Jakarta,( 021 ) 4247813,Tk dan kelompok bermain
6946. TK Fatimah Azzahrah,,Jl DMC Raya Kav 10-B RT 007/19 Jakarta,( 021 ) 84974507,Tk dan kelompok bermain
6947. TK Fatimah,,Jl Gelong Baru Tmr VI 22 Jakarta,( 021 ) 5665396,Tk dan kelompok bermain
6948. TK Fathan Mubina,,Jl Otto Iskandardinata Raya 448-449 RT 003/12 Jakarta,( 021 ) 8194158,Tk dan kelompok bermain
6949. TK Fatahillah,,Jl Jeruk Purut 9-10 Jakarta,( 021 ) 7800717,Tk dan kelompok bermain
6950. TK Fatahilah,,Jl Warung Buncit Raya 67 RT 001/05 Jakarta,( 021 ) 7984769,Tk dan kelompok bermain
6951. TK Fantasia,,Jl Gandaria I 49-51 Jakarta,( 021 ) 7245927,Tk dan kelompok bermain
6952. TK Fam Bright,,Jl Cinere Raya 62 RT 007/06 Jakarta,( 021 ) 7542246,Tk dan kelompok bermain
6953. TK Fajrul Islam,,Kp Koang RT 005/05 Jakarta,( 021 ) 5459809,Tk dan kelompok bermain
6954. TK Fajar Indah,,Jl Waspada Raya I 30 RT 007/10 Jakarta,( 021 ) 64714183,Tk dan kelompok bermain
6955. TK Fajar,,Jl Kayumanis Tmr 52 D Jakarta,( 021 ) 8500267,Tk dan kelompok bermain
6956. TK Fahmi,,Jl Pahlawan Komaruddin I 58 RT 014/05 Jakarta,( 021 ) 48701320,Tk dan kelompok bermain
6957. TK Etika,,Jl Jati Raya Utr 50 Jakarta,( 021 ) 7690151,Tk dan kelompok bermain
6958. TK Esti Bakti,,Jl Kapuk Gg Taniwan RT 002/07 Jakarta,( 021 ) 5458406,Tk dan kelompok bermain
6959. TK Endah Al-Farizi,,Jl Nusantara Kompl Bukit Cengkeh I Jakarta,( 021 ) 8718126,Tk dan kelompok bermain
6960. TK Eloi,,Jl Tanah Sereal XVIII 17 A RT 003/09 Jakarta,( 021 ) 6303367,Tk dan kelompok bermain
6961. TK El Syifa,,Jl Moch Kahfi I 11 RT 007/01 Jakarta,( 021 ) 9138203,Tk dan kelompok bermain
6962. TK El Shaddai,,Kompl Citra V Bl A/6 Jakarta,( 021 ) 55952875,Tk dan kelompok bermain
6963. TK Ekdyasa 2,,Kompl Jiac 13 RT 004/06 Jakarta,( 021 ) 5409225,Tk dan kelompok bermain
6964. TK Ekaria,,Jl HH Masjid Assurur 6-A Jakarta,( 021 ) 5302378,Tk dan kelompok bermain
6965. TK Ekadyasa,,Jl Merpati I 13 Jakarta,( 021 ) 7371405,Tk dan kelompok bermain
6966. TK Dwiyanti,,Jl Kemang Slt I-D 16-A RT 006/02 Jakarta,( 021 ) 7182801,Tk dan kelompok bermain
6967. TK Dwi Warna,,Jl Sentra Primer Baru 29 RT 005/04 Jakarta,( 021 ) 4806558,Tk dan kelompok bermain
6968. TK Dwi Cakti Bhakti Palad,,Jl Bekasi Tmr IV 15 RT 003/08 Jakarta,( 021 ) 8573217,Tk dan kelompok bermain
6969. TK Duyung,,Jl Sunan Sedayu 41 Jakarta,( 021 ) 4759511,Tk dan kelompok bermain
6970. TK Duri Indah,,Jl Kp Duri 99 Jakarta,( 021 ) 5415351,Tk dan kelompok bermain
6971. TK Dua Mei,,Jl H Abd Gani 135 Jakarta,( 021 ) 7490034,Tk dan kelompok bermain
6972. TK Don Bosco 2,,Jl Pulo Mas Brt V Jakarta,( 021 ) 4705924,Tk dan kelompok bermain
6973. TK Don Bosco 1,,Jl Kelapa Cengkir Raya Bl FH-2/7-10 Jakarta,( 021 ) 4520845,Tk dan kelompok bermain
6974. TK Don Bosco,,Jl Pulo Mas Brt V Jakarta,( 021 ) 4751703,Tk dan kelompok bermain
6975. TK Dokter Moewardi,,Jl Cempaka III 16 RT 005/11 Jakarta,( 021 ) 73885558,Tk dan kelompok bermain
6976. TK Diniyah Muhammadiyah,,Jl Karang Anyar Bl E/60 RT 002/03 Jakarta,( 021 ) 6268634,Tk dan kelompok bermain
6977. TK Dinamika,,Jl Monumen Pancasila Sakti Gg Sadar 9 RT 001/06 Jakarta,( 021 ) 8406910,Tk dan kelompok bermain
6978. TK Dian Ratama,,Jl Penganten Ali 7 RT 001/06 Jakarta,( 021 ) 8715157,Tk dan kelompok bermain
6979. TK Dian Pratama,,Jl Penganten Ali 7 RT 001/06 Jakarta,( 021 ) 8414836,Tk dan kelompok bermain
6980. TK Dian Pertiwi,,Jl Malaka Baru I 55 RT 007/11 Jakarta,( 021 ) 8600126,Tk dan kelompok bermain
6981. TK Dian Kusuma Pertiwi,,Jl Lagoa Terusan Gg IV Bl C-1/5 RT 014/04 Jakarta,( 021 ) 43934342,Tk dan kelompok bermain
6982. TK Dian Kasih,,Kompl Citra III Bl C-7/1 Jakarta,( 021 ) 5414189,Tk dan kelompok bermain
6983. TK Dian Karuna,,Kompl Bukit Indah Bl D/3 RT 003/08 Jakarta,( 021 ) 74637910,Tk dan kelompok bermain
6984. TK Dian Fitri,,Jl Setia Kawan III 41-42 Jakarta,( 021 ) 63856835,Tk dan kelompok bermain
6985. TK Dian Anugrah,,Jl Juru Mudi Kompl Duta Gardenia Baru Bl B-7/52 Jakarta,( 021 ) 5400467,Tk dan kelompok bermain
6986. TK Dian,,Kompl Citra Garden II Bl L-1/8 Jakarta,( 021 ) 5406315,Tk dan kelompok bermain
6987. TK Diakornia,,Jl Pluit Utr Raya 2 RT 004/05 Jakarta,( 021 ) 6693742,Tk dan kelompok bermain
6988. TK Dharma Utama,,Jl Rawa Tgh 72 RT 007/07 Jakarta,( 021 ) 4242570,Tk dan kelompok bermain
6989. TK Dharma Suci,,Jl Jembatan Tiga Perk Pluit Mas Bl F/1-5 Jakarta,( 021 ) 6696437,Tk dan kelompok bermain
6990. TK Dharma Siwi,,Jl Sunter Agung Utr Kompl STS Bl M Jakarta,( 021 ) 6410233,Tk dan kelompok bermain
6991. TK Dharma Kalsa,,Jl Pademangan IV Gg XII 21 Jakarta,( 021 ) 64710060,Tk dan kelompok bermain
6992. TK Dharma Budhi Bhakti,,Jl Agung Tgh VII 1 Jakarta,( 021 ) 6404405,Tk dan kelompok bermain
6993. TK Dharma Bakti,,Jl Bogor Raya Km 24 Jakarta,( 021 ) 8412709,Tk dan kelompok bermain
6994. TK Dhammasavana,,Jl Padamulya VI 176 B Jakarta,( 021 ) 6300966,Tk dan kelompok bermain
6995. TK Dawah Islam,,Jl Utan Kayu Gg Randu 1 RT 001/02 Jakarta,( 021 ) 8583252,Tk dan kelompok bermain
6996. TK Darussalam,,Jl Ciputat Raya Gg Hj Romlah RT 005/02 Jakarta,( 021 ) 7696779,Tk dan kelompok bermain
6997. TK Darussaadah,,Jl Poncol Jaya 41 RT 012/04 Jakarta,( 021 ) 5277301,Tk dan kelompok bermain
6998. TK Darun Nisaa,,Jl Tanjungpura V 22 RT 005/05 Jakarta,( 021 ) 5455637,Tk dan kelompok bermain
6999. TK Darul Ulum,,Jl Stasiun Cakung Km 4/46 Jakarta,( 021 ) 4803485,Tk dan kelompok bermain
7000. TK Darul Muawanah,,Jl Cipulir II 24 Jakarta,( 021 ) 7258938,Tk dan kelompok bermain
7001. TK Darul Maarif,,Jl Madya Kebantenan 14 Jakarta,( 021 ) 4406460,Tk dan kelompok bermain
7002. TK Darul Ikhwan,,Jl Tj Duren Utr VII 241 Jakarta,( 021 ) 56964644,Tk dan kelompok bermain
7003. TK Darul Husna,,Jl Pertengahan 1 Jakarta,( 021 ) 8416306,Tk dan kelompok bermain
7004. TK Darma Satria,,Kompl Teluk Indah Bl Q/24-26 Jakarta,( 021 ) 6695304,Tk dan kelompok bermain
7005. TK Damai,,Jl Kelapa Dua 7 RT 014/03 Jakarta,( 021 ) 44833678,Tk dan kelompok bermain
7006. TK Dalian,,Jl Dara Raya Bl DG/1-2 Villa Pamulang Jakarta,( 021 ) 74704038,Tk dan kelompok bermain
7007. TK Dakwah Islamiyah,,Jl Bhineka 23 Jakarta,( 021 ) 8514703,Tk dan kelompok bermain
7008. TK Dahlia,,Jl Dahlia 88-A Kompl Pondok Pucung Indah I RT 003/04 Jakarta,( 021 ) 7454508,Tk dan kelompok bermain
7009. TK Daarul Rahmah,,Jl H Sinen 44 Jakarta,( 021 ) 7818352,Tk dan kelompok bermain
7010. TK Cordova,,Jl Bunga Rampai IX Gg I Bl 24/50 Perumnas Klender RT 004/06 Jakarta,( 021 ) 86600886,Tk dan kelompok bermain
7011. TK Club Neft Indonesia,,Jl Teuku Umar Kompl Bintaro Jaya Sktr VII Bl FA-3/45 Jakarta,( 021 ) 74862053,Tk dan kelompok bermain
7012. TK Citra Kresna,,Jl Mandala V 25-A RT 007/03 Jakarta,( 021 ) 8011566,Tk dan kelompok bermain
7013. TK Citra Kasih Sejahtera,,Kompl Duta Garden Bl G-7/45 Jakarta,( 021 ) 5400768,Tk dan kelompok bermain
7014. TK Citra Indonesia,,Jl Puter VI Kompl Bintaro Jaya Sktr V Bl EF-1/27-29 Jakarta,( 021 ) 7358862,Tk dan kelompok bermain
7015. TK Citra Az Zahra,,Kompl Taman Alfa Indah Bl F/7 Jakarta,( 021 ) 5857976,Tk dan kelompok bermain
7016. TK Citra Ananda,,Kompl Taman Alfa Indah Bl F/7 RT 008/03 Jakarta,( 021 ) 58905727,Tk dan kelompok bermain
7017. TK Citra,,Jl Kemuning Gg H 3 Jakarta,( 021 ) 8504030,Tk dan kelompok bermain
7018. TK Cita Buana,,Jl RS Fatmawati 52 Wisma Subud Jakarta,( 021 ) 7696560,Tk dan kelompok bermain
7019. TK Cindrawasih,,Jl Winong 7 RT 002/04 Jakarta,( 021 ) 73448245,Tk dan kelompok bermain
7020. TK Cicilia,,Jl Ancol Slt II 17 Jakarta,( 021 ) 6409187,Tk dan kelompok bermain
7021. TK Chatswood,,Jl Pluit Tmr Raya Jakarta,( 021 ) 6606293,Tk dan kelompok bermain
7022. TK Charitas,,Jl Swakarya Bl C/13-A Jakarta,( 021 ) 7656171,Tk dan kelompok bermain
7023. TK Chandra Naya,,Jl Jembatan Besi II 26 Jakarta,( 021 ) 6301406,Tk dan kelompok bermain
7024. TK Chandra Kusuma,,Jl Vikamas Slt V Bl H-1/1 Jakarta,( 021 ) 5448202,Tk dan kelompok bermain
7025. TK Chandra Jaya,,Jl Sawah Lio IV 8-B Jakarta,( 021 ) 6341402,Tk dan kelompok bermain
7026. TK Chandra,,Jl Mortir Kompl Kodam 7 Jakarta,( 021 ) 4265727,Tk dan kelompok bermain
7027. TK Ceria,,Jl Bukit Kemiri IV Kompl Bukit Cengkeh II Bl A-6/2 Jakarta,( 021 ) 8702281,Tk dan kelompok bermain
7028. TK Cendrawasih,,Jl Anggrek Cendrawasih Raya K-21 RT 001/03 Jakarta,( 021 ) 5359294,Tk dan kelompok bermain
