Company Name,Deskripsi,Address,Telephone Number,Location
9591. PT Primaswara Adi Spirit Semesta,,Jl Gajah Mada 19-26 Gajah Mada Tower Lt 26 Jakarta,( 021 ) 6339160,Stasiun radio
9592. Prambors PT Radio,,Jl Mendut 15 Jakarta,( 021 ) 3904310,Stasiun radio
9593. Power Computer,,Ged Senayan Trade Centre 38-39 Lt V Jakarta,( 021 ) 57931815,Stasiun radio
9594. PT Pesona Gita Anindita,,Jl Perdana I 10 Jakarta,( 021 ) 7362600,Stasiun radio
9595. PT Pelita Kasih,,Jl Dewi Sartika 136-D Jakarta,( 021 ) 8008996,Stasiun radio
9596. Pelangi Nusantara PT Radio,,Jl Raya TMII Jakarta,( 021 ) 8403767,Stasiun radio
9597. Niaga Chakti Bhudi Bhakti PT Radio,,Jl H Peeng 9 Jakarta,( 021 ) 5306409,Stasiun radio
9598. Mustika Abadi PT Radio,,Jl MH Thamrin 11 Ged Sarinah Lt 8 Jakarta,( 021 ) 39832162,Stasiun radio
9599. Mustang Utama PT Radio,,Jl MH Thamrin 59 Wisma Nusantara Lt 25 Jakarta,( 021 ) 39835900,Stasiun radio
9600. Muara Abdinusa PT Radio,,Jl MH Thamrin 11 Ged Sarinah Lt 8 Jakarta,( 021 ) 3146545,Stasiun radio
9601. Mitra Carita 16 PT Radio,,Jl Puri Sakti I 22 Jakarta,( 021 ) 7651317,Stasiun radio
9602. Metro Jaya Kartika PT Radio,,Jl Senen Raya Pus Perdag Senen Bl 1/26 Lt 4/26 Jakarta,( 021 ) 4210188,Stasiun radio
9603. Merpati Darmawangsa PT Radio,,Jl Jend Gatot Subroto Kav 56 Ged Adhi Graha Lt 19 Jakarta,( 021 ) 5265227,Stasiun radio
9604. PT Mediasuara Trisakti,,Jl Indraloka I Bl H/1828 RT 007/06 Jakarta,( 021 ) 5647727,Stasiun radio
9605. Media Suara Trisakti PT Radio,,Jl Kyai Tapa 1 Jakarta,( 021 ) 5655920,Stasiun radio
9606. Manggala Mediaswara PT Radio,,Jl MH Thamrin 11 Ged Sarinah Lt 8 Jakarta,( 021 ) 3146545,Stasiun radio
9607. Lembaga Penyiaran Publik Radio Republik Indonesia,,Jl Medan Merdeka Brt 4-5 Jakarta,( 021 ) 3500759,Stasiun radio
9608. PT Kirana Insan Suara,,Jl MH Thamrin 59 Wisma Nusantara Lt 25 Jakarta,( 021 ) 39835900,Stasiun radio
9609. Kidungindah Selarassuara PT Radio,,Jl Pinang Emas I Bl B/11 Jakarta,( 021 ) 7652524,Stasiun radio
9610. Kayumanis PT Radio,,Jl Pisangan Baru Tmr 14 A RT 008/09 Jakarta,( 021 ) 8507664,Stasiun radio
9611. PT Karya Swara Gaya,,Jl HR Rasuna Said Kav 32-33 Ged Femina Jakarta,( 021 ) 5275555,Stasiun radio
9612. Jaya Sakti PT Radio,,Jl Permata Sari 1000 Jakarta,( 021 ) 54994223,Stasiun radio
9613. Indika Millenia PT Radio,,Jl Jend Gatot Subroto Kav 21 Ged Mitra/Suite 901 Lt 9 Jakarta,( 021 ) 25509988,Stasiun radio
9614. PT Hasmuda Internusa,,Jl Merdeka Brt 4-5 Jakarta,( 021 ) 3459151,Stasiun radio
9615. Hana Citra Swara Jakarta PT Radio,,Jl Bangka Raya 2 Ged AKA Jakarta,( 021 ) 71793616,Stasiun radio
9616. PT Garda Asia Bumi,,Jl HR Rasuna Said Kav 1 Menara Imperium Lt 31 C Jakarta,( 021 ) 8317718,Stasiun radio
9617. Etnikom Group Band,,Jl Tarumanegara 45 Jakarta,( 021 ) 7420444,Stasiun radio
9618. Elok Baik Manfaat PT Radio,,Jl Selat Karimata Bl E-I/1 Jakarta,( 021 ) 86607723,Stasiun radio
9619. Delta Insani PT Radio,,Jl Jend Sudirman Kav 9 Ratu Plaza Lt 19 Jakarta,( 021 ) 72784033,Stasiun radio
9620. PT Chakrawala Gitaswara,,Jl Hayam Wuruk 108 Hayam Wuruk Plaza III Lt 3 Jakarta,( 021 ) 6254321,Stasiun radio
9621. Cendrawasih PT Radio,,Jl Batu Ceper V 52 Jakarta,( 021 ) 3842824,Stasiun radio
9622. CBBS Radio,,Jl Pinang Merah VIII Kompl Taman Pondok Indah Bl SI/22 RT 014/16 Jakarta,( 021 ) 7652552,Stasiun radio
9623. Camajaya Surya Nada PT Radio,,Jl Tmn Griya Pratama 12 Jakarta,( 021 ) 45850293,Stasiun radio
9624. Buana Komunika PT Radio,,Jl Raya Meruya Slt Kampus UMB Ged C Lt 4 Jakarta,( 021 ) 5857683,Stasiun radio
9625. Bharata Bhaktinusa PT Radio,,Jl Raden Fatah Jakarta,( 021 ) 9126934,Stasiun radio
